"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","1.562500","6.666667","25.000000","2.702703","2.702703","33.333333","25.000000",
"2.000000","14.285714","16.666667","16.666667","20.000000","25.000000","25.000000","33.333333",
"3.000000","14.285714","25.000000","50.000000","20.000000","33.333333","33.333333","25.000000",
"4.000000","16.666667","33.333333","16.666667","25.000000","25.000000","33.333333","33.333333",
"5.000000","14.285714","33.333333","25.000000","33.333333","16.666667","50.000000","33.333333",
"6.000000","14.285714","33.333333","25.000000","25.000000","20.000000","33.333333","20.000000",
"7.000000","12.500000","33.333333","14.285714","16.666667","25.000000","33.333333","33.333333",
"8.000000","14.285714","14.285714","25.000000","25.000000","14.285714","33.333333","16.666667",
"9.000000","12.500000","25.000000","16.666667","20.000000","20.000000","33.333333","25.000000",
"10.000000","14.285714","20.000000","16.666667","20.000000","12.500000","50.000000","33.333333",
"15.000000","19.230769","33.333333","18.518519","21.739130","26.315789","50.000000","55.555556",
"20.000000","20.000000","35.714286","27.777778","17.241379","13.888889","71.428571","38.461538",
"26.000000","21.739130","41.666667","45.454545","15.625000","14.285714","71.428571","55.555556",
"31.000000","23.809524","41.666667","50.000000","14.285714","12.500000","83.333333","41.666667",
"36.000000","27.777778","45.454545","50.000000","14.285714","16.666667","83.333333","62.500000",
"41.000000","20.833333","62.500000","41.322314","21.739130","21.739130","41.666667","50.000000",
"46.000000","16.666667","31.250000","31.250000","26.315789","26.315789","62.500000","50.000000",
"51.000000","22.727273","38.461538","55.555556","29.411765","38.461538","41.666667","62.500000",
"56.000000","21.739130","38.461538","100.000000","31.250000","35.714286","62.500000","45.454545",
"62.000000","20.833333","33.333333","62.500000","31.250000","27.777778","83.333333","33.333333",
"67.000000","22.727273","50.000000","71.428571","33.333333","31.250000","83.333333","41.666667",
"72.000000","21.739130","41.666667","38.461538","38.461538","45.454545","125.000000","62.500000",
"77.000000","23.809524","45.454545","35.714286","38.461538","35.714286","166.666667","125.000000",
"82.000000","19.230769","50.000000","71.428571","31.250000","45.454545","71.428571","50.000000",
"87.000000","20.833333","27.777778","62.500000","35.714286","33.333333","41.666667","31.250000",
"93.000000","20.000000","35.714286","83.333333","45.454545","55.555556","83.333333","50.000000",
"99.000000","19.230769","33.333333","62.500000","35.714286","41.666667","100.000000","55.555556",
"104.000000","25.000000","41.666667","100.000000","45.454545","62.500000","83.333333","83.333333",
"129.000000","22.935780","64.102564","92.592593","53.191489","48.076923","78.125000","56.818182",
"155.000000","22.935780","71.428571","131.578947","56.689342","48.076923","113.636364","62.500000",
"184.000000","22.935780","59.523810","192.307692","65.789474","58.139535","113.636364","65.789474",
"210.000000","25.773196","67.567568","108.695652","73.529412","54.347826","156.250000","89.285714",
