"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","16.666667","14.285714","6.250000","4.000000","7.142857","1.960784","7.142857",
"2.000000","33.333333","25.000000","25.000000","33.333333","33.333333","33.333333","33.333333",
"3.000000","33.333333","25.000000","50.000000","10.000000","50.000000","50.000000","33.333333",
"4.000000","33.333333","33.333333","33.333333","33.333333","25.000000","33.333333","50.000000",
"5.000000","33.333333","33.333333","33.333333","20.000000","20.000000","33.333333","50.000000",
"6.000000","11.111111","33.333333","50.000000","33.333333","50.000000","33.333333","33.333333",
"7.000000","14.285714","33.333333","20.000000","20.000000","50.000000","33.333333","50.000000",
"8.000000","20.000000","33.333333","33.333333","25.000000","20.000000","33.333333","33.333333",
"9.000000","16.666667","33.333333","20.000000","25.000000","33.333333","33.333333","20.000000",
"10.000000","25.000000","33.333333","20.000000","33.333333","33.333333","33.333333","50.000000",
"15.000000","35.714286","83.333333","38.461538","41.666667","35.714286","71.428571","50.000000",
"20.000000","29.411765","100.000000","45.454545","38.461538","35.714286","83.333333","71.428571",
"25.000000","41.666667","166.666667","83.333333","29.411765","45.454545","83.333333","100.000000",
"30.000000","45.454545","166.666667","55.555556","35.714286","20.000000","125.000000","55.555556",
"35.000000","45.454545","100.000000","71.428571","25.000000","25.000000","125.000000","166.666667",
"40.000000","50.000000","100.000000","55.555556","45.454545","31.250000","71.428571","100.000000",
"45.000000","45.454545","83.333333","83.333333","45.454545","50.000000","100.000000","83.333333",
"50.000000","55.555556","83.333333","62.500000","45.454545","50.000000","71.428571","125.000000",
"55.000000","45.454545","100.000000","71.428571","55.555556","50.000000","100.000000","125.000000",
"60.000000","55.555556","250.000000","100.000000","50.000000","71.428571","125.000000","83.333333",
"65.000000","41.666667","250.000000","125.000000","55.555556","55.555556","100.000000","125.000000",
"70.000000","33.333333","83.333333","100.000000","62.500000","55.555556","100.000000","125.000000",
"75.000000","45.454545","250.000000","100.000000","83.333333","83.333333","100.000000","166.666667",
"80.000000","35.714286","250.000000","100.000000","55.555556","62.500000","166.666667","83.333333",
"85.000000","33.333333","166.666667","71.428571","100.000000","100.000000","83.333333","83.333333",
"90.000000","38.461538","125.000000","100.000000","62.500000","71.428571","100.000000","100.000000",
"95.000000","41.666667","125.000000","125.000000","45.454545","62.500000","166.666667","125.000000",
"100.000000","50.000000","166.666667","166.666667","62.500000","62.500000","166.666667","125.000000",
"125.000000","54.347826","108.695652","138.888889","113.636364","108.695652","138.888889","131.578947",
"150.000000","52.083333","250.000000","166.666667","178.571429","125.000000","227.272727","208.333333",
"175.000000","56.818182","178.571429","165.562914","138.888889","208.333333","178.571429","208.333333",
"200.000000","58.139535","178.571429","227.272727","119.047619","208.333333","208.333333","208.333333",
"225.000000","71.428571","100.000000","312.500000","131.578947","113.636364","108.695652","119.047619",
"250.000000","58.139535","138.888889","312.500000","119.047619","131.578947","178.571429","192.307692",
"275.000000","71.428571","192.307692","250.000000","156.250000","113.636364","250.000000","178.571429",
"300.000000","54.347826","208.333333","208.333333","312.500000","156.250000","312.500000","178.571429",
"325.000000","51.020408","138.888889","156.250000","178.571429","156.250000","227.272727","166.666667",
"350.000000","41.666667","156.250000","227.272727","166.666667","156.250000","208.333333","166.666667",
"375.000000","69.444444","119.047619","227.272727","192.307692","227.272727","166.666667","178.571429",
"400.000000","51.020408","208.333333","178.571429","227.272727","227.272727","192.307692","178.571429",
"425.000000","58.139535","119.047619","250.000000","166.666667","96.153846","138.888889","277.777778",
"450.000000","64.102564","108.695652","192.307692","131.578947","156.250000","178.571429","156.250000",
"475.000000","52.083333","250.000000","227.272727","250.000000","227.272727","138.888889","100.000000",
"500.000000","49.019608","125.000000","166.666667","131.578947","250.000000","156.250000","138.888889",
"525.000000","49.019608","138.888889","208.333333","192.307692","178.571429","277.777778","227.272727",
"550.000000","59.523810","138.888889","192.307692","227.272727","166.666667","166.666667","277.777778",
"575.000000","48.076923","250.000000","208.333333","156.250000","125.000000","166.666667","227.272727",
"600.000000","44.642857","192.307692","416.666667","178.571429","208.333333","178.571429","250.000000",
"625.000000","58.139535","155.279503","192.307692","274.725275","166.666667","250.000000","156.250000",
"650.000000","44.642857","250.000000","277.777778","131.578947","192.307692","178.571429","192.307692",
"675.000000","48.076923","166.666667","312.500000","131.578947","277.777778","312.500000","138.888889",
"700.000000","51.020408","250.000000","178.571429","208.333333","208.333333","178.571429","156.250000",
"725.000000","50.000000","166.666667","208.333333","138.888889","131.578947","208.333333","147.058824",
"750.000000","47.169811","166.666667","277.777778","119.047619","147.058824","208.333333","178.571429",
"775.000000","48.076923","192.307692","250.000000","156.250000","166.666667","131.578947","178.571429",
"800.000000","52.083333","147.058824","192.307692","131.578947","138.888889","208.333333","277.777778",
"825.000000","55.555556","192.307692","227.272727","138.888889","138.888889","147.058824","125.000000",
"850.000000","64.102564","131.578947","178.571429","156.250000","227.272727","147.058824","147.058824",
"875.000000","50.000000","138.888889","166.666667","104.166667","166.666667","156.250000","192.307692",
"900.000000","50.000000","119.047619","277.777778","125.000000","125.000000","178.571429","178.571429",
"925.000000","67.385445","108.695652","166.666667","192.307692","147.058824","138.121547","156.250000",
"950.000000","47.169811","119.047619","277.777778","125.000000","192.307692","113.636364","119.047619",
"975.000000","62.500000","125.000000","208.333333","131.578947","119.047619","119.047619","131.578947",
"1000.000000","58.139535","108.695652","178.571429","80.645161","147.058824","131.578947","166.666667",
"1100.000000","62.500000","196.078431","285.714286","196.078431","121.951220","277.777778","263.157895",
"1200.000000","56.179775","181.818182","270.270270","149.253731","208.333333","322.580645","212.765957",
"1300.000000","57.803468","222.222222","277.777778","178.571429","126.582278","303.030303","200.000000",
"1400.000000","46.948357","169.204738","344.827586","185.185185","158.478605","250.000000","237.529691",
"1500.000000","50.000000","192.307692","303.030303","208.333333","128.205128","212.765957","208.333333",
"1600.000000","45.871560","136.798906","238.095238","181.818182","149.253731","208.333333","178.571429",
"1700.000000","41.322314","163.934426","344.827586","185.185185","172.413793","181.818182","178.571429",
"1800.000000","64.935065","136.986301","294.117647","144.927536","163.934426","192.307692","158.730159",
"1900.000000","57.803468","121.951220","212.765957","144.927536","126.582278","151.515152","172.413793",
"2000.000000","63.694268","123.456790","212.765957","270.270270","117.647059","192.307692","140.845070",
"2100.000000","52.356021","147.058824","200.000000","232.558140","126.582278","303.030303","277.777778",
"2200.000000","57.803468","217.391304","416.666667","188.679245","200.000000","322.580645","199.600798",
"2300.000000","61.728395","133.333333","312.500000","243.902439","181.488203","222.222222","243.902439",
"2400.000000","55.248619","156.250000","285.714286","208.333333","196.078431","232.558140","232.558140",
"2500.000000","49.261084","185.185185","238.095238","163.934426","175.438596","243.902439","227.272727",
"2600.000000","48.780488","188.679245","255.754476","140.845070","181.818182","333.333333","196.078431",
"2700.000000","58.823529","196.078431","370.370370","151.515152","169.491525","285.714286","222.222222",
"2800.000000","46.511628","175.438596","333.333333","196.078431","175.438596","250.000000","212.765957",
"2900.000000","51.813472","136.986301","250.000000","181.818182","200.000000","222.222222","153.609831",
"3000.000000","48.756704","144.927536","217.391304","169.491525","136.986301","270.270270","192.307692",
"3100.000000","46.728972","147.058824","285.714286","144.927536","153.846154","208.333333","151.515152",
"3200.000000","44.052863","129.870130","270.270270","144.927536","126.582278","178.571429","169.491525",
"3300.000000","47.169811","158.730159","256.410256","131.578947","161.290323","192.307692","232.558140",
"3400.000000","45.045045","200.000000","263.157895","140.845070","204.081633","185.185185","166.666667",
"3500.000000","40.485830","120.481928","204.081633","144.927536","161.290323","175.438596","136.986301",
"3600.000000","47.619048","163.934426","217.391304","121.802680","125.000000","270.270270","212.765957",
"3700.000000","36.496350","147.058824","222.222222","131.578947","149.253731","120.481928","158.730159",
"3800.000000","58.139535","156.250000","208.333333","217.391304","166.666667","158.730159","169.491525",
"3900.000000","59.171598","138.888889","200.000000","188.679245","121.951220","142.857143","163.934426",
"4000.000000","68.027211","117.647059","196.078431","166.666667","121.951220","158.730159","133.333333",
"4100.000000","53.475936","188.679245","263.157895","285.714286","120.481928","263.157895","208.333333",
"4200.000000","57.803468","166.666667","217.391304","208.333333","133.333333","243.902439","312.500000",
"4300.000000","52.083333","149.253731","312.500000","163.934426","149.253731","277.777778","312.500000",
"4400.000000","50.505051","163.934426","256.410256","188.679245","178.571429","285.714286","217.391304",
"4500.000000","50.251256","146.842878","250.000000","185.185185","208.333333","277.777778","217.391304",
"4600.000000","56.785917","169.491525","277.777778","136.986301","178.571429","175.438596","212.765957",
"4700.000000","52.083333","199.600798","303.030303","238.095238","200.000000","322.580645","192.307692",
"4800.000000","50.505051","250.000000","277.777778","163.934426","169.491525","263.157895","227.272727",
"4900.000000","45.248869","149.031297","227.272727","151.515152","172.413793","270.270270","222.222222",
"5000.000000","50.505051","208.333333","221.729490","158.730159","200.000000","212.765957","192.307692",
"5100.000000","51.546392","151.515152","312.500000","169.491525","153.846154","222.222222","156.250000",
"5200.000000","55.248619","178.571429","322.580645","169.491525","158.478605","232.558140","181.818182",
"5300.000000","55.248619","158.730159","263.157895","156.006240","166.666667","285.714286","188.679245",
"5400.000000","49.504950","153.846154","285.714286","149.253731","192.307692","175.438596","256.410256",
"5500.000000","58.479532","161.290323","238.095238","149.253731","158.730159","156.250000","144.927536",
