"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","5.000000","14.285714","20.000000","4.347826","3.846154","5.555556","14.285714",
"2.000000","33.333333","33.333333","25.000000","33.333333","5.000000","20.000000","33.333333",
"3.000000","20.000000","33.333333","50.000000","33.333333","20.000000","33.333333","50.000000",
"4.000000","33.333333","25.000000","33.333333","33.333333","25.000000","25.000000","50.000000",
"5.000000","11.111111","33.333333","50.000000","25.000000","16.666667","33.333333","33.333333",
"6.000000","20.000000","33.333333","33.333333","25.000000","25.000000","33.333333","50.000000",
"7.000000","20.000000","25.000000","25.000000","25.000000","25.000000","25.000000","25.000000",
"8.000000","33.333333","33.333333","20.000000","20.000000","20.000000","33.333333","20.000000",
"9.000000","9.090909","25.000000","25.000000","16.666667","12.500000","33.333333","33.333333",
"10.000000","20.000000","50.000000","16.666667","25.000000","16.666667","33.333333","33.333333",
"15.000000","29.411765","83.333333","20.833333","20.833333","19.230769","83.333333","71.428571",
"20.000000","35.714286","55.555556","31.250000","25.000000","22.727273","71.428571","83.333333",
"25.000000","25.000000","62.500000","55.555556","20.833333","15.625000","100.000000","62.500000",
"30.000000","41.666667","50.000000","71.428571","20.746888","16.666667","71.428571","83.333333",
"35.000000","22.727273","62.500000","100.000000","17.857143","14.705882","71.428571","125.000000",
"40.000000","35.714286","100.000000","100.000000","38.461538","29.411765","100.000000","55.555556",
"45.000000","21.739130","55.555556","125.000000","41.666667","31.250000","83.333333","71.428571",
"50.000000","50.000000","62.500000","125.000000","55.555556","33.333333","71.428571","71.428571",
"55.000000","27.777778","55.555556","166.666667","45.454545","45.454545","55.555556","100.000000",
"60.000000","35.714286","83.333333","125.000000","62.500000","50.000000","83.333333","62.500000",
"65.000000","35.714286","100.000000","250.000000","125.000000","33.333333","83.333333","100.000000",
"70.000000","26.315789","71.428571","166.666667","125.000000","83.333333","100.000000","166.666667",
"75.000000","20.000000","71.428571","166.666667","100.000000","50.000000","83.333333","100.000000",
"80.000000","45.454545","62.500000","250.000000","71.428571","38.461538","100.000000","83.333333",
"85.000000","38.461538","71.428571","125.000000","100.000000","41.666667","71.428571","83.333333",
"90.000000","33.333333","83.333333","166.666667","71.428571","35.714286","100.000000","100.000000",
"95.000000","27.777778","71.428571","166.666667","71.428571","55.555556","100.000000","71.428571",
"100.000000","55.555556","83.333333","100.000000","55.555556","38.461538","55.555556","83.333333",
"125.000000","39.682540","92.592593","312.500000","125.000000","92.592593","86.206897","100.000000",
"150.000000","35.211268","108.695652","357.142857","131.578947","89.285714","192.307692","125.000000",
"175.000000","36.231884","125.000000","357.142857","208.333333","113.636364","119.047619","119.047619",
"200.000000","58.139535","131.578947","416.666667","166.666667","108.695652","96.153846","125.000000",
"225.000000","45.454545","125.000000","312.500000","166.666667","119.047619","71.428571","104.166667",
