"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","3.333333","25.000000","3.571429","2.439024","1.960784","3.225806","1.785714",
"2.000000","1.315789","4.000000","16.666667","16.666667","6.666667","33.333333","33.333333",
"3.000000","11.111111","1.351351","12.500000","20.000000","14.285714","16.666667","2.083333",
"4.000000","12.500000","6.250000","14.285714","12.500000","12.500000","33.333333","25.000000",
"5.000000","4.761905","1.030928","11.111111","14.285714","12.500000","33.333333","2.173913",
"6.000000","9.090909","25.000000","25.000000","12.500000","12.500000","33.333333","50.000000",
"7.000000","11.111111","33.333333","16.666667","12.500000","12.500000","33.333333","25.000000",
"8.000000","12.500000","33.333333","20.000000","20.000000","25.000000","33.333333","12.500000",
"9.000000","10.000000","2.222222","11.111111","11.111111","12.500000","33.333333","2.272727",
"10.000000","10.000000","33.333333","16.666667","11.111111","10.000000","50.000000","25.000000",
"15.000000","6.172840","50.000000","11.904762","12.820513","12.195122","38.461538","26.315789",
"20.000000","19.230769","0.000012","2.461841","11.363636","13.157895","2.994012","4.166667",
"25.000000","5.555556","19.230769","0.000097","10.869565","11.363636","41.666667","38.461538",
"30.000000","11.363636","9.433962","4.347826","9.980040","9.259259","50.000000","38.461538",
"35.000000","17.857143","2.164502","19.230769","9.090909","9.090909","4.065041","3.703704",
"40.000000","15.625000","35.714286","2.890173","1.012146","1.123596","41.666667","45.454545",
"45.000000","15.151515","55.555556","31.250000","2.262443","2.538071","50.000000","62.500000",
"50.000000","4.344049","55.555556","33.333333","12.500000","14.285714","50.000000","83.333333",
"55.000000","13.888889","55.555556","2.923977","2.562788","2.873563","31.250000","31.250000",
"60.000000","15.625000","45.454545","41.666667","16.666667","13.477089","38.461538","41.666667",
"65.000000","16.129032","2.056767","38.461538","13.888889","14.285714","2.391200","2.776235",
"70.000000","14.285714","45.454545","33.333333","2.283105","2.777778","45.454545","71.428571",
"75.000000","17.857143","62.500000","33.333333","20.000000","16.129032","45.454545","55.555556",
"80.000000","16.129032","45.454545","31.250000","17.241379","17.857143","41.666667","50.000000",
"85.000000","16.129032","38.461538","26.315789","15.625000","18.518519","45.454545","62.500000",
"90.000000","17.857143","55.555556","1.900418","16.666667","17.857143","50.000000","83.333333",
"95.000000","17.241379","50.000000","41.666667","12.500000","18.518519","50.000000","45.454545",
"100.000000","2.369668","45.454545","41.666667","14.285714","16.666667","45.454545","50.000000",
"125.000000","16.556291","43.859649","54.347826","7.911392","7.022472","56.818182","62.500000",
"150.000000","17.730496","5.630631","45.454545","18.504811","18.382353","7.507508","8.305648",
"175.000000","18.782870","69.444444","2.266340","4.835590","5.363656","41.666667","86.206897",
"200.000000","5.399568","83.056478","51.020408","37.313433","29.761905","39.062500","56.818182",
"225.000000","20.661157","59.523810","54.347826","31.250000","32.467532","40.257649","64.102564",
"250.000000","21.367521","59.523810","16.778523","19.531250","25.252525","34.722222","43.859649",
"275.000000","17.985612","3.401361","30.120482","12.879959","12.500000","4.528986","4.324511",
"300.000000","19.215988","73.529412","3.452562","10.964912","13.728720","64.102564","100.000000",
"325.000000","16.891892","80.645161","55.555556","4.385965","4.012841","62.500000","104.166667",
"350.000000","20.000000","65.616798","65.789474","40.322581","36.764706","56.818182","71.428571",
"375.000000","20.161290","73.529412","50.000000","34.674064","36.764706","54.347826","71.428571",
"400.000000","19.685039","56.818182","48.076923","29.761905","38.402458","56.689342","54.347826",
"425.000000","3.612195","59.523810","71.428571","30.487805","31.250000","44.642857","51.020408",
"450.000000","21.739130","37.878788","62.500000","32.051282","30.864198","49.019608","60.975610",
"475.000000","20.833333","50.000000","51.020408","17.241379","25.252525","47.169811","59.523810",
"500.000000","21.367521","52.083333","43.103448","2.837362","24.509804","53.191489","46.296296",
"525.000000","18.115942","1.855838","41.666667","39.062500","14.880952","2.477455","2.453145",
"550.000000","18.656716","64.102564","44.563280","44.642857","11.261261","73.529412","75.757576",
"575.000000","18.782870","71.428571","2.019223","39.062500","7.350779","65.789474","96.153846",
"600.000000","19.841270","60.975610","69.444444","40.322581","2.679528","67.567568","92.592593",
"625.000000","19.379845","75.757576","62.500000","37.878788","40.322581","49.019608","69.444444",
"650.000000","19.083969","83.333333","45.454545","36.764706","40.322581","50.000000","96.153846",
"675.000000","17.123288","78.125000","54.347826","40.983607","42.372881","50.000000","92.592593",
"700.000000","16.233766","77.881620","56.818182","35.714286","39.062500","54.347826","86.206897",
"725.000000","18.796992","64.102564","52.083333","36.710720","34.722222","51.020408","89.285714",
"750.000000","17.730496","65.789474","53.191489","31.645570","33.783784","45.454545","73.529412",
"775.000000","17.857143","55.555556","69.444444","31.250000","39.682540","48.076923","60.975610",
"800.000000","17.241379","64.102564","56.818182","33.783784","36.231884","46.296296","58.139535",
"825.000000","1.977692","64.102564","47.169811","27.472527","32.051282","49.900200","58.139535",
"850.000000","20.000000","73.529412","41.666667","28.409091","34.722222","55.555556","53.191489",
"875.000000","21.929825","64.102564","38.461538","22.935780","32.467532","45.454545","49.019608",
"900.000000","19.364833","44.642857","44.563280","20.000000","30.864198","45.454545","55.555556",
"925.000000","20.491803","44.642857","44.642857","19.685039","26.881720","45.454545","59.523810",
"950.000000","19.841270","43.103448","49.019608","1.531675","19.379845","43.103448","54.347826",
"975.000000","21.008403","49.019608","40.983607","52.083333","19.230769","40.983607","51.020408",
"1000.000000","18.518519","45.454545","42.372881","38.461538","14.619883","41.666667","59.523810",
"1100.000000","19.719976","3.579995","3.777576","45.045045","6.324311","4.989522","4.826022",
"1200.000000","18.761726","47.169811","60.606061","38.153377","4.707655","65.789474","89.206066",
"1300.000000","17.727353","48.076923","68.027211","39.682540","34.965035","58.479532","83.333333",
"1400.000000","19.157088","46.948357","53.475936","37.453184","39.062500","66.225166","82.644628",
"1500.000000","17.418568","43.290043","55.555556","34.002040","35.714286","51.282051","70.422535",
"1600.000000","17.361111","47.846890","57.770075","32.362460","35.211268","66.666667","74.074074",
"1700.000000","18.047284","51.786639","50.761421","29.498525","33.670034","59.880240","48.780488",
"1800.000000","3.480319","50.251256","43.103448","26.239832","26.954178","51.282051","58.445354",
"1900.000000","21.786492","46.728972","41.666667","18.726592","20.533881","48.780488","53.763441",
"2000.000000","20.491803","46.948357","42.716788","3.025444","11.414222","44.843049","55.248619",
"2100.000000","19.230769","1.650002","41.493776","43.290043","2.986590","2.593832","2.393261",
"2200.000000","19.451469","60.975610","2.055752","41.476566","1.403982","63.694268","89.285714",
"2300.000000","8.582954","61.349693","65.789474","38.610039","47.619048","56.818182","99.009901",
"2400.000000","19.762846","52.356021","56.465274","36.496350","39.370079","63.291139","89.285714",
"2500.000000","17.822135","60.240964","52.083333","37.579857","40.650407","66.666667","97.087379",
"2600.000000","18.214936","54.945055","56.179775","40.650407","37.174721","56.148231","94.339623",
"2700.000000","17.388280","68.027211","60.975610","36.231884","40.633889","65.359477","91.743119",
"2800.000000","17.543860","46.511628","50.505051","35.587189","36.900369","59.880240","67.567568",
"2900.000000","16.889039","59.171598","56.465274","33.545790","34.013605","60.606061","62.111801",
"3000.000000","17.391304","49.261084","54.644809","34.364261","33.670034","56.497175","68.965517",
"3100.000000","16.074586","48.076923","52.910053","32.894737","33.112583","58.105752","70.422535",
"3200.000000","16.636167","65.359477","47.846890","30.385901","31.152648","46.728972","63.694268",
"3300.000000","17.761989","52.356021","50.479556","27.932961","32.154341","46.296296","58.139535",
"3400.000000","13.475273","51.519835","42.735043","28.735632","29.325513","51.546392","63.291139",
"3500.000000","13.208295","61.349693","45.248869","24.265955","28.818444","52.631579","65.789474",
"3600.000000","13.698630","49.751244","44.247788","21.929825","29.316916","42.553191","65.359477",
"3700.000000","13.439054","46.948357","43.649062","1.665667","21.786492","46.296296","56.465274",
"3800.000000","1.567005","50.000000","42.194093","48.076923","20.283976","50.505051","59.171598",
"3900.000000","16.447368","46.061723","42.194093","40.000000","15.576324","46.296296","56.818182",
"4000.000000","17.418568","51.020408","40.322581","47.169811","8.649771","46.490005","53.763441",
"4100.000000","17.298045","0.830765","37.439161","39.984006","2.780636","1.254910","1.243518",
"4200.000000","17.152659","69.444444","42.194093","40.650407","0.965904","67.114094","75.757576",
"4300.000000","16.178612","53.191489","1.098925","40.160643","0.815056","76.335878","97.087379",
"4400.000000","15.384615","52.083333","65.359477","44.228218","0.927652","72.463768","81.300813",
"4500.000000","15.997440","57.770075","62.500000","41.666667","35.460993","63.251107","86.206897",
"4600.000000","17.358098","58.139535","56.818182","36.630037","41.666667","52.356021","76.923077",
"4700.000000","15.313936","56.497175","54.054054","36.496350","36.363636","55.555556","90.909091",
"4800.000000","16.100467","62.500000","64.516129","38.895371","38.153377","71.942446","89.285714",
"4900.000000","16.181230","59.171598","60.606061","34.482759","37.037037","49.261084","80.645161",
"5000.000000","14.992504","57.110223","66.225166","35.714286","35.087719","53.475936","68.493151",
"5100.000000","14.990256","54.644809","49.261084","36.350418","36.088055","67.114094","74.626866",
"5200.000000","15.649452","49.261084","52.910053","34.364261","36.363636","58.139535","80.000000",
"5300.000000","15.241579","53.191489","60.606061","33.783784","34.722222","52.910053","85.470085",
"5400.000000","16.257519","54.054054","52.083333","32.041012","34.843206","59.844405","74.626866",
"5500.000000","15.527950","56.465274","59.488400","32.467532","35.574529","54.644809","70.422535",
"5600.000000","14.263301","55.555556","50.761421","35.587189","33.444816","60.975610","72.463768",
"5700.000000","14.062720","56.179775","55.555556","32.786885","32.786885","54.945055","72.463768",
"5800.000000","14.970060","48.543689","49.751244","31.446541","33.886818","58.139535","65.789474",
"5900.000000","14.182385","53.447354","47.619048","33.003300","32.467532","52.328624","62.073246",
"6000.000000","14.660607","49.504950","44.642857","33.444816","32.051282","48.543689","70.422535",
"6100.000000","14.903130","53.191489","47.846890","31.746032","32.562683","47.619048","68.493151",
"6200.000000","14.142271","46.082949","52.631579","30.674847","31.347962","49.504950","68.493151",
"6300.000000","14.386419","49.261084","49.504950","30.395137","31.645570","51.786639","58.479532",
"6400.000000","12.919897","50.505051","42.176297","28.571429","30.293850","44.247788","64.935065",
"6500.000000","14.023279","46.948357","49.751244","27.932961","29.761905","45.045045","68.493151",
"6600.000000","13.225764","59.171598","46.728972","29.841838","28.571429","46.511628","63.694268",
"6700.000000","13.493456","48.543689","43.290043","26.385224","26.802466","47.596383","62.893082",
"6800.000000","14.577259","50.994391","47.147572","27.247956","29.585799","46.948357","55.248619",
"6900.000000","14.345144","47.169811","44.843049","25.310048","25.634453","52.083333","46.926326",
"7000.000000","14.082524","49.261084","44.247788","22.883295","24.330900","50.761421","62.500000",
"7100.000000","11.520737","47.619048","48.543689","22.568269","23.419204","43.271311","47.169811",
"7200.000000","12.804097","40.633889","42.354934","23.201856","20.828994","44.642857","54.347826",
"7300.000000","13.208295","46.082949","39.525692","0.908100","20.964361","48.309179","56.497175",
"7400.000000","13.529969","48.543689","41.152263","44.247788","19.301293","42.918455","54.024851",
"7500.000000","13.089005","47.619048","40.966817","44.228218","15.549681","43.459365","58.139535",
"7600.000000","0.810629","41.999160","43.478261","39.062500","16.025641","39.840637","59.523810",
"7700.000000","17.331023","49.504950","44.247788","42.194093","14.553922","40.485830","50.505051",
"7800.000000","15.745552","42.194093","43.103448","38.910506","12.017786","43.840421","47.596383",
"7900.000000","15.408320","40.322581","38.610039","48.520136","7.799704","47.619048","52.631579",
"8000.000000","15.647004","46.490005","37.735849","43.103448","3.947576","41.666667","50.251256",
"8100.000000","14.283674","42.016807","40.306328","39.682540","1.621639","41.152263","47.169811",
"8200.000000","16.806723","0.417657","38.610039","40.983607","1.008481","0.629545","0.632095",
"8300.000000","15.453562","54.914882","37.313433","35.448423","0.918704","56.818182","88.495575",
"8400.000000","15.453562","65.359477","0.570236","36.764706","0.457268","62.500000","84.745763",
"8500.000000","15.360983","60.240964","59.523810","39.682540","0.470369","57.803468","76.335878",
"8600.000000","15.946420","45.454545","49.019608","37.160907","42.194093","57.471264","98.039216",
"8700.000000","15.974441","54.945055","57.110223","40.160643","37.864445","61.690315","75.187970",
"8800.000000","15.384615","54.614965","54.644809","38.314176","38.314176","60.606061","73.529412",
"8900.000000","14.511682","56.179775","52.356021","34.843206","37.313433","59.523810","83.263947",
"9000.000000","15.479876","58.823529","54.347826","35.323207","39.525692","52.631579","83.333333",
"9100.000000","16.417665","63.291139","51.255766","37.313433","37.735849","54.024851","81.300813",
"9200.000000","14.967819","53.763441","54.054054","37.735849","40.816327","63.291139","74.074074",
"9300.000000","13.966480","54.614965","55.865922","34.590107","40.160643","60.606061","59.171598",
"9400.000000","15.870497","59.880240","64.516129","36.764706","39.666799","54.347826","90.090090",
"9500.000000","14.365752","60.240964","54.347826","39.215686","37.453184","48.309179","83.263947",
"9600.000000","16.528926","59.523810","49.480455","35.448423","34.843206","55.834729","68.493151",
"9700.000000","14.682132","62.893082","52.083333","34.013605","35.335689","55.555556","76.923077",
"9800.000000","14.023279","56.785917","53.475936","36.764706","35.971223","55.865922","78.125000",
"9900.000000","14.534884","53.191489","53.475936","32.154341","36.496350","47.619048","68.027211",
"10000.000000","14.856633","53.763441","58.479532","34.364261","37.313433","53.734551","75.757576",
"11000.000000","14.533405","57.930715","53.728777","34.360719","35.622685","51.488003","73.904368",
"12000.000000","13.889661","53.873505","49.995000","32.517153","33.588607","48.211359","64.968815",
"13000.000000","13.437970","48.871078","47.980040","29.237201","30.766391","47.165362","63.403500",
"14000.000000","12.824294","46.102070","43.399011","25.010630","26.951998","46.377887","56.879586",
"15000.000000","12.523952","44.579173","42.804554","4.257838","20.971395","43.192813","53.327645",
"16000.000000","3.128931","42.640287","39.089985","41.353073","9.288501","42.099945","49.746294",
"17000.000000","13.994626","2.004233","2.719216","37.603881","0.753200","3.388498","3.100112",
"18000.000000","13.705013","57.766738","54.999450","38.004028","38.149010","55.614259","79.233024",
"19000.000000","13.475818","57.863673","57.365764","34.610459","35.085257","54.344873","81.960495",
"20000.000000","13.029995","52.709256","52.960491","33.917851","36.163749","50.576573","74.178473",
"21000.000000","12.341565","51.093399","52.405408","32.140906","33.453767","51.015203","74.677022",
"22000.000000","11.799828","49.353470","51.620896","30.606311","32.266391","46.356388","67.376364",
"23000.000000","11.976478","49.922620","50.220972","30.625057","30.709701","47.614513","65.828451",
"24000.000000","11.890889","49.870337","46.680982","28.479481","29.600687","46.015093","65.958710",
"25000.000000","11.456328","48.704461","46.637441","27.775463","28.309365","44.087823","63.363325",
"26000.000000","11.578496","45.142651","44.778793","26.141741","27.320165","40.076948","58.713011",
"27000.000000","13.167077","44.879275","42.190532","24.245951","26.080380","41.696201","54.489974",
"28000.000000","13.778660","40.946687","42.244001","2.256985","21.041557","39.726680","55.859680",
"29000.000000","13.387598","41.611185","40.109097","41.419873","20.914377","40.141297","52.792736",
"30000.000000","13.284447","40.157417","38.892346","40.433447","17.628911","37.688916","50.246206",
"31000.000000","1.838783","39.867639","38.412784","39.679391","11.448459","36.950818","48.871078",
"32000.000000","16.381358","37.661946","37.267544","37.660528","3.574940","36.532349","43.721581",
"33000.000000","16.177303","0.985144","1.359867","38.831935","0.345645","1.759786","1.457469",
"34000.000000","16.039521","56.976810","54.253472","35.333192","39.181882","61.117223","66.974751",
"35000.000000","15.409270","58.034937","56.205036","34.599682","36.255529","62.262624","65.910888",
"36000.000000","15.672753","55.521626","55.395524","34.149507","36.097174","64.637063","63.808065",
"37000.000000","15.303390","55.831612","53.873505","32.934822","35.207548","60.819852","61.568772",
"38000.000000","15.097530","53.185831","52.050802","33.253525","34.791080","60.856865","62.770699",
"39000.000000","14.919583","54.638837","50.602166","33.077534","34.408010","62.223882","57.633566",
"40000.000000","14.575772","55.580258","51.700962","31.633557","33.219280","59.168097","61.120958",
"41000.000000","14.428765","50.807845","50.070098","31.072305","33.497471","58.750955","58.373708",
"42000.000000","14.193054","51.276792","49.598254","30.000300","30.804300","59.769291","60.749651",
"43000.000000","12.598108","51.015203","49.872824","29.443806","30.541812","54.908851","54.939018",
"44000.000000","13.876169","49.089392","46.528941","29.530756","30.346251","57.930715","57.369055",
"45000.000000","11.838803","48.586143","48.633401","29.644562","29.143473","53.157559","57.136327",
"46000.000000","11.857051","46.334909","46.702783","28.056000","28.757944","51.329432","54.609000",
"47000.000000","11.591784","46.099945","45.040987","27.230891","28.642626","53.498823","53.358946",
"48000.000000","11.847218","45.285753","45.224313","27.142198","27.402516","52.487928","53.216966",
"49000.000000","11.434060","43.305041","45.678787","26.557603","26.980358","53.188660","49.500050",
"50000.000000","11.476049","43.081165","43.759846","26.072900","26.966535","51.464155","50.372758",
"51000.000000","11.767890","40.929928","43.455588","24.676735","26.320638","48.754327","48.491902",
"52000.000000","11.080578","42.030935","43.721581","24.163928","25.358827","50.730519","47.524000",
"53000.000000","11.308635","43.779004","42.297606","23.683213","24.652401","50.095181","49.478007",
"54000.000000","11.562298","40.963461","43.062613","22.146432","24.453465","50.730519","46.921922",
"55000.000000","11.029128","43.664309","41.353073","21.113082","23.449958","47.934043","45.762402",
"56000.000000","11.000132","40.044850","41.507554","1.081779","22.068235","49.451093","45.101930",
"57000.000000","11.189688","37.960749","40.997048","40.012804","20.883803","47.821721","44.029588",
"58000.000000","10.995294","40.515355","39.756689","40.141297","19.575601","46.637441","42.949792",
"59000.000000","10.587725","39.274213","39.475762","39.073184","17.281604","44.758750","42.859592",
"60000.000000","10.183403","37.575621","38.892346","37.463005","15.806278","46.442504","38.339148",
"61000.000000","10.063501","37.575621","37.745820","38.621968","12.912056","44.440494","38.590669",
"62000.000000","10.412545","36.613943","36.203027","37.089237","10.132842","45.347361","41.318899",
"63000.000000","0.934890","36.721504","36.802591","37.960749","6.508129","44.778793","39.851751",
"64000.000000","15.435434","36.176832","37.255048","37.591159","3.412783","43.932871","40.630587",
"65000.000000","15.677667","36.308184","36.320052","36.884037","0.931154","41.767605","39.274213",
"66000.000000","15.536394","0.454573","0.378170","36.046428","0.189612","0.967837","0.626879",
"67000.000000","15.505078","30.957835","32.665861","35.583390","37.492501","57.630244","39.616512",
"68000.000000","15.548472","25.857834","29.670949","29.749509","36.229259","57.763401","40.746475",
"69000.000000","15.284443","33.701806","31.804593","29.892685","35.471056","57.597051","37.875918",
"70000.000000","15.077044","35.597323","29.409170","30.099630","35.207548","56.941123","42.208340",
"71000.000000","14.875197","34.046030","31.652581","29.626996","36.006193","33.098335","39.916973",
"72000.000000","15.127220","32.359318","30.766391","29.262868","35.761542","56.779469","37.450378",
"73000.000000","14.795964","32.580719","31.336174","28.511961","34.455432","58.404392","40.171936",
"74000.000000","14.771922","31.602566","33.241366","28.318183","33.486254","54.758515","41.663195",
"75000.000000","14.791587","34.815305","31.542756","27.098068","33.463842","57.303306","43.118317",
"76000.000000","14.590872","31.976465","30.181390","27.208663","34.137849","46.528941","41.524790",
"77000.000000","14.739045","32.571168","30.236144","27.567955","33.746161","44.698731","41.471405",
"78000.000000","14.752309","31.208064","29.151969","27.402516","32.338389","47.844601","40.433447",
"79000.000000","14.368642","31.592582","30.466441","27.032141","32.805170","45.450414","42.046840",
"80000.000000","13.860590","32.580719","30.018311","26.417287","32.517153","45.867352","41.404439",
"81000.000000","11.939301","32.945673","30.653220","26.368527","31.703760","45.203869","42.011511",
"82000.000000","12.022554","32.121290","29.160470","24.860780","30.662619","43.894303","40.466170",
"83000.000000","11.725116","31.925422","29.478525","24.591777","31.149737","45.972784","40.188080",
"84000.000000","11.830539","31.062653","29.662148","23.644016","30.738020","44.010210","44.126732",
"85000.000000","11.704531","29.609451","31.120655","23.927452","30.181390","45.409136","42.029168",
"86000.000000","11.785921","31.935618","29.679755","23.521663","30.072475","44.539462","38.267259",
"87000.000000","11.655419","31.433691","30.254440","21.531307","30.851819","45.657931","41.576584",
"88000.000000","11.704531","33.564931","30.738020","23.156725","28.807651","44.401030","42.658476",
"89000.000000","11.421001","29.812480","29.160470","23.028740","29.504617","44.048982","42.315504",
"90000.000000","11.300967","31.532810","30.775859","22.249911","29.374614","44.165710","42.137199",
"91000.000000","11.253911","31.522870","30.909035","22.464843","28.815953","43.702474","42.968246",
"92000.000000","11.537086","30.346251","31.443575","21.990588","28.634424","43.932871","40.779708",
"93000.000000","11.106422","31.053972","32.698973","24.628722","27.599150","42.914771","40.761423",
"94000.000000","11.311194","30.615681","31.884705","26.431951","27.705436","42.315504","40.680172",
"95000.000000","11.438114","32.762179","30.738020","25.951782","27.216068","43.683383","42.154962",
"96000.000000","10.974780","29.254308","31.062653","25.664716","26.865110","41.978004","44.859142",
"97000.000000","10.641807","30.236144","31.188597","25.951108","27.170960","40.812995","43.248854",
"98000.000000","10.719377","29.937431","31.335193","25.211779","26.742973","40.415471","43.267567",
"99000.000000","10.936372","31.926441","31.053007","25.104182","22.792542","41.628507","44.204756",
"100000.000000","10.595690","29.426478","30.794814","25.060144","26.487961","40.728221","40.879732",
"110000.000000","11.800997","31.454652","31.616754","22.987502","23.818711","40.100733","40.901134",
"120000.000000","12.171906","30.555810","31.207188","4.525774","17.782520","36.842726","36.969397",
"130000.000000","3.000167","28.890044","30.740855","26.890106","2.009515","34.274042","33.874650",
"140000.000000","13.731077","1.663208","1.670996","27.523719","1.376821","3.364868","2.608499",
"150000.000000","11.384361","17.973651","21.132133","28.344591","26.296828","23.318775","24.120390",
"160000.000000","10.277101","19.288784","21.524725","28.169649","27.567803","23.450068","24.587181",
"170000.000000","10.225388","19.322327","21.693339","26.769246","27.276050","24.082632","25.426853",
"180000.000000","10.162312","19.663131","21.301432","25.328318","26.318283","26.726248","25.219663",
"190000.000000","9.482772","18.389519","20.469404","24.419070","24.633151","27.657009","26.954686",
"200000.000000","8.990550","18.157751","21.040982","22.715450","22.486564","28.656497","26.764231",
"210000.000000","8.585570","17.406380","20.857537","21.198926","21.458214","29.147636","26.101142",
"220000.000000","8.144450","15.887996","20.460609","2.348818","20.087017","28.595858","24.841264",
"230000.000000","7.724000","14.951930","19.860382","18.284912","17.496864","28.915022","23.692303",
"240000.000000","7.240485","14.655858","19.273913","18.488116","14.066003","28.955209","23.672169",
"250000.000000","6.586943","13.715069","19.206908","18.922657","8.284675","28.476885","23.087330",
"260000.000000","0.854820","12.995300","18.114006","18.264540","1.314147","28.145863","22.583610",
"270000.000000","6.801236","0.729245","0.870899","18.136345","0.681665","1.696057","1.392428",
"280000.000000","6.609407","16.470557","18.287921","17.450758","17.802147","17.462308","21.216017",
"290000.000000","6.426698","17.216386","18.813012","17.417324","17.945589","18.157751","21.769371",
"300000.000000","6.257893","17.279782","18.653654","17.023827","18.063910","18.287587","22.501288",
"310000.000000","6.059222","16.715867","18.690261","16.599632","17.194480","18.608529","22.385387",
"320000.000000","5.818067","16.363559","18.486373","16.218364","17.170566","18.833917","22.566741",
"330000.000000","5.496611","15.272329","18.259537","15.724086","16.860478","18.766057","22.400932",
"340000.000000","5.362574","15.151997","18.044027","15.155901","16.393604","19.019470","21.799268",
"350000.000000","5.255913","14.567046","17.520775","14.761651","15.777450","18.546751","22.175850",
"360000.000000","5.126223","14.154622","17.553067","14.116837","14.813279","18.752297","21.968317",
"370000.000000","4.980727","13.565098","17.609323","13.752037","13.978897","18.593651","21.559995",
"380000.000000","4.784993","13.542685","17.288416","13.559028","14.001014","18.322804","21.150950",
"390000.000000","4.744038","13.363856","17.102115","12.735609","13.543052","18.212979","21.119235",
"400000.000000","4.664240","12.222205","17.158780","12.586992","12.897418","18.196077","21.041867",
"410000.000000","4.579205","11.725034","16.470557","12.108839","12.463979","18.082561","20.756233",
"420000.000000","4.439547","11.515988","16.634673","11.577732","11.532323","17.428526","19.615305",
"430000.000000","4.338101","11.211768","16.521443","1.210362","11.406423","17.426430","20.340334",
"440000.000000","4.349063","10.776292","16.222837","15.096185","10.845481","17.223799","19.986649",
"450000.000000","4.231244","10.483763","16.155715","15.227932","10.362297","16.892976","19.776330",
"460000.000000","4.180735","9.912080","15.966891","15.901133","9.464633","17.081111","19.505877",
"470000.000000","4.026152","10.008407","15.859523","15.789881","8.711082","17.022059","19.544802",
"480000.000000","4.040909","9.985322","15.696197","15.772697","7.571754","16.325065","18.904056",
