"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"50000.000000","0.004566","0.003014","0.002471","0.002600","0.007729","0.001952","0.002316",
"100000.000000","0.009431","0.006705","0.005467","0.005063","0.014960","0.004474","0.004947",
"150000.000000","0.016213","0.014375","0.010841","0.008698","0.025747","0.008785","0.010061",
"200000.000000","0.021149","0.017071","0.013204","0.010627","0.027638","0.010766","0.011967",
"250000.000000","0.028047","0.020379","0.015728","0.016966","0.030922","0.012559","0.013999",
"300000.000000","0.045860","0.036444","0.025775","0.019789","0.046417","0.019955","0.022847",
"350000.000000","0.055160","0.039700","0.028501","0.022947","0.049426","0.022625","0.025103",
"400000.000000","0.065512","0.043629","0.031380","0.026689","0.052989","0.025419","0.027474",
"450000.000000","0.076915","0.048188","0.034409","0.037971","0.057390","0.028279","0.029950",
"500000.000000","0.089424","0.053419","0.037589","0.041148","0.064960","0.031269","0.032596",
"550000.000000","0.132552","0.091154","0.055567","0.044509","0.105591","0.044836","0.048673",
"600000.000000","0.143957","0.094504","0.058406","0.048078","0.108913","0.047921","0.051063",
"650000.000000","0.155844","0.098161","0.061280","0.051888","0.112475","0.051042","0.053497",
"700000.000000","0.168402","0.102177","0.064225","0.056040","0.116350","0.054237","0.055991",
"750000.000000","0.181538","0.106667","0.067242","0.060646","0.120726","0.057462","0.058542",
"800000.000000","0.195213","0.111431","0.070387","0.065762","0.125637","0.060793","0.061131",
"850000.000000","0.209485","0.116773","0.073593","0.085113","0.131156","0.064192","0.063807",
"900000.000000","0.224218","0.122278","0.076884","0.088408","0.137461","0.067648","0.066587",
"950000.000000","0.239492","0.128245","0.080256","0.091800","0.145073","0.071182","0.069437",
"1000000.000000","0.255253","0.134556","0.083732","0.095279","0.156448","0.074746","0.072364",
"1050000.000000","0.271794","0.237562","0.130006","0.098822","0.222647","0.106945","0.115766",
"1100000.000000","0.362335","0.240852","0.132878","0.102501","0.226099","0.110276","0.118318",
"1150000.000000","0.375227","0.244257","0.135736","0.106257","0.229634","0.113597","0.120805",
"1200000.000000","0.388488","0.247908","0.138614","0.110156","0.233321","0.116917","0.123310",
"1250000.000000","0.402048","0.251695","0.141570","0.114277","0.237168","0.120291","0.125861",
"1300000.000000","0.415815","0.255754","0.144556","0.118500","0.241181","0.123677","0.128446",
"1350000.000000","0.430163","0.260025","0.147575","0.122953","0.245395","0.127089","0.131041",
"1400000.000000","0.444995","0.264409","0.150662","0.127629","0.249852","0.130573","0.133669",
"1450000.000000","0.460138","0.269062","0.153775","0.132583","0.254595","0.134081","0.136337",
"1500000.000000","0.475459","0.273880","0.156895","0.137888","0.259624","0.137625","0.139034",
"1550000.000000","0.491034","0.278972","0.160098","0.143521","0.264996","0.141216","0.141737",
"1600000.000000","0.506930","0.284327","0.163345","0.149498","0.270766","0.144828","0.144501",
"1650000.000000","0.523070","0.289853","0.166613","0.198461","0.276866","0.148478","0.147289",
"1700000.000000","0.539442","0.295646","0.169933","0.201817","0.283386","0.152195","0.150114",
