"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"50000.000000","0.007171","0.001212","0.002724","0.002692","0.002585","0.003362","0.002438",
"100000.000000","0.014203","0.002195","0.005169","0.005169","0.005040","0.006475","0.004675",
"150000.000000","0.021284","0.003274","0.007661","0.007595","0.007491","0.009605","0.006895",
"200000.000000","0.028398","0.004333","0.010141","0.010097","0.009912","0.012720","0.009129",
"250000.000000","0.035660","0.005420","0.012611","0.012584","0.012377","0.015837","0.011356",
"300000.000000","0.042981","0.006580","0.015112","0.015033","0.014811","0.018964","0.013607",
"350000.000000","0.050386","0.007705","0.017611","0.017525","0.017237","0.022088","0.015846",
"400000.000000","0.057863","0.008858","0.020090","0.020036","0.019730","0.025210","0.018046",
"450000.000000","0.065414","0.010000","0.022626","0.022498","0.022212","0.028343","0.020319",
"500000.000000","0.073062","0.011166","0.025145","0.025021","0.024666","0.031479","0.022570",
"550000.000000","0.080790","0.012342","0.027630","0.027550","0.027145","0.034611","0.024805",
"600000.000000","0.088601","0.013526","0.030158","0.030045","0.029667","0.037753","0.027082",
"650000.000000","0.096480","0.014734","0.032698","0.032567","0.032142","0.040888","0.029327",
"700000.000000","0.104459","0.015949","0.035225","0.035134","0.034666","0.044039","0.031592",
"750000.000000","0.112504","0.017164","0.037787","0.037684","0.037163","0.047191","0.033877",
"800000.000000","0.120652","0.018418","0.040346","0.040239","0.039676","0.050338","0.036134",
"850000.000000","0.128873","0.019656","0.042873","0.042796","0.042226","0.053481","0.038416",
"900000.000000","0.137178","0.020904","0.045475","0.045386","0.044730","0.056648","0.040714",
"950000.000000","0.145513","0.022185","0.048050","0.047958","0.047263","0.059800","0.042974",
"1000000.000000","0.154220","0.023466","0.050625","0.050567","0.049791","0.062955","0.045315",
"1050000.000000","0.163015","0.024762","0.053229","0.053179","0.052362","0.066132","0.047644",
"1100000.000000","0.171707","0.026067","0.055854","0.055768","0.054941","0.069300","0.049973",
"1150000.000000","0.180431","0.027401","0.058435","0.058409","0.057554","0.072458","0.052310",
"1200000.000000","0.189284","0.028730","0.061056","0.061049","0.060151","0.075632","0.054627",
"1250000.000000","0.198222","0.030082","0.063723","0.063686","0.062761","0.078810","0.057009",
"1300000.000000","0.207271","0.031439","0.066349","0.066316","0.065358","0.081980","0.059339",
"1350000.000000","0.216464","0.032831","0.068993","0.069018","0.068000","0.085168","0.061710",
"1400000.000000","0.225728","0.034227","0.071669","0.071705","0.070640","0.088362","0.064090",
"1450000.000000","0.235073","0.035655","0.074347","0.074393","0.073263","0.091542","0.066474",
"1500000.000000","0.244516","0.037091","0.077019","0.077190","0.075906","0.094735","0.068877",
"1550000.000000","0.254059","0.038540","0.079714","0.079940","0.078567","0.097923","0.071273",
"1600000.000000","0.263634","0.040038","0.082468","0.082647","0.081258","0.101121","0.073675",
"1650000.000000","0.273359","0.041532","0.085174","0.085393","0.083924","0.104333","0.076095",
"1700000.000000","0.283193","0.043053","0.087924","0.088147","0.086635","0.107539","0.078539",
"1750000.000000","0.293143","0.044597","0.090694","0.090957","0.089327","0.110763","0.080949",
"1800000.000000","0.303156","0.046179","0.093457","0.093757","0.092067","0.113990","0.083410",
"1850000.000000","0.313312","0.047766","0.096264","0.096553","0.094813","0.117209","0.085890",
"1900000.000000","0.323447","0.049393","0.099080","0.099385","0.097563","0.120428","0.088334",
"1950000.000000","0.333714","0.051033","0.101907","0.102247","0.100282","0.123665","0.090843",
"2000000.000000","0.344300","0.052688","0.104758","0.105108","0.103100","0.126894","0.093368",
"2050000.000000","0.354832","0.054392","0.107588","0.107953","0.105891","0.130126","0.095838",
