"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","1.000000","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.666667","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.727273","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.695652","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.761905","0.514706","0.985294","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.771084","0.509804","1.000000","0.990196","0.500000","0.500000",
"408.000000","0.994975","0.739884","0.505882","0.994118","1.000000","0.500000","0.500000",
"822.000000","0.997555","0.715084","0.501639","0.914754","0.996721","0.500000","0.500000",
"1740.000000","0.998785","0.734577","0.500870","0.913043","0.998261","0.500000","0.500000",
"3738.000000","0.999426","0.725212","0.500448","0.864574","0.999103","0.500000","0.500000",
"7516.000000","0.999733","0.728566","0.500455","0.834699","0.999545","0.500000","0.500000",
"15172.000000","0.999867","0.730125","0.500230","0.851264","0.998621","0.500000","0.500000",
"30726.000000","0.999934","0.731298","0.500118","0.825480","0.999645","0.500000","0.500000",
"62232.000000","0.999967","0.728793","0.500060","0.835016","0.999760","0.500000","0.500000",
"126270.000000","0.999984","0.730434","0.500030","0.832839","0.998516","0.500000","0.500000",
"256278.000000","0.999992","0.731494","0.500015","0.842590","0.999346","0.500000","0.500000",
"520240.000000","0.999996","0.731159","0.500008","0.827369","0.994220","0.500000","0.500000",
"1056322.000000","0.999998","0.730817","0.500004","0.833528","0.984108","0.500000","0.500000",
"2144976.000000","0.999999","0.731297","0.500002","0.817662","0.987662","0.500000","0.500000",
"4355706.000000","1.000000","0.731096","0.500001","0.805608","0.990696","0.000000","0.500000",
"8844858.000000","1.000000","0.731198","0.500000","0.809832","0.991565","0.000000","0.500000",
"0.000000","0.000000","0.731044","0.500000","0.784923","0.990857","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000",
