"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","3.225806","16.666667","20.000000","7.692308","6.666667","20.000000","10.000000",
"2.000000","16.666667","14.285714","16.666667","20.000000","33.333333","25.000000","33.333333",
"3.000000","16.666667","25.000000","20.000000","33.333333","33.333333","50.000000","50.000000",
"4.000000","14.285714","33.333333","33.333333","33.333333","20.000000","50.000000","33.333333",
"5.000000","14.285714","25.000000","25.000000","25.000000","16.666667","33.333333","33.333333",
"6.000000","20.000000","20.000000","33.333333","14.285714","16.666667","33.333333","33.333333",
"7.000000","16.666667","25.000000","33.333333","25.000000","16.666667","33.333333","33.333333",
"8.000000","14.285714","25.000000","16.666667","20.000000","25.000000","33.333333","25.000000",
"9.000000","14.285714","50.000000","33.333333","16.666667","14.285714","50.000000","33.333333",
"10.000000","16.666667","33.333333","16.666667","16.666667","16.666667","33.333333","33.333333",
"15.000000","21.739130","41.666667","20.833333","19.230769","22.727273","50.000000","83.333333",
"20.000000","20.833333","31.250000","7.352941","16.129032","12.195122","50.000000","55.555556",
"25.000000","17.857143","41.666667","50.000000","13.157895","14.662757","62.500000","33.333333",
"30.000000","20.833333","31.250000","45.454545","14.285714","12.820513","50.000000","38.461538",
"36.000000","20.833333","41.666667","55.555556","20.000000","19.230769","38.461538","41.666667",
"41.000000","21.739130","45.454545","45.454545","27.777778","22.624434","45.454545","62.500000",
"46.000000","21.739130","38.461538","100.000000","22.727273","29.411765","62.500000","45.454545",
"51.000000","20.833333","35.714286","33.333333","29.411765","33.333333","50.000000","55.555556",
"56.000000","20.000000","41.666667","83.333333","22.727273","33.333333","45.454545","41.666667",
"61.000000","18.518519","45.454545","100.000000","26.178010","38.461538","55.555556","50.000000",
"66.000000","22.727273","50.000000","41.666667","33.333333","38.461538","50.000000","100.000000",
"71.000000","29.411765","62.500000","41.666667","31.250000","38.461538","62.500000","55.555556",
"76.000000","20.833333","55.555556","55.555556","31.250000","35.714286","100.000000","83.333333",
"81.000000","19.230769","41.666667","55.555556","33.333333","45.454545","100.000000","62.500000",
"86.000000","25.000000","38.461538","100.000000","38.461538","41.666667","98.039216","50.000000",
"91.000000","17.241379","62.500000","83.333333","29.411765","45.454545","50.000000","55.555556",
"96.000000","19.230769","50.000000","50.000000","41.666667","26.315789","71.428571","83.333333",
"101.000000","20.833333","38.461538","71.428571","39.062500","55.555556","108.695652","62.500000",
"127.000000","22.522523","65.789474","73.529412","47.080979","50.000000","108.695652","54.347826",
"154.000000","24.752475","64.102564","125.000000","73.529412","44.642857","78.125000","67.567568",
"181.000000","25.000000","55.555556","100.000000","55.555556","60.975610","92.592593","64.102564",
"208.000000","26.881720","56.818182","125.000000","54.347826","60.975610","78.125000","59.523810",
"235.000000","24.752475","59.523810","96.153846","62.500000","54.347826","208.333333","51.020408",
"262.000000","26.315789","73.529412","131.578947","44.642857","54.347826","100.000000","100.000000",
"288.000000","27.173913","60.975610","100.000000","89.285714","49.019608","96.153846","108.695652",
"314.000000","24.752475","71.428571","96.153846","78.125000","69.444444","208.333333","86.206897",
"340.000000","22.522523","55.555556","104.166667","65.789474","62.344140","178.571429","78.125000",
"368.000000","21.551724","69.444444","119.047619","65.616798","67.567568","138.888889","83.333333",
"394.000000","20.491803","60.975610","119.047619","67.567568","89.285714","113.636364","80.645161",
"419.000000","25.510204","86.206897","100.000000","60.975610","83.333333","92.592593","55.555556",
"445.000000","21.929825","54.347826","104.166667","75.757576","78.125000","113.636364","83.333333",
"470.000000","25.000000","51.020408","119.047619","53.191489","64.102564","108.695652","51.020408",
"495.000000","24.038462","65.789474","62.500000","71.428571","71.428571","138.888889","75.757576",
"520.000000","21.349274","69.444444","69.444444","73.529412","65.789474","178.571429","69.444444",
"545.000000","24.509804","86.206897","108.695652","100.000000","62.500000","108.695652","92.592593",
"570.000000","23.364486","75.757576","104.166667","71.428571","92.592593","131.578947","108.695652",
"595.000000","20.661157","71.428571","100.000000","73.529412","69.444444","147.058824","104.166667",
"620.000000","21.367521","64.102564","138.888889","92.592593","69.444444","147.058824","71.428571",
"645.000000","19.531250","60.975610","166.666667","56.818182","83.333333","125.000000","71.428571",
"670.000000","20.661157","69.444444","119.047619","80.645161","96.153846","125.000000","100.000000",
"696.000000","20.491803","49.019608","119.047619","64.102564","78.125000","131.578947","100.000000",
"721.000000","21.533161","75.757576","100.000000","69.444444","86.206897","100.000000","125.000000",
"746.000000","20.325203","113.636364","80.645161","58.139535","78.125000","92.592593","86.206897",
"772.000000","19.379845","55.555556","96.153846","62.500000","60.975610","83.333333","73.529412",
"797.000000","21.551724","63.938619","104.166667","58.004640","83.333333","166.666667","64.102564",
"823.000000","22.935780","58.139535","83.333333","56.818182","75.757576","78.125000","67.567568",
"851.000000","22.727273","64.102564","131.578947","69.444444","62.500000","80.645161","92.592593",
"877.000000","20.661157","47.169811","83.333333","73.529412","62.500000","113.636364","65.789474",
"903.000000","20.161290","60.975610","80.645161","62.500000","75.757576","92.592593","54.347826",
"928.000000","21.929825","50.000000","75.757576","50.000000","59.523810","92.592593","58.139535",
"953.000000","20.308692","49.019608","83.333333","89.285714","54.347826","119.047619","59.523810",
"978.000000","20.833333","54.347826","86.206897","86.206897","69.444444","138.888889","78.125000",
"1003.000000","20.308692","58.139535","119.047619","89.285714","60.975610","185.185185","60.975610",
"1103.000000","17.917936","97.087379","129.870130","88.495575","61.349693","172.413793","134.952767",
"1209.000000","18.761726","83.333333","105.263158","71.428571","86.206897","144.927536","106.382979",
"1311.000000","18.115942","79.365079","125.000000","75.757576","81.967213","125.000000","126.582278",
"1415.000000","17.301038","71.428571","114.942529","81.967213","78.740157","166.666667","93.457944",
"1515.000000","17.123288","68.917988","121.951220","71.942446","84.745763","149.253731","90.090090",
"1618.000000","17.271157","54.614965","89.206066","67.567568","67.567568","156.250000","73.529412",
