"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","12.500000","20.000000","10.000000","25.000000","20.000000","7.142857","14.285714",
"2.000000","16.666667","33.333333","33.333333","33.333333","33.333333","33.333333","33.333333",
"3.000000","25.000000","33.333333","25.000000","33.333333","25.000000","33.333333","33.333333",
"4.000000","20.000000","25.000000","50.000000","50.000000","25.000000","33.333333","16.666667",
"5.000000","20.000000","33.333333","25.000000","33.333333","25.000000","33.333333","33.333333",
"6.000000","33.333333","33.333333","25.000000","33.333333","25.000000","33.333333","32.258065",
"7.000000","12.500000","33.333333","33.333333","33.333333","25.000000","33.333333","33.333333",
"8.000000","33.333333","33.333333","20.000000","33.333333","20.000000","33.333333","25.000000",
"9.000000","33.333333","33.333333","25.000000","25.000000","33.333333","50.000000","25.000000",
"10.000000","33.333333","25.000000","20.000000","25.000000","20.000000","50.000000","25.000000",
"15.000000","38.461538","62.500000","50.000000","20.833333","21.739130","83.333333","83.333333",
"20.000000","31.250000","71.428571","41.666667","21.739130","26.315789","62.500000","100.000000",
"25.000000","41.666667","62.500000","50.000000","38.461538","25.000000","83.333333","100.000000",
"30.000000","50.000000","71.428571","100.000000","20.000000","23.809524","125.000000","71.428571",
"35.000000","55.555556","62.500000","50.000000","21.645022","18.518519","125.000000","125.000000",
"40.000000","50.000000","100.000000","62.500000","38.461538","26.315789","125.000000","166.666667",
"45.000000","50.000000","83.333333","62.500000","55.555556","31.250000","166.666667","71.428571",
"50.000000","55.555556","71.428571","55.555556","50.000000","33.333333","125.000000","71.428571",
"55.000000","55.555556","83.333333","83.333333","62.500000","50.000000","125.000000","100.000000",
"60.000000","50.000000","100.000000","71.428571","62.500000","55.555556","55.555556","100.000000",
"65.000000","62.500000","100.000000","100.000000","100.000000","35.714286","166.666667","166.666667",
"70.000000","50.000000","125.000000","125.000000","71.428571","50.000000","125.000000","100.000000",
"75.000000","50.000000","55.555556","100.000000","71.428571","45.454545","100.000000","166.666667",
"80.000000","31.250000","71.428571","125.000000","100.000000","55.555556","166.666667","166.666667",
"85.000000","41.666667","83.333333","83.333333","125.000000","62.500000","166.666667","166.666667",
"90.000000","41.666667","100.000000","125.000000","71.428571","55.555556","166.666667","100.000000",
"95.000000","41.666667","100.000000","125.000000","100.000000","50.000000","166.666667","166.666667",
"100.000000","50.000000","83.333333","166.666667","62.500000","35.714286","125.000000","83.333333",
"125.000000","49.019608","138.888889","192.307692","89.285714","86.206897","192.307692","86.206897",
"150.000000","45.454545","208.333333","147.058824","125.000000","89.285714","192.307692","130.890052",
"175.000000","48.923679","250.000000","277.777778","147.058824","156.250000","250.000000","178.571429",
"200.000000","58.139535","192.307692","192.307692","192.307692","138.888889","227.272727","92.592593",
"225.000000","51.020408","227.272727","208.333333","147.058824","86.206897","138.888889","96.153846",
"250.000000","52.083333","80.645161","227.272727","113.636364","108.695652","125.000000","119.047619",
"275.000000","43.103448","119.047619","166.666667","119.047619","113.636364","227.272727","166.666667",
"300.000000","53.191489","250.000000","250.000000","119.047619","131.578947","227.272727","119.047619",
"325.000000","58.139535","178.571429","250.000000","156.250000","178.571429","357.142857","147.058824",
"350.000000","59.523810","192.307692","312.500000","178.571429","131.578947","208.333333","113.636364",
"375.000000","48.076923","125.000000","227.272727","156.250000","147.058824","192.307692","113.636364",
"400.000000","58.139535","83.333333","250.000000","192.307692","166.666667","208.333333","125.000000",
"425.000000","54.347826","113.636364","227.272727","92.592593","131.578947","138.888889","131.578947",
"450.000000","71.428571","104.166667","250.000000","156.250000","104.166667","192.307692","113.636364",
"475.000000","54.347826","100.000000","227.272727","166.666667","125.000000","125.000000","100.000000",
"500.000000","53.078556","92.592593","192.307692","166.666667","113.636364","166.666667","119.047619",
"525.000000","45.454545","147.058824","178.571429","113.636364","100.000000","277.777778","208.333333",
"550.000000","58.139535","166.666667","192.307692","227.272727","113.636364","208.333333","166.666667",
"575.000000","55.555556","166.666667","227.272727","147.058824","131.578947","192.307692","178.571429",
"600.000000","54.347826","131.578947","166.666667","166.666667","131.578947","192.307692","138.888889",
"625.000000","50.000000","156.250000","147.058824","156.250000","178.571429","250.000000","147.058824",
"650.000000","52.083333","208.333333","125.000000","156.250000","138.888889","208.333333","125.000000",
"675.000000","45.454545","131.578947","156.250000","138.888889","104.166667","138.888889","178.571429",
"700.000000","43.859649","178.571429","250.000000","156.250000","131.578947","208.333333","125.000000",
"725.000000","53.191489","138.888889","227.272727","166.666667","147.058824","166.666667","208.333333",
"750.000000","42.372881","166.666667","312.500000","192.307692","119.047619","227.272727","131.578947",
"775.000000","40.983607","166.666667","208.333333","208.333333","147.058824","208.333333","113.636364",
"800.000000","48.076923","208.333333","208.333333","208.333333","147.058824","113.636364","178.571429",
"825.000000","53.191489","138.888889","277.777778","138.888889","166.666667","208.333333","227.272727",
"850.000000","50.000000","108.695652","178.571429","131.578947","131.578947","227.272727","147.058824",
"875.000000","65.789474","119.047619","178.571429","147.058824","131.578947","138.888889","147.058824",
"900.000000","64.102564","131.578947","250.000000","147.058824","86.206897","113.636364","192.307692",
"925.000000","50.000000","131.578947","277.777778","227.272727","138.888889","227.272727","125.000000",
"950.000000","49.019608","138.888889","227.272727","125.000000","92.592593","147.058824","147.058824",
"975.000000","53.191489","166.666667","277.777778","92.592593","96.153846","125.000000","156.250000",
"1000.000000","65.789474","113.636364","166.666667","113.636364","208.333333","178.571429","92.592593",
"1100.000000","52.356021","181.818182","312.500000","192.307692","128.205128","256.410256","232.558140",
"1200.000000","44.822949","181.818182","357.142857","196.078431","181.818182","212.765957","232.558140",
"1300.000000","51.786639","149.253731","322.580645","208.333333","188.679245","200.000000","204.081633",
"1400.000000","49.975012","169.491525","238.095238","185.185185","147.058824","232.558140","217.391304",
"1500.000000","49.236829","149.253731","285.714286","178.571429","161.290323","185.185185","161.290323",
"1600.000000","44.228218","121.951220","243.902439","163.934426","161.290323","204.081633","172.413793",
"1700.000000","45.228403","144.927536","250.000000","140.845070","117.647059","178.571429","166.666667",
"1800.000000","51.282051","149.253731","204.081633","161.290323","98.039216","196.078431","126.582278",
"1900.000000","55.248619","131.578947","285.714286","263.157895","120.481928","181.818182","153.846154",
"2000.000000","54.945055","123.304562","263.157895","208.333333","125.000000","185.185185","138.888889",
"2100.000000","54.644809","181.818182","243.902439","175.438596","98.911968","243.902439","217.391304",
"2200.000000","46.490005","178.571429","333.333333","196.078431","185.185185","302.114804","192.307692",
"2300.000000","48.756704","178.571429","294.117647","303.030303","188.679245","285.714286","217.391304",
"2400.000000","50.226017","192.307692","400.000000","204.081633","196.078431","303.030303","204.081633",
"2500.000000","56.148231","158.730159","250.000000","212.765957","156.250000","294.117647","204.081633",
"2600.000000","44.444444","144.927536","243.902439","149.253731","131.578947","243.902439","217.391304",
"2700.000000","46.511628","151.515152","322.580645","212.765957","149.253731","277.008310","175.438596",
"2800.000000","50.505051","158.730159","263.157895","175.438596","153.846154","263.157895","178.571429",
"2900.000000","45.850527","156.250000","277.777778","204.081633","112.359551","232.558140","178.571429",
"3000.000000","46.490005","126.582278","285.714286","185.185185","135.135135","227.272727","191.938580",
"3100.000000","47.147572","158.730159","243.902439","196.078431","105.152471","243.902439","192.307692",
"3200.000000","45.045045","163.934426","227.272727","142.857143","129.870130","178.571429","153.846154",
"3300.000000","44.642857","149.253731","250.000000","169.491525","102.040816","208.333333","140.845070",
"3400.000000","39.062500","169.491525","217.391304","149.253731","111.111111","169.491525","129.870130",
"3500.000000","43.290043","156.250000","285.714286","126.582278","138.888889","212.765957","131.578947",
"3600.000000","41.322314","135.135135","256.410256","163.934426","101.010101","200.000000","131.578947",
"3700.000000","38.610039","149.031297","232.558140","133.333333","123.456790","161.290323","119.047619",
