"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.645321","0.357435","0.174807","0.213614","0.348615","0.167450","0.154953",
"4000000.000000","1.470186","0.789841","0.364307","0.454778","0.767134","0.362170","0.326028",
"6000000.000000","2.483219","1.430021","0.608781","0.644467","1.223029","0.611333","0.557042",
"8000000.000000","3.194654","1.688064","0.753110","0.944154","1.658011","0.770424","0.681964",
"10000000.000000","4.634738","2.889474","1.128773","1.123547","2.535199","1.150320","1.038877",
"12000000.000000","5.285886","3.094216","1.265881","1.367172","2.760968","1.302785","1.167532",
"14000000.000000","5.985629","3.345288","1.416694","1.866726","3.095780","1.465687","1.304592",
"16000000.000000","6.735936","3.641854","1.585294","2.036419","3.683569","1.640085","1.452102",
"18000000.000000","9.122260","5.973120","2.269340","2.226367","4.983313","2.148141","2.084819",
"20000000.000000","9.756398","6.174698","2.416893","2.441473","5.187602","2.305794","2.228097",
"22000000.000000","10.420310","6.400066","2.571464","2.690096","5.422841","2.470185","2.375249",
"24000000.000000","11.115103","6.650948","2.733383","2.986529","5.702734","2.641541","2.526072",
"26000000.000000","11.838486","6.928740","2.902464","3.859441","6.043987","2.820549","2.680972",
"28000000.000000","12.595224","7.232209","3.079412","4.036846","6.455973","3.007978","2.839667",
"30000000.000000","13.382566","7.564102","3.265216","4.221094","6.959994","3.204167","3.003826",
"32000000.000000","14.201333","7.924264","3.457825","4.413589","7.700326","3.409281","3.174487",
"34000000.000000","15.052608","12.952037","5.025172","4.616719","10.153271","4.519071","4.676461",
"36000000.000000","15.934030","13.165204","5.189048","4.832424","10.355441","4.700937","4.831980",
"38000000.000000","20.294108","13.392633","5.354819","5.057734","10.569483","4.884841","4.989457",
"40000000.000000","21.009812","13.633095","5.523161","5.297075","10.796851","5.073178","5.148768",
"42000000.000000","21.743826","13.889582","5.693135","5.554048","11.040439","5.264017","5.309206",
"44000000.000000","22.497652","14.160911","5.865765","5.831690","11.300424","5.458407","5.470698",
"46000000.000000","23.271139","14.448820","6.041641","6.134518","11.586832","5.656560","5.634153",
"48000000.000000","24.062697","14.751578","6.221301","6.467437","11.901560","5.858281","5.799292",
"50000000.000000","24.872783","15.070851","6.403239","6.833868","12.246345","6.063693","5.966139",
"52000000.000000","25.701887","15.406994","6.587444","8.514341","12.628953","6.272748","6.134917",
"54000000.000000","26.550574","15.761733","6.774611","8.703288","13.048337","6.486000","6.305602",
"56000000.000000","27.419131","16.134937","6.965077","8.894733","13.494407","6.703020","6.478502",
"58000000.000000","28.305892","16.522856","7.158955","9.089020","13.990320","6.923705","6.653900",
"60000000.000000","29.211604","16.928493","7.356513","9.287050","14.560215","7.147906","6.831863",
"62000000.000000","30.136877","17.345969","7.558025","9.492319","15.228987","7.375553","7.012840",
"64000000.000000","31.079806","17.774229","7.764352","9.702515","16.137026","7.606871","7.197573",
"66000000.000000","32.041244","18.219462","7.975793","9.912481","18.372388","7.840744","7.387781",
"68000000.000000","33.021243","26.264899","11.100836","10.129812","21.361636","10.004716","10.467146",
"70000000.000000","34.018829","26.535383","11.276113","10.349608","21.580123","10.213416","10.630326",
"72000000.000000","35.035763","26.778501","11.451806","10.575464","21.803133","10.422845","10.794497",
"74000000.000000","36.070904","27.029630","11.629034","10.807064","22.028197","10.633433","10.959065",
"76000000.000000","45.505736","27.289222","11.806101","11.045527","22.259108","10.845154","11.124544",
"78000000.000000","46.307313","27.557300","11.984862","11.291270","22.496735","11.057682","11.290144",
"80000000.000000","47.113272","27.831753","12.164366","11.544709","22.742023","11.272033","11.457007",
"82000000.000000","47.932098","28.115441","12.345123","11.806335","22.995168","11.487767","11.624559",
"84000000.000000","48.760306","28.408073","12.527711","12.077136","23.258802","11.704689","11.792794",
"86000000.000000","49.597315","28.709706","12.709613","12.358995","23.533212","11.923178","11.961678",
"88000000.000000","50.441679","29.019684","12.891911","12.655525","23.819351","12.142537","12.131252",
"90000000.000000","51.295809","29.340663","13.075321","12.965535","24.118108","12.362178","12.301306",
"92000000.000000","52.162217","29.669096","13.260377","13.289396","24.431450","12.584186","12.471941",
"94000000.000000","53.061056","30.008477","13.446344","13.629743","24.760338","12.807829","12.643341",
"96000000.000000","53.969555","30.355246","13.634031","13.984680","25.105761","13.032541","12.815999",
"98000000.000000","54.888431","30.710994","13.822929","14.355741","25.468142","13.258948","12.989303",
"100000000.000000","55.816779","31.075730","14.012874","14.744427","25.850608","13.486618","13.162929",
"102000000.000000","56.754395","31.449981","14.203520","17.984326","26.250133","13.715354","13.337472",
"104000000.000000","57.701707","31.833338","14.395746","18.177396","26.670244","13.945223","13.513475",
"106000000.000000","58.659285","32.222017","14.589309","18.371455","27.110045","14.177174","13.689894",
"108000000.000000","59.625361","32.618453","14.784441","18.567248","27.569147","14.410063","13.867945",
"110000000.000000","60.599622","33.023967","14.981752","18.764451","28.047720","14.645250","14.046787",
"112000000.000000","61.584874","33.435908","15.180637","18.962605","28.544713","14.881264","14.226710",
"114000000.000000","62.579754","33.857069","15.382349","19.162542","29.061770","15.118472","14.408433",
"116000000.000000","63.582901","34.287750","15.585032","19.363939","29.602259","15.356815","14.590978",
"118000000.000000","64.596721","34.726609","15.789112","19.566956","30.169672","15.596891","14.774650",
"120000000.000000","65.618893","35.172974","15.994619","19.771946","30.770285","15.837671","14.959966",
"122000000.000000","66.649936","35.627921","16.201131","19.978480","31.415733","16.080558","15.147303",
"124000000.000000","67.690417","36.092324","16.411732","20.188314","32.128330","16.325244","15.336839",
"126000000.000000","68.740945","36.564805","16.622996","20.400650","32.944056","16.570274","15.527429",
"128000000.000000","69.801222","37.044859","16.835814","20.613055","33.956957","16.817151","15.719727",
"130000000.000000","70.872028","37.533321","17.050743","20.828157","35.423107","17.064952","15.914487",
"132000000.000000","71.951873","38.029441","17.267606","21.045768","38.521778","17.313799","16.111357",
"134000000.000000","73.039972","38.533116","17.486788","21.264919","43.677920","17.564031","16.310702",
"136000000.000000","74.137677","55.927004","23.556763","21.485552","43.897947","21.686202","22.289983",
"138000000.000000","75.243569","56.248072","23.736296","21.709466","44.116418","21.910101","22.457425",
"140000000.000000","76.359360","56.496626","23.917050","21.935818","44.337928","22.134527","22.625741",
"142000000.000000","77.483876","56.745609","24.097939","22.167301","44.562976","22.359492","22.794324",
"144000000.000000","78.619554","57.001880","24.279596","22.399916","44.789758","22.584690","22.963123",
"146000000.000000","79.762044","57.262714","24.460961","22.635510","45.019043","22.810174","23.132349",
"148000000.000000","80.913541","57.527511","24.642974","22.874274","45.250297","23.035982","23.301708",
"150000000.000000","82.073736","57.795975","24.826408","23.116239","45.488650","23.262841","23.471736",
"152000000.000000","103.524848","58.069942","25.008491","23.361015","45.731777","23.490073","23.641885",
"154000000.000000","104.422868","58.345399","25.191825","23.609866","45.978294","23.717472","23.812314",
"156000000.000000","105.323903","58.627457","25.376045","23.862864","46.226429","23.944763","23.983035",
"158000000.000000","106.230554","58.912016","25.560552","24.119874","46.476045","24.172276","24.154165",
"160000000.000000","107.142694","59.202609","25.745020","24.380495","46.729569","24.400836","24.325060",
"162000000.000000","108.059385","59.497138","25.929205","24.645263","46.987401","24.630137","24.496558",
"164000000.000000","108.981336","59.796857","26.113997","24.914971","47.251506","24.860097","24.668523",
"166000000.000000","109.906492","60.101839","26.300547","25.189965","47.524921","25.089700","24.840411",
"168000000.000000","110.835470","60.410203","26.486498","25.469498","47.803347","25.320533","25.012857",
"170000000.000000","111.769834","60.723268","26.672693","25.755101","48.086172","25.552238","25.185440",
"172000000.000000","112.710928","61.042743","26.859724","26.046271","48.369396","25.784282","25.358789",
"174000000.000000","113.655542","61.366848","27.047203","26.342938","48.658516","26.017251","25.531879",
"176000000.000000","114.604421","61.693868","27.235231","26.646565","48.954855","26.249933","25.706164",
"178000000.000000","115.558071","62.025535","27.423908","26.957612","49.257245","26.483499","25.880591",
"180000000.000000","116.516552","62.364250","27.612645","27.275694","49.566536","26.717834","26.055166",
"182000000.000000","117.479237","62.706924","27.802728","27.601478","49.884024","26.952847","26.229873",
"184000000.000000","118.447200","63.054469","27.993637","27.933641","50.208856","27.187881","26.405087",
"186000000.000000","119.420653","63.406292","28.185071","28.275668","50.546670","27.423981","26.580081",
"188000000.000000","120.398300","63.760235","28.376920","28.624889","50.893569","27.659935","26.755527",
"190000000.000000","121.381327","64.120880","28.568317","28.982517","51.249821","27.896417","26.931866",
"192000000.000000","122.368132","64.485703","28.760537","29.349132","51.614489","28.134149","27.108628",
"194000000.000000","123.359512","64.855927","28.953429","29.724653","51.988081","28.372342","27.285809",
"196000000.000000","124.355825","65.232479","29.146858","30.108406","52.371448","28.610984","27.462944",
"198000000.000000","125.355510","65.613061","29.340886","30.501697","52.762873","28.850250","27.640151",
"200000000.000000","126.359385","65.998075","29.534743","36.753532","53.164207","29.089652","27.817670",
