"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.408301","0.114172","0.175806","0.175795","0.170728","0.226061","0.161002",
"4000000.000000","0.822312","0.229583","0.347486","0.352912","0.342091","0.453248","0.322560",
"6000000.000000","1.240563","0.346746","0.519788","0.530047","0.513669","0.679921","0.484840",
"8000000.000000","1.661794","0.465752","0.692050","0.706605","0.684848","0.907092","0.646990",
"10000000.000000","2.086937","0.587176","0.864663","0.884085","0.858567","1.136852","0.809343",
"12000000.000000","2.519067","0.710029","1.039472","1.061761","1.031350","1.363492","0.971745",
"14000000.000000","2.956013","0.834088","1.214573","1.239418","1.201086","1.590302","1.134218",
"16000000.000000","3.398720","0.959624","1.388737","1.417490","1.371243","1.819955","1.297314",
"18000000.000000","3.845037","1.085626","1.563277","1.597583","1.545208","2.048192","1.460220",
"20000000.000000","4.301086","1.212778","1.737646","1.777056","1.712826","2.276591","1.624457",
"22000000.000000","4.776438","1.340241","1.912343","1.956713","1.889939","2.505406","1.788083",
"24000000.000000","5.247950","1.468472","2.087100","2.136218","2.065797","2.737643","1.951607",
"26000000.000000","5.721312","1.596951","2.262337","2.316428","2.242980","2.971837","2.118812",
"28000000.000000","6.201301","1.726467","2.437953","2.496711","2.419704","3.199758","2.286175",
"30000000.000000","6.685406","1.856494","2.615555","2.677073","2.595421","3.433412","2.453258",
"32000000.000000","7.172763","1.987538","2.792416","2.857881","2.771880","3.655771","2.620239",
"34000000.000000","7.663539","2.119811","2.977013","3.039599","2.948793","3.879256","2.786777",
"36000000.000000","8.163291","2.252783","3.159282","3.221997","3.125940","4.109647","2.953733",
"38000000.000000","8.665168","2.387066","3.341732","3.403845","3.303912","4.338061","3.120329",
"40000000.000000","9.177353","2.521651","3.523922","3.587657","3.482394","4.566615","3.288080",
"42000000.000000","9.695859","2.656868","3.707756","3.771456","3.661383","4.794430","3.456367",
"44000000.000000","10.221864","2.793327","3.892271","3.956106","3.841461","5.023504","3.625669",
"46000000.000000","10.752594","2.930802","4.076462","4.140997","4.024390","5.252939","3.795039",
"48000000.000000","11.283507","3.069849","4.261467","4.326655","4.204262","5.481961","3.964773",
"50000000.000000","11.825461","3.209924","4.448144","4.513105","4.385086","5.712017","4.135095",
"52000000.000000","12.376496","3.351188","4.634530","4.699977","4.566684","5.940947","4.306399",
"54000000.000000","12.934691","3.493435","4.821647","4.886924","4.748833","6.171159","4.481953",
"56000000.000000","13.496827","3.636738","5.009525","5.076203","4.938649","6.400873","4.654457",
"58000000.000000","14.064669","3.781544","5.197690","5.264600","5.122980","6.631003","4.828955",
"60000000.000000","14.638502","3.927897","5.385413","5.453913","5.312391","6.861107","5.004022",
"62000000.000000","15.221174","4.076229","5.575317","5.643227","5.494705","7.091349","5.179772",
"64000000.000000","15.808408","4.225927","5.764720","5.833733","5.680052","7.322171","5.355370",
"66000000.000000","16.402847","4.377458","5.955540","6.024101","5.866613","7.553761","5.531755",
"68000000.000000","17.007650","4.530415","6.153772","6.214886","6.057634","7.784572","5.705945",
"70000000.000000","17.617595","4.685140","6.345621","6.406781","6.248814","8.016115","5.884593",
"72000000.000000","18.236561","4.840939","6.536918","6.599439","6.435789","8.248378","6.062762",
"74000000.000000","18.860683","4.998670","6.729282","6.794194","6.624114","8.480581","6.245438",
"76000000.000000","19.498448","5.158513","6.922874","6.989042","6.814210","8.712543","6.419723",
"78000000.000000","20.147229","5.320260","7.116748","7.185115","7.005353","8.940106","6.599889",
"80000000.000000","20.808985","5.484151","7.312482","7.383551","7.198493","9.172519","6.780871",
"82000000.000000","21.475314","5.650494","7.509754","7.581425","7.394208","9.405160","6.964075",
"84000000.000000","22.129156","5.818148","7.707804","7.780227","7.588601","9.638809","7.148202",
"86000000.000000","22.789572","5.988700","7.907058","7.979074","7.783740","9.872241","7.331930",
"88000000.000000","23.475543","6.161357","8.106332","8.179922","7.979718","10.106524","7.514790",
"90000000.000000","24.177601","6.336777","8.306758","8.382517","8.177521","10.341184","7.700185",
"92000000.000000","24.872564","6.514607","8.508708","8.586410","8.375960","10.572129","7.885961",
"94000000.000000","25.574125","6.692999","8.712933","8.790465","8.577374","10.806779","8.072996",
"96000000.000000","26.281729","6.876969","8.917748","8.996289","8.781510","11.043638","8.260484",
"98000000.000000","26.995701","7.064335","9.123943","9.203751","8.985533","11.281314","8.448651",
"100000000.000000","27.721830","7.250809","9.331301","9.406780","9.190295","11.521444","8.638143",
"102000000.000000","28.447336","7.441171","9.540214","9.615441","9.396919","11.757155","8.828630",
"104000000.000000","29.183631","7.640909","9.750098","9.825261","9.604068","12.005487","9.020481",
"106000000.000000","29.922384","7.843520","9.961321","10.036732","9.813066","12.242509","9.212883",
"108000000.000000","30.662012","8.047323","10.175236","10.250682","10.021608","12.479197","9.406132",
"110000000.000000","31.407759","8.255685","10.393350","10.467697","10.230692","12.721544","9.600115",
"112000000.000000","32.162729","8.470239","10.614640","10.683205","10.442728","12.953180","9.795810",
"114000000.000000","32.922036","8.680948","10.828036","10.900733","10.656454","13.190753","9.992306",
"116000000.000000","33.693110","8.897146","11.044496","11.120189","10.872399","13.429889","10.190105",
"118000000.000000","34.456742","9.117575","11.269701","11.341565","11.089288","13.668486","10.389385",
"120000000.000000","35.249844","9.342160","11.494565","11.564734","11.310058","13.904052","10.590194",
"122000000.000000","36.026030","9.570798","11.721575","11.789338","11.532329","14.150125","10.793513",
"124000000.000000","36.815023","9.803039","11.949060","12.015866","11.757076","14.390638","10.997360",
"126000000.000000","37.617420","10.038972","12.177485","12.245359","11.980209","14.631746","11.203456",
"128000000.000000","38.433305","10.278816","12.410713","12.476233","12.205732","14.873237","11.412283",
"130000000.000000","39.257935","10.522305","12.647535","12.709706","12.433365","15.115637","11.623583",
"132000000.000000","40.089056","10.771463","12.887042","12.944596","12.663989","15.357039","11.836595",
"134000000.000000","40.924527","11.024032","13.127328","13.183122","12.893914","15.598986","12.052661",
"136000000.000000","41.764766","11.280129","19.968227","13.424230","13.127529","15.841925","18.788929",
"138000000.000000","42.611106","11.542545","20.163989","13.668421","13.363809","16.084633","18.969037",
"140000000.000000","43.468327","11.808684","20.359852","13.914682","13.602012","16.327683","19.150373",
"142000000.000000","44.327036","12.078395","20.555504","14.170410","13.845847","16.571163","19.332410",
"144000000.000000","45.201674","12.353241","20.751888","14.426658","14.095827","16.817031","19.514877",
"146000000.000000","46.084160","12.632268","20.948340","14.686178","14.345633","17.062795","19.697180",
"148000000.000000","46.971197","12.915319","21.145735","14.944749","14.596853","17.313388","19.879513",
"150000000.000000","47.866781","13.203193","21.344645","15.206037","14.853784","17.558051","20.061716",
"152000000.000000","48.767682","13.496315","21.542093","15.472283","15.103597","17.805978","20.244234",
"154000000.000000","49.682292","13.794480","21.741008","15.741198","15.359517","18.054928","20.427623",
"156000000.000000","50.594816","14.097056","21.940440","16.013121","15.625894","18.302269","20.612164",
"158000000.000000","51.513812","14.405771","22.139421","16.289185","15.896008","18.550075","20.795596",
"160000000.000000","52.435915","14.718197","22.338303","16.569997","16.170010","18.798844","20.979861",
"162000000.000000","53.370851","15.036655","22.538245","16.854995","16.449311","19.047294","21.165062",
"164000000.000000","54.309570","15.358866","22.739566","17.145006","16.734146","19.301528","21.350541",
"166000000.000000","55.259863","15.685384","22.940052","17.441279","17.023411","19.552218","21.534903",
"168000000.000000","56.219194","16.009094","23.151310","17.741786","17.317565","19.803616","21.719651",
"170000000.000000","57.184903","16.346949","23.353969","18.042502","17.619821","20.055636","21.905505",
"172000000.000000","58.152634","16.689281","23.558801","18.350966","17.925378","20.306591","22.092081",
"174000000.000000","59.133313","17.036666","23.764770","18.669569","18.238269","20.556940","22.278493",
"176000000.000000","60.126900","17.390480","23.970626","18.996110","18.556503","20.809846","22.465986",
"178000000.000000","61.118939","17.747202","24.177264","19.327731","18.875422","21.065887","22.652260",
"180000000.000000","62.114898","18.110077","24.384030","19.668057","19.226020","21.320345","22.839085",
"182000000.000000","63.119960","18.477923","24.591438","20.015261","19.583447","21.575523","23.026505",
"184000000.000000","64.131420","18.850500","24.799454","20.370399","19.938251","21.831750","23.215074",
"186000000.000000","65.138707","19.228003","25.007176","20.735185","20.300433","22.088114","23.405000",
"188000000.000000","66.161104","19.610295","25.216214","21.106657","20.670746","22.344140","23.594629",
"190000000.000000","67.187952","19.996913","25.427508","21.482574","21.050585","22.602253","23.783790",
"192000000.000000","68.218286","20.389405","25.638564","21.872034","21.441068","22.860253","23.974234",
"194000000.000000","69.262676","20.785663","25.850506","22.274373","21.839092","23.118500","24.165388",
"196000000.000000","70.311898","21.186423","26.061934","29.351372","22.246998","23.378084","24.356570",
"198000000.000000","71.374674","21.590988","26.274081","29.563192","22.665089","23.639058","24.548959",
"200000000.000000","72.455333","21.999688","26.487390","29.775079","23.087988","23.901510","24.741672",
