"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","0.666667","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.800000","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.727273","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.695652","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.761905","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.771084","0.509804","1.000000","1.000000","0.500000","0.500000",
"408.000000","0.994975","0.735632","0.505882","1.000000","0.994118","0.500000","0.500000",
"822.000000","0.997555","0.731429","0.501639","0.996721","1.000000","0.500000","0.500000",
"1740.000000","0.998785","0.736691","0.500870","0.871304","1.000000","0.500000","0.500000",
"3738.000000","0.999426","0.729865","0.500448","0.889686","1.000000","0.500000","0.500000",
"7516.000000","0.999733","0.734313","0.500455","0.846539","0.999089","0.500000","0.500000",
"15172.000000","0.999867","0.730125","0.500230","0.834253","0.999080","0.500000","0.500000",
"30726.000000","0.999934","0.732671","0.500118","0.877575","0.998342","0.500000","0.500000",
"62232.000000","0.999967","0.730972","0.500060","0.867773","0.999339","0.500000","0.500000",
"126270.000000","0.999984","0.730662","0.500030","0.824965","0.992036","0.500000","0.500000",
"256278.000000","0.999992","0.730686","0.500015","0.839580","0.995014","0.500000","0.500000",
"520240.000000","0.999996","0.730491","0.500008","0.845986","0.996627","0.500000","0.500000",
"1056322.000000","0.999998","0.730493","0.500004","0.839884","0.994676","0.500000","0.500000",
"2144976.000000","0.999999","0.730944","0.500002","0.799789","0.992289","0.500000","0.500000",
"4355706.000000","1.000000","0.730864","0.500001","0.801785","0.991381","0.500000","0.500000",
"8844858.000000","1.000000","0.730980","0.500000","0.769521","0.992187","0.500000","0.500000",
"17961078.000000","1.000000","0.730940","0.500000","0.768677","0.991702","0.500000","0.500000",
"36473442.000000","1.000000","0.730986","0.500000","0.763945","0.989231","0.500000","0.500000",
"74066548.000000","1.000000","0.731063","0.500000","0.741440","0.985978","0.500000","0.500000",
"150406842.000000","1.000000","0.731041","0.500000","0.764283","0.988237","0.000000","0.500000",
"305431228.000000","1.000000","0.731065","0.500000","0.756844","0.988688","0.000000","0.500000",
"0.000000","0.000000","0.731055","0.500000","0.729494","0.987867","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000","0.737603",
