"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","3.030303","16.666667","20.000000","14.285714","20.000000","16.666667","20.000000",
"2.000000","11.111111","20.000000","33.333333","33.333333","20.000000","25.000000","33.333333",
"3.000000","11.111111","14.285714","20.000000","20.000000","33.333333","33.333333","25.000000",
"4.000000","11.111111","33.333333","50.000000","33.333333","33.333333","50.000000","20.000000",
"5.000000","14.285714","25.000000","33.333333","25.000000","16.666667","33.333333","33.333333",
"6.000000","12.500000","50.000000","20.000000","50.000000","14.285714","33.333333","25.000000",
"7.000000","12.500000","25.000000","33.333333","14.285714","25.000000","33.333333","33.333333",
"8.000000","14.285714","25.000000","20.000000","14.285714","16.666667","50.000000","25.000000",
"9.000000","16.666667","33.333333","25.000000","20.000000","16.666667","25.000000","50.000000",
"10.000000","16.666667","20.000000","16.666667","14.285714","14.285714","33.333333","50.000000",
"15.000000","22.727273","35.714286","23.809524","25.000000","20.833333","71.428571","100.000000",
"21.000000","20.833333","55.555556","21.739130","17.241379","13.123360","83.333333","45.454545",
"26.000000","20.833333","50.000000","29.411765","16.666667","11.627907","55.555556","41.666667",
"32.000000","20.000000","38.461538","50.000000","13.513514","12.500000","71.428571","35.714286",
"37.000000","21.739130","62.500000","38.461538","19.230769","11.627907","71.428571","62.500000",
"42.000000","23.809524","31.250000","35.460993","18.518519","27.777778","83.333333","41.666667",
"47.000000","22.727273","31.250000","35.714286","27.777778","29.411765","125.000000","45.454545",
"52.000000","22.727273","35.714286","55.555556","29.411765","21.739130","83.333333","50.000000",
"57.000000","23.809524","41.666667","38.461538","27.777778","35.714286","125.000000","38.461538",
"62.000000","23.809524","55.555556","62.500000","31.250000","31.250000","55.555556","38.461538",
"67.000000","26.315789","45.454545","35.714286","33.333333","21.739130","71.428571","55.555556",
"72.000000","17.857143","41.666667","100.000000","41.666667","35.714286","83.333333","71.428571",
"78.000000","21.739130","55.555556","33.333333","35.460993","41.666667","125.000000","45.454545",
"83.000000","22.727273","41.666667","55.555556","45.454545","45.454545","71.428571","50.000000",
"88.000000","20.833333","62.500000","71.428571","31.250000","35.714286","38.461538","50.000000",
"93.000000","26.315789","100.000000","83.333333","38.461538","29.411765","50.000000","55.555556",
"98.000000","20.833333","35.714286","45.454545","45.454545","38.461538","71.428571","71.428571",
