"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","12.500000","20.000000","16.666667","5.263158","25.000000","20.000000","14.285714",
"2.000000","25.000000","20.000000","33.333333","33.333333","25.000000","33.333333","33.333333",
"3.000000","33.333333","33.333333","50.000000","25.000000","25.000000","33.333333","50.000000",
"4.000000","33.333333","33.333333","50.000000","33.333333","25.000000","50.000000","33.333333",
"5.000000","33.333333","33.333333","33.333333","25.000000","20.000000","50.000000","50.000000",
"6.000000","33.333333","50.000000","25.000000","33.333333","33.333333","50.000000","33.333333",
"7.000000","33.333333","16.666667","25.000000","50.000000","33.333333","50.000000","33.333333",
"8.000000","33.333333","25.000000","16.666667","33.333333","25.000000","50.000000","50.000000",
"9.000000","33.333333","33.333333","25.000000","20.000000","25.000000","50.000000","50.000000",
"10.000000","14.285714","50.000000","33.333333","20.000000","33.333333","33.333333","50.000000",
"15.000000","41.666667","83.333333","26.315789","33.333333","35.714286","55.555556","71.428571",
"20.000000","38.461538","62.500000","45.454545","19.920319","25.000000","71.428571","83.333333",
"25.000000","41.666667","71.428571","55.555556","22.727273","18.518519","55.555556","62.500000",
"30.000000","35.714286","166.666667","62.500000","26.315789","20.000000","71.428571","55.555556",
"35.000000","38.461538","166.666667","83.333333","20.000000","26.315789","100.000000","100.000000",
"40.000000","55.555556","250.000000","83.333333","62.500000","38.461538","166.666667","125.000000",
"45.000000","45.454545","83.333333","125.000000","41.666667","41.666667","45.454545","100.000000",
"50.000000","71.428571","166.666667","125.000000","62.500000","62.500000","125.000000","125.000000",
"55.000000","62.500000","83.333333","71.428571","50.000000","125.000000","71.428571","250.000000",
"60.000000","62.500000","71.428571","83.333333","71.428571","55.555556","100.000000","125.000000",
"65.000000","41.666667","166.666667","100.000000","55.555556","45.454545","125.000000","166.666667",
"70.000000","50.000000","55.555556","83.333333","71.428571","83.333333","125.000000","71.428571",
"75.000000","62.500000","125.000000","166.666667","83.333333","100.000000","83.333333","166.666667",
"80.000000","38.461538","71.428571","100.000000","71.428571","71.428571","100.000000","100.000000",
"85.000000","71.428571","83.333333","166.666667","83.333333","45.454545","83.333333","100.000000",
"90.000000","50.000000","100.000000","166.666667","71.428571","45.454545","83.333333","100.000000",
"95.000000","38.461538","71.428571","125.000000","62.500000","55.555556","83.333333","125.000000",
"100.000000","41.666667","83.333333","166.666667","83.333333","62.500000","83.333333","62.500000",
"125.000000","58.139535","96.153846","227.272727","113.636364","86.206897","96.153846","96.153846",
"150.000000","58.139535","156.250000","227.272727","131.578947","83.333333","119.047619","113.636364",
"175.000000","47.169811","166.666667","166.666667","156.250000","119.047619","147.058824","113.636364",
"200.000000","67.567568","119.047619","227.272727","166.666667","131.578947","147.058824","138.888889",
"225.000000","52.083333","192.307692","192.307692","147.058824","131.578947","147.058824","125.000000",
"250.000000","62.500000","178.571429","166.666667","138.888889","119.047619","125.000000","125.000000",
"275.000000","78.125000","178.571429","156.250000","131.578947","92.592593","192.307692","227.272727",
"300.000000","53.191489","178.571429","208.333333","166.666667","104.166667","192.307692","192.307692",
"325.000000","50.000000","147.058824","208.333333","166.666667","208.333333","250.000000","166.666667",
"350.000000","56.818182","178.571429","166.666667","166.666667","147.058824","156.250000","227.272727",
"375.000000","47.080979","208.333333","192.307692","178.571429","208.333333","227.272727","178.571429",
"400.000000","44.642857","156.250000","277.777778","166.666667","131.578947","250.000000","156.250000",
"425.000000","51.020408","125.000000","312.500000","192.307692","99.601594","227.272727","138.888889",
"450.000000","67.567568","113.636364","178.571429","166.666667","125.000000","147.058824","113.636364",
"475.000000","64.102564","108.695652","227.272727","277.777778","125.000000","208.333333","147.058824",
"500.000000","52.083333","131.578947","165.562914","178.571429","108.695652","100.000000","227.272727",
"525.000000","69.444444","178.571429","178.571429","192.307692","119.047619","208.333333","250.000000",
"550.000000","51.020408","147.058824","250.000000","208.333333","119.047619","250.000000","178.571429",
"575.000000","54.347826","178.571429","208.333333","250.000000","125.000000","277.777778","250.000000",
"600.000000","52.083333","156.250000","227.272727","147.058824","166.666667","227.272727","125.000000",
"625.000000","53.191489","192.307692","208.333333","138.888889","147.058824","192.307692","178.571429",
"650.000000","65.789474","208.333333","208.333333","208.333333","138.888889","103.734440","208.333333",
"675.000000","47.169811","178.571429","166.666667","192.307692","138.888889","250.000000","166.666667",
"700.000000","51.020408","166.666667","277.777778","277.777778","178.571429","208.333333","227.272727",
"725.000000","40.322581","156.250000","227.272727","178.571429","178.571429","208.333333","147.058824",
"750.000000","48.076923","119.047619","192.307692","92.592593","119.047619","208.333333","131.578947",
"775.000000","44.642857","147.058824","250.000000","147.058824","178.571429","277.777778","178.571429",
"800.000000","46.296296","192.307692","208.333333","131.578947","147.058824","250.000000","227.272727",
"825.000000","58.139535","138.888889","178.571429","178.571429","119.047619","178.571429","166.666667",
"850.000000","58.139535","119.047619","227.272727","227.272727","138.888889","178.571429","227.272727",
"875.000000","53.191489","131.578947","357.142857","131.578947","166.666667","125.000000","119.047619",
"900.000000","49.019608","125.000000","192.307692","208.333333","119.047619","250.000000","178.571429",
"925.000000","46.210721","131.578947","131.578947","119.047619","113.636364","227.272727","156.250000",
"950.000000","65.789474","166.666667","156.250000","125.000000","147.058824","138.888889","156.250000",
"975.000000","56.818182","113.636364","277.777778","131.578947","147.058824","277.777778","178.571429",
"1000.000000","67.567568","178.571429","227.272727","166.666667","113.636364","178.571429","131.578947",
"1100.000000","57.142857","208.333333","277.777778","322.580645","111.111111","285.714286","217.391304",
"1200.000000","50.505051","232.558140","370.370370","222.222222","196.078431","222.222222","227.272727",
"1300.000000","55.555556","192.307692","303.030303","185.185185","208.333333","294.117647","175.438596",
"1400.000000","44.642857","161.290323","270.270270","175.438596","204.081633","285.714286","172.413793",
"1500.000000","52.083333","166.666667","263.157895","149.253731","158.730159","277.777778","169.491525",
"1600.000000","45.871560","156.250000","312.500000","169.491525","204.081633","185.185185","140.646976",
"1700.000000","47.619048","153.846154","238.095238","158.730159","158.730159","172.413793","172.413793",
"1800.000000","52.603893","120.481928","243.902439","175.438596","147.058824","169.491525","131.578947",
"1900.000000","58.823529","147.058824","227.272727","270.270270","185.185185","175.438596","181.818182",
"2000.000000","54.945055","131.578947","217.391304","192.307692","156.250000","188.679245","108.695652",
"2100.000000","58.823529","158.730159","222.222222","256.410256","120.481928","357.142857","250.000000",
"2200.000000","57.142857","192.307692","285.714286","208.333333","212.765957","243.309002","263.157895",
"2300.000000","56.818182","169.491525","256.410256","222.222222","181.818182","277.777778","285.714286",
"2400.000000","51.546392","166.666667","285.714286","204.081633","178.571429","277.777778","166.666667",
"2500.000000","58.139535","250.000000","332.225914","161.290323","172.413793","192.307692","200.000000",
"2600.000000","54.914882","208.333333","303.030303","172.413793","166.666667","232.558140","208.333333",
"2700.000000","46.274873","169.491525","285.714286","222.222222","140.646976","262.467192","163.666121",
"2800.000000","50.479556","163.934426","256.410256","175.438596","149.253731","238.095238","153.846154",
"2900.000000","45.454545","114.942529","322.580645","151.285930","140.845070","263.157895","188.679245",
"3000.000000","54.054054","129.870130","250.000000","208.333333","138.888889","250.000000","217.391304",
"3100.000000","51.546392","227.272727","250.000000","147.058824","169.491525","196.078431","156.250000",
"3200.000000","44.843049","172.413793","208.333333","166.666667","142.857143","250.000000","147.058824",
"3300.000000","42.194093","126.582278","250.000000","138.888889","172.413793","156.250000","126.582278",
"3400.000000","47.393365","149.031297","294.117647","181.818182","149.253731","227.272727","120.481928",
"3500.000000","45.045045","172.413793","212.765957","138.888889","172.413793","238.095238","136.986301",
"3600.000000","42.535091","133.333333","312.500000","172.413793","125.000000","222.222222","133.333333",
"3700.000000","39.354585","138.888889","222.222222","178.571429","120.481928","181.818182","138.888889",
"3800.000000","55.834729","114.942529","232.558140","149.253731","123.456790","185.185185","111.111111",
"3900.000000","59.880240","142.857143","175.438596","208.333333","109.890110","192.307692","138.696255",
"4000.000000","56.818182","135.135135","204.081633","227.272727","99.009901","200.000000","144.927536",
"4100.000000","57.803468","196.078431","208.333333","263.157895","123.456790","277.777778","250.000000",
"4200.000000","60.606061","178.571429","196.078431","212.765957","140.845070","312.500000","208.333333",
"4300.000000","54.054054","200.000000","294.117647","212.765957","138.888889","270.270270","227.272727",
"4400.000000","51.546392","221.729490","277.777778","217.391304","192.307692","294.117647","232.558140",
"4500.000000","52.356021","169.491525","208.333333","196.078431","250.000000","270.270270","196.078431",
"4600.000000","54.054054","158.730159","238.095238","212.765957","163.934426","232.558140","181.818182",
"4700.000000","49.019608","181.818182","294.117647","217.391304","212.765957","263.157895","263.157895",
"4800.000000","51.546392","147.058824","312.500000","163.934426","188.679245","250.000000","175.438596",
"4900.000000","58.479532","204.081633","222.222222","212.765957","156.250000","250.000000","191.938580",
"5000.000000","53.191489","147.058824","243.902439","200.000000","263.157895","294.117647","175.438596",
"5100.000000","55.248619","169.491525","227.272727","232.558140","178.571429","212.765957","222.222222",
"5200.000000","51.813472","161.290323","322.580645","192.307692","156.250000","238.095238","196.078431",
"5300.000000","51.282051","153.846154","312.500000","161.290323","184.842884","204.081633","185.185185",
"5400.000000","49.236829","178.571429","232.558140","222.222222","208.333333","208.333333","222.222222",
"5500.000000","46.274873","175.131349","285.714286","181.818182","161.290323","181.818182","140.845070",
"5600.000000","50.761421","131.578947","217.391304","222.222222","196.078431","256.410256","188.679245",
"5700.000000","43.290043","135.135135","217.391304","181.818182","188.679245","204.081633","153.846154",
"5800.000000","40.160643","163.934426","256.410256","161.290323","153.846154","255.754476","192.307692",
"5900.000000","46.948357","142.857143","200.000000","163.934426","169.491525","243.902439","196.078431",
"6000.000000","47.619048","138.888889","222.222222","243.902439","172.413793","243.902439","140.845070",
"6100.000000","48.543689","144.927536","192.307692","151.515152","175.438596","217.391304","163.666121",
"6200.000000","46.728972","120.481928","238.095238","163.934426","175.438596","195.694716","172.413793",
"6300.000000","43.840421","135.135135","227.272727","172.413793","166.666667","204.081633","138.696255",
"6400.000000","44.247788","135.135135","294.117647","138.888889","142.857143","181.818182","151.515152",
"6500.000000","44.052863","123.456790","285.714286","212.765957","129.870130","175.438596","161.290323",
"6600.000000","44.247788","129.870130","263.157895","153.846154","161.290323","263.157895","156.250000",
"6700.000000","42.372881","149.031297","250.000000","163.934426","119.047619","181.818182","153.846154",
"6800.000000","46.296296","113.636364","185.185185","232.558140","123.456790","175.438596","156.250000",
"6900.000000","46.274873","138.888889","217.391304","208.333333","172.413793","212.765957","147.058824",
"7000.000000","47.619048","113.636364","208.333333","178.571429","161.290323","147.058824","169.491525",
"7100.000000","43.478261","120.481928","204.081633","172.413793","131.578947","156.250000","140.845070",
"7200.000000","42.372881","104.166667","285.714286","140.646976","153.846154","156.250000","136.986301",
"7300.000000","39.215686","109.890110","169.491525","217.391304","140.845070","147.058824","149.253731",
"7400.000000","41.999160","112.359551","222.222222","250.000000","120.481928","169.491525","172.413793",
"7500.000000","41.322314","119.047619","178.571429","277.777778","153.846154","149.253731","175.438596",
"7600.000000","54.644809","126.582278","185.185185","196.078431","123.456790","166.666667","133.333333",
"7700.000000","50.761421","131.578947","263.157895","263.157895","121.951220","153.846154","123.456790",
"7800.000000","56.497175","109.769484","208.333333","192.307692","120.481928","204.081633","142.857143",
"7900.000000","49.261084","108.695652","227.272727","217.391304","140.845070","135.135135","129.870130",
"8000.000000","47.846890","126.582278","204.081633","161.290323","128.205128","149.253731","108.695652",
"8100.000000","53.475936","113.636364","216.919740","192.307692","126.582278","166.666667","111.111111",
"8200.000000","51.546392","181.818182","217.391304","181.818182","111.111111","188.679245","192.307692",
"8300.000000","55.555556","175.438596","163.934426","208.333333","121.951220","256.410256","208.333333",
"8400.000000","55.248619","175.438596","227.272727","149.253731","117.647059","217.391304","196.078431",
"8500.000000","57.803468","134.952767","303.030303","250.000000","153.846154","232.558140","232.558140",
"8600.000000","49.261084","166.666667","238.095238","222.222222","227.272727","285.714286","232.558140",
"8700.000000","47.619048","181.818182","294.117647","208.333333","212.765957","238.095238","200.000000",
"8800.000000","47.846890","172.413793","303.030303","221.729490","188.679245","232.558140","256.410256",
"8900.000000","52.356021","161.290323","294.117647","192.307692","172.413793","204.081633","185.185185",
"9000.000000","51.546392","188.679245","222.222222","169.491525","196.078431","227.272727","222.222222",
"9100.000000","45.641260","163.934426","221.729490","238.095238","156.250000","204.081633","204.081633",
"9200.000000","46.082949","185.185185","238.095238","196.078431","227.272727","322.580645","227.272727",
"9300.000000","56.818182","181.818182","357.142857","196.078431","178.571429","277.777778","204.081633",
"9400.000000","54.054054","178.571429","285.714286","227.272727","166.666667","212.765957","192.307692",
"9500.000000","42.194093","172.413793","212.765957","227.272727","191.938580","293.255132","196.078431",
"9600.000000","55.248619","200.000000","208.333333","147.058824","181.818182","263.157895","200.000000",
"9700.000000","50.251256","200.000000","263.157895","243.902439","175.438596","285.714286","200.000000",
"9800.000000","51.813472","169.491525","204.081633","212.765957","163.934426","263.157895","200.000000",
"9900.000000","50.761421","169.491525","250.000000","172.413793","222.222222","217.391304","188.679245",
"10000.000000","55.834729","161.030596","312.500000","208.333333","166.666667","256.410256","192.307692",
"11000.000000","45.553936","157.977883","256.410256","187.230856","188.679245","216.450216","197.980598",
"12000.000000","44.068394","152.207002","255.102041","184.467810","174.185682","204.876050","186.532363",
"13000.000000","42.802722","136.425648","244.439012","175.407823","164.446637","189.717321","171.821306",
"14000.000000","39.996800","118.891927","254.452926","147.058824","163.398693","181.818182","145.751348",
"15000.000000","39.932913","118.750742","217.864924","239.234450","141.422712","174.520070","127.372309",
"16000.000000","52.681488","113.752702","223.214286","235.849057","124.517495","164.717509","118.049817",
"17000.000000","49.280505","176.991150","314.465409","214.592275","206.185567","248.077400","228.310502",
"18000.000000","49.426651","183.789745","303.030303","206.143063","209.599665","258.331181","216.919740",
"19000.000000","45.720556","163.907556","295.770482","194.552529","205.338809","246.852629","216.450216",
"20000.000000","44.381324","158.982512","274.725275","183.789745","196.425064","234.192037","197.628458",
"21000.000000","47.456340","160.000000","269.541779","186.532363","189.753321","228.310502","193.423598",
"22000.000000","43.474480","157.480315","282.485876","180.799132","191.570881","217.344056","192.270717",
"23000.000000","42.459239","158.982512","261.096606","162.575191","163.371998","215.053763","181.488203",
"24000.000000","41.030691","145.327714","274.649821","151.034587","153.846154","193.760899","176.025348",
"25000.000000","40.482552","139.062717","245.700246","172.384072","152.648451","208.333333","170.619348",
"26000.000000","40.060893","131.734949","251.889169","160.256410","170.940171","192.678227","161.812298",
"27000.000000","39.632213","129.349373","234.192037","156.250000","133.315558","192.641110","150.829563",
"28000.000000","39.567918","118.609892","216.919740","241.487563","149.454491","166.917042","142.025280",
"29000.000000","38.384769","121.359223","231.481481","240.963855","137.912012","157.703832","131.578947",
"30000.000000","36.938534","121.359223","219.298246","218.770510","135.501355","175.407823","134.228188",
"31000.000000","49.304802","124.362641","204.876050","238.095238","134.934557","145.539223","136.780194",
"32000.000000","49.280505","114.272655","211.416490","233.100233","138.677021","142.450142","124.672734",
"33000.000000","49.256231","182.149362","289.017341","216.872696","125.454774","255.036980","218.818381",
"34000.000000","47.254513","173.913043","292.312189","202.839757","192.678227","249.376559","210.526316",
"35000.000000","49.647503","183.486239","311.526480","218.292949","220.264317","245.098039","226.193169",
"36000.000000","47.773744","188.323917","310.559006","208.768267","209.599665","229.357798","204.918033",
"37000.000000","48.211359","169.204738","292.397661","204.081633","191.938580","227.790433","215.053763",
"38000.000000","47.165362","171.821306","302.114804","191.204589","204.498978","256.344527","204.876050",
"39000.000000","44.440494","176.959830","284.819140","199.600798","199.600798","242.130751","201.612903",
"40000.000000","44.379355","161.786119","285.632676","191.938580","196.425064","225.733634","195.274360",
"41000.000000","45.867352","165.289256","276.931598","193.050193","195.694716","228.258388","199.203187",
"42000.000000","43.875044","165.535507","264.550265","190.839695","182.149362","233.644860","196.039992",
"43000.000000","44.204756","158.453494","270.270270","180.799132","189.035917","222.717149","188.323917",
"44000.000000","44.107269","113.623452","273.224044","166.666667","180.147721","202.388181","190.839695",
"45000.000000","43.417853","159.210317","261.780105","170.328734","165.837479","198.373339","186.880957",
"46000.000000","43.023706","152.648451","246.305419","179.211470","164.446637","205.296654","163.907556",
"47000.000000","42.767941","142.653352","254.452926","179.500987","171.526587","192.641110","182.149362",
"48000.000000","41.249020","134.390539","238.663484","167.476135","153.350713","199.163513","171.232877",
"49000.000000","41.455932","136.593362","244.439012","147.253718","155.496812","188.643652","164.744646",
"50000.000000","41.978004","136.967539","275.482094","158.202816","159.718895","205.296654","172.413793",
"51000.000000","40.661977","124.362641","245.098039","162.074554","153.115909","184.467810","163.398693",
"52000.000000","40.761423","134.952767","233.644860","149.678192","151.952591","185.839063","163.639339",
"53000.000000","38.695198","139.470014","255.689082","164.203612","138.888889","184.842884","165.261940",
"54000.000000","39.149669","123.900384","248.138958","143.657520","149.009090","177.904287","159.718895",
