"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","10.000000","16.393443","11.111111","33.333333","12.500000","16.666667","6.250000",
"2.000000","25.000000","33.333333","33.333333","50.000000","33.333333","33.333333","33.333333",
"3.000000","33.333333","33.333333","20.000000","33.333333","20.000000","33.333333","33.333333",
"4.000000","33.333333","50.000000","25.000000","25.000000","25.000000","33.333333","25.000000",
"5.000000","50.000000","25.000000","33.333333","25.000000","33.333333","50.000000","33.333333",
"6.000000","20.000000","50.000000","25.000000","33.333333","50.000000","33.333333","33.333333",
"7.000000","14.285714","33.333333","20.000000","50.000000","25.000000","33.333333","50.000000",
"8.000000","33.333333","33.333333","25.000000","20.000000","33.333333","33.333333","25.000000",
"9.000000","16.666667","25.000000","25.000000","25.000000","25.000000","33.333333","25.000000",
"10.000000","33.333333","33.333333","25.000000","25.000000","25.000000","16.666667","50.000000",
"15.000000","38.461538","62.500000","26.315789","26.315789","27.777778","62.500000","62.500000",
"20.000000","33.333333","54.945055","35.714286","21.739130","26.315789","71.428571","55.555556",
"25.000000","41.666667","62.500000","50.000000","22.727273","22.727273","45.454545","71.428571",
"30.000000","38.461538","62.500000","55.555556","20.000000","18.518519","45.454545","71.428571",
"35.000000","35.714286","71.428571","50.000000","19.230769","16.129032","71.428571","100.000000",
"40.000000","33.333333","71.428571","62.500000","38.461538","35.714286","83.333333","100.000000",
"45.000000","31.055901","100.000000","83.333333","50.000000","35.714286","71.428571","83.333333",
"50.000000","50.000000","55.555556","83.333333","41.666667","50.000000","71.428571","166.666667",
"55.000000","41.666667","83.333333","83.333333","62.500000","55.555556","100.000000","83.333333",
"60.000000","35.714286","62.500000","166.666667","41.666667","71.428571","100.000000","125.000000",
"65.000000","50.000000","100.000000","71.428571","55.555556","55.555556","83.333333","71.428571",
"70.000000","45.454545","83.333333","83.333333","55.555556","71.428571","83.333333","100.000000",
"75.000000","25.000000","125.000000","83.333333","55.555556","71.428571","62.500000","62.500000",
"80.000000","26.315789","100.000000","55.555556","62.500000","62.500000","50.000000","100.000000",
"85.000000","20.833333","100.000000","83.333333","55.555556","55.555556","83.333333","100.000000",
"90.000000","25.000000","83.333333","83.333333","100.000000","62.500000","62.500000","71.428571",
"95.000000","25.000000","83.333333","83.333333","62.500000","50.000000","61.728395","100.000000",
"100.000000","31.250000","71.428571","125.000000","41.666667","71.428571","100.000000","125.000000",
"125.000000","35.211268","104.166667","113.636364","104.166667","92.592593","92.592593","119.047619",
"150.000000","36.764706","100.000000","125.000000","78.125000","80.385852","156.250000","131.578947",
"175.000000","40.983607","96.153846","125.000000","100.000000","113.636364","92.592593","227.272727",
"200.000000","39.001560","119.047619","125.000000","96.153846","86.206897","138.888889","131.578947",
"225.000000","45.454545","125.000000","166.666667","166.666667","86.206897","113.636364","113.636364",
"250.000000","39.682540","96.153846","125.000000","83.056478","89.285714","92.592593","125.000000",
"275.000000","35.211268","119.047619","83.333333","80.645161","100.000000","138.888889","156.250000",
"300.000000","36.231884","104.166667","166.666667","104.166667","100.000000","89.285714","138.888889",
"325.000000","42.372881","131.578947","312.500000","125.000000","104.166667","119.047619","86.206897",
"350.000000","33.333333","147.058824","119.047619","108.695652","100.000000","96.153846","119.047619",
"375.000000","41.666667","113.636364","147.058824","92.592593","113.636364","89.285714","131.578947",
"400.000000","31.250000","131.578947","178.571429","100.000000","113.636364","96.153846","80.645161",
"425.000000","40.322581","147.058824","178.571429","100.000000","113.636364","67.385445","108.695652",
"450.000000","49.019608","104.166667","138.888889","113.636364","119.047619","73.529412","83.333333",
"475.000000","40.322581","156.250000","156.250000","100.000000","80.645161","125.000000","131.578947",
"500.000000","51.020408","100.000000","156.250000","119.047619","83.333333","64.102564","108.695652",
"525.000000","43.859649","108.695652","156.250000","89.285714","108.695652","104.166667","166.666667",
"550.000000","36.764706","138.121547","147.058824","131.578947","108.695652","208.333333","119.047619",
"575.000000","40.983607","113.636364","277.777778","108.695652","138.888889","192.307692","113.636364",
"600.000000","42.372881","125.000000","178.571429","100.000000","100.000000","104.166667","147.058824",
"625.000000","41.597338","100.000000","138.888889","147.058824","125.000000","92.592593","178.571429",
"650.000000","34.722222","138.888889","166.666667","131.578947","108.695652","100.000000","147.058824",
"675.000000","34.722222","138.888889","125.000000","96.153846","96.153846","100.000000","138.888889",
"700.000000","32.051282","100.000000","125.000000","119.047619","125.000000","89.285714","138.888889",
"725.000000","34.722222","131.578947","166.666667","80.645161","119.047619","131.578947","125.000000",
"750.000000","37.878788","131.578947","138.888889","125.000000","113.636364","113.636364","125.000000",
"775.000000","29.069767","104.166667","138.888889","86.206897","119.047619","108.695652","131.578947",
"800.000000","38.461538","138.888889","131.578947","89.285714","108.695652","83.333333","96.153846",
"825.000000","40.983607","119.047619","166.666667","138.888889","83.333333","108.695652","108.695652",
"850.000000","44.642857","119.047619","192.307692","104.166667","100.000000","125.000000","108.695652",
"875.000000","39.682540","104.166667","166.666667","100.000000","119.047619","100.000000","108.695652",
"900.000000","45.454545","100.000000","131.578947","119.047619","113.636364","86.206897","108.695652",
"925.000000","50.000000","125.000000","138.888889","108.695652","89.285714","104.166667","89.285714",
"950.000000","37.878788","113.636364","156.250000","119.047619","100.000000","92.592593","104.166667",
"975.000000","51.020408","125.000000","131.578947","100.000000","86.206897","96.153846","104.166667",
"1000.000000","46.296296","100.000000","131.578947","113.636364","86.206897","83.333333","125.000000",
"1100.000000","36.630037","133.333333","263.157895","120.481928","104.166667","153.846154","161.290323",
"1200.000000","42.735043","125.000000","222.222222","121.951220","131.578947","156.250000","169.491525",
"1300.000000","37.313433","120.481928","181.818182","126.582278","116.279070","126.582278","163.934426",
"1400.000000","39.354585","129.701686","200.000000","103.092784","100.000000","142.857143","149.253731",
"1500.000000","38.446751","128.205128","166.666667","112.359551","103.092784","126.422250","153.846154",
"1600.000000","32.467532","121.951220","161.290323","113.636364","96.153846","126.582278","133.333333",
"1700.000000","31.746032","123.456790","184.842884","104.166667","103.092784","128.205128","123.456790",
"1800.000000","50.505051","121.951220","200.000000","101.010101","112.359551","85.470085","129.870130",
"1900.000000","52.631579","142.857143","156.250000","95.238095","106.382979","88.495575","123.456790",
"2000.000000","45.024764","111.111111","118.906064","140.845070","91.743119","87.719298","109.890110",
"2100.000000","43.859649","128.205128","142.857143","111.111111","96.153846","185.185185","208.333333",
"2200.000000","39.840637","142.857143","204.081633","108.695652","125.000000","166.666667","196.078431",
"2300.000000","42.194093","129.870130","250.000000","123.456790","144.927536","151.515152","172.413793",
"2400.000000","40.816327","151.515152","200.000000","117.647059","107.526882","166.389351","175.438596",
"2500.000000","37.037037","156.250000","192.307692","120.481928","123.456790","120.481928","149.253731",
"2600.000000","43.668122","135.135135","192.307692","103.092784","125.000000","114.942529","169.491525",
"2700.000000","38.022814","117.647059","188.679245","117.647059","112.359551","120.481928","178.571429",
"2800.000000","36.751194","133.333333","188.679245","125.000000","109.890110","112.359551","136.986301",
"2900.000000","37.453184","113.636364","163.934426","117.647059","101.010101","99.009901","147.058824",
"3000.000000","34.843206","131.578947","133.333333","111.111111","91.743119","108.695652","144.927536",
"3100.000000","35.587189","135.135135","169.491525","101.010101","107.526882","114.810563","125.000000",
"3200.000000","43.103448","129.870130","188.679245","99.009901","104.166667","120.481928","169.491525",
"3300.000000","40.144520","111.111111","169.491525","105.263158","105.263158","101.010101","119.047619",
"3400.000000","33.772374","136.986301","172.413793","106.382979","99.009901","95.147479","123.456790",
"3500.000000","29.325513","116.279070","158.730159","99.009901","86.956522","91.743119","112.359551",
"3600.000000","34.843206","120.481928","161.290323","100.000000","91.743119","100.000000","144.927536",
"3700.000000","29.325513","142.857143","133.333333","99.009901","108.695652","72.939460","136.986301",
"3800.000000","44.843049","117.647059","125.000000","144.927536","91.743119","86.206897","124.843945",
"3900.000000","41.493776","117.647059","153.846154","151.515152","109.890110","90.909091","107.526882",
"4000.000000","43.103448","98.039216","117.647059","131.578947","93.457944","80.645161","129.870130",
"4100.000000","39.840637","133.333333","138.888889","142.653352","98.039216","172.413793","163.934426",
"4200.000000","44.247788","144.927536","136.986301","129.870130","95.238095","175.438596","217.391304",
"4300.000000","45.850527","153.846154","158.730159","128.205128","90.909091","140.845070","175.438596",
"4400.000000","43.290043","144.927536","200.000000","135.135135","125.000000","153.846154","138.888889",
"4500.000000","40.983607","138.888889","196.078431","131.578947","120.481928","149.253731","169.491525",
"4600.000000","41.152263","178.571429","227.272727","107.526882","126.582278","128.205128","161.290323",
"4700.000000","49.504950","136.986301","250.000000","109.890110","120.481928","144.927536","175.438596",
"4800.000000","38.895371","128.205128","208.333333","131.578947","114.942529","172.413793","184.842884",
"4900.000000","42.372881","133.333333","238.095238","121.951220","129.870130","151.285930","208.333333",
"5000.000000","43.478261","126.582278","178.571429","128.205128","101.010101","163.934426","172.413793",
"5100.000000","38.461538","120.481928","203.665988","121.951220","119.047619","181.818182","175.438596",
"5200.000000","35.971223","136.986301","217.391304","120.481928","136.986301","101.010101","175.438596",
"5300.000000","38.167939","126.582278","212.765957","121.802680","125.000000","149.253731","136.986301",
"5400.000000","37.439161","112.233446","222.222222","119.047619","117.647059","135.135135","172.413793",
"5500.000000","42.535091","126.582278","196.078431","106.382979","129.870130","125.000000","158.730159",
"5600.000000","36.231884","109.890110","217.391304","120.481928","121.951220","136.986301","175.438596",
"5700.000000","35.842294","114.942529","200.000000","121.951220","109.890110","104.166667","156.250000",
"5800.000000","34.129693","133.333333","208.333333","106.382979","107.526882","112.359551","144.927536",
"5900.000000","38.610039","135.135135","192.307692","106.382979","113.636364","147.058824","126.422250",
"6000.000000","35.587189","117.647059","175.438596","117.647059","111.111111","108.695652","158.730159",
"6100.000000","31.152648","125.000000","169.491525","94.339623","125.000000","111.111111","163.934426",
"6200.000000","33.112583","117.647059","144.927536","104.166667","104.058273","82.644628","133.155792",
"6300.000000","33.112583","107.526882","151.515152","101.010101","116.279070","100.000000","142.857143",
"6400.000000","36.751194","112.359551","147.058824","101.010101","94.339623","92.592593","163.934426",
"6500.000000","35.198874","114.942529","151.515152","107.526882","109.890110","105.263158","133.155792",
