"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.645334","0.358258","0.174589","0.212423","0.369268","0.162997","0.154844",
"4000000.000000","1.469247","0.789434","0.365994","0.454872","0.771830","0.353780","0.325556",
"6000000.000000","2.481071","1.443271","0.615118","0.645594","1.169374","0.597485","0.557259",
"8000000.000000","3.192775","1.704070","0.759461","0.970695","1.605264","0.753187","0.682689",
"10000000.000000","4.633250","2.845745","1.132447","1.151234","2.231880","1.128492","1.038539",
"12000000.000000","5.283594","3.050365","1.268733","1.396069","2.468710","1.276590","1.167204",
"14000000.000000","5.982316","3.301168","1.419406","1.881927","2.821243","1.434741","1.303833",
"16000000.000000","6.731336","3.596331","1.588241","2.053603","3.431724","1.605328","1.451088",
"18000000.000000","9.112800","5.926656","2.258050","2.245211","4.724424","2.106863","2.087723",
"20000000.000000","9.745154","6.127423","2.406651","2.460193","4.932130","2.264137","2.231394",
"22000000.000000","10.407715","6.352811","2.561375","2.708326","5.172844","2.427124","2.378602",
"24000000.000000","11.100289","6.604468","2.722130","3.003614","5.461462","2.597218","2.529235",
"26000000.000000","11.823239","6.881642","2.890076","3.899533","5.813658","2.775024","2.683387",
"28000000.000000","12.578810","7.187003","3.065323","4.077213","6.241738","2.961643","2.841894",
"30000000.000000","13.364762","7.520515","3.248529","4.261393","6.763022","3.157084","3.005725",
"32000000.000000","14.184027","7.880856","3.440269","4.455791","7.531970","3.361653","3.176344",
"34000000.000000","15.034198","12.891889","5.001698","4.660240","9.934865","4.472953","4.677402",
"36000000.000000","15.916058","13.105041","5.163965","4.875197","10.141363","4.655064","4.833332",
"38000000.000000","20.270175","13.332757","5.329403","5.101879","10.358946","4.839295","4.989992",
"40000000.000000","20.984551","13.574787","5.496922","5.345668","10.590762","5.027418","5.148134",
"42000000.000000","21.719892","13.831601","5.666833","5.603742","10.838889","5.218375","5.308499",
"44000000.000000","22.474332","14.103852","5.840303","5.883494","11.108775","5.413695","5.470565",
"46000000.000000","23.247187","14.393213","6.016970","6.188616","11.408994","5.611482","5.633917",
"48000000.000000","24.037944","14.698132","6.196095","6.522305","11.738654","5.813420","5.798603",
"50000000.000000","24.850456","15.019956","6.379262","8.154854","12.102249","6.018472","5.964795",
"52000000.000000","25.681512","15.358509","6.566797","8.340687","12.503414","6.227443","6.132992",
"54000000.000000","26.529873","15.713393","6.756061","8.529211","12.941210","6.440417","6.303524",
"56000000.000000","27.399116","16.086338","6.946517","8.720261","13.414549","6.657597","6.476181",
"58000000.000000","28.286348","16.474204","7.141203","8.915051","13.929365","6.877781","6.650870",
"60000000.000000","29.192199","16.878895","7.340123","9.113073","14.502397","7.101242","6.828399",
"62000000.000000","30.116417","17.300238","7.541435","9.314825","15.170997","7.329102","7.009426",
"64000000.000000","31.060069","17.738551","7.747074","9.520435","16.079654","7.559376","7.194343",
"66000000.000000","32.022449","18.192903","7.957696","9.730112","18.339431","7.793482","7.383458",
"68000000.000000","33.002475","26.224791","11.073973","9.945587","20.933245","9.954780","10.455326",
"70000000.000000","34.001417","26.494955","11.247608","10.166848","21.147605","10.163014","10.618055",
"72000000.000000","35.017580","26.737042","11.422377","10.393480","21.369268","10.372576","10.781793",
"74000000.000000","36.053713","26.987878","11.598503","10.626915","21.598420","10.582842","10.946535",
"76000000.000000","45.652221","27.246936","11.774366","10.869398","21.833747","10.793961","11.111440",
"78000000.000000","46.471731","27.514478","11.951403","11.117506","22.076306","11.006469","11.277583",
"80000000.000000","47.300250","27.786547","12.128863","11.373839","22.327371","11.219912","11.444384",
"82000000.000000","48.139557","28.068086","12.308091","11.638339","22.587357","11.435559","11.611989",
"84000000.000000","48.989479","28.361375","12.488780","11.912645","22.856350","11.652017","11.779596",
