"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.406970","0.114178","0.170039","0.178454","0.170624","0.230783","0.160193",
"4000000.000000","0.817302","0.227911","0.341507","0.357576","0.341452","0.460979","0.320288",
"6000000.000000","1.234364","0.345458","0.514866","0.537757","0.512790","0.691049","0.481306",
"8000000.000000","1.653084","0.465262","0.687720","0.716619","0.683631","0.920850","0.642187",
"10000000.000000","2.078801","0.586694","0.860582","0.899912","0.855796","1.151074","0.803628",
"12000000.000000","2.506937","0.710394","1.034099","1.077893","1.028896","1.380297","0.964878",
"14000000.000000","2.943534","0.834645","1.206792","1.256403","1.201199","1.609593","1.126603",
"16000000.000000","3.381832","0.959755","1.379416","1.435385","1.373610","1.839039","1.288809",
"18000000.000000","3.828137","1.086037","1.552216","1.615263","1.546992","2.067501","1.450357",
"20000000.000000","4.280159","1.212381","1.726035","1.794600","1.721544","2.295417","1.614372",
"22000000.000000","4.740220","1.339914","1.899638","1.974282","1.894700","2.524842","1.778080",
"24000000.000000","5.209217","1.468223","2.073929","2.153876","2.068467","2.755662","1.941340",
"26000000.000000","5.683407","1.596741","2.249040","2.333574","2.243941","2.985333","2.105753",
"28000000.000000","6.164324","1.726456","2.424606","2.513890","2.420052","3.215501","2.270839",
"30000000.000000","6.650622","1.856570","2.600857","2.694825","2.596910","3.446012","2.435217",
"32000000.000000","7.143803","1.988432","2.776675","2.876247","2.767316","3.676109","2.599966",
"34000000.000000","7.642424","2.120815","2.954230","3.057545","2.944015","3.906570","2.764468",
"36000000.000000","8.148139","2.253867","3.131935","3.241699","3.120118","4.137863","2.929994",
"38000000.000000","8.659583","2.387389","3.310681","3.424787","3.297605","4.370369","3.095319",
"40000000.000000","9.176284","2.521890","3.489844","3.609404","3.477412","4.602025","3.261468",
"42000000.000000","9.698937","2.657788","3.668354","3.795164","3.658640","4.836763","3.428316",
"44000000.000000","10.225650","2.794831","3.848126","3.979331","3.839011","5.068826","3.595799",
"46000000.000000","10.755889","2.933189","4.028372","4.164387","4.020416","5.299511","3.762999",
"48000000.000000","11.293148","3.072230","4.209300","4.349562","4.202638","5.530060","3.931208",
"50000000.000000","11.835483","3.212914","4.390901","4.535696","4.384481","5.763498","4.099987",
"52000000.000000","12.386632","3.354354","4.573864","4.722332","4.567525","5.995650","4.271184",
"54000000.000000","12.945116","3.496965","4.756766","4.909694","4.750151","6.228815","4.443018",
"56000000.000000","13.497262","3.640485","4.940517","5.097986","4.934321","6.465631","4.615704",
"58000000.000000","14.064082","3.784485","5.125506","5.286793","5.119805","6.698741","4.788311",
"60000000.000000","14.642675","3.930198","5.310490","5.475847","5.305467","6.932426","4.961120",
"62000000.000000","15.227962","4.077072","5.496502","5.665683","5.492002","7.165146","5.134663",
"64000000.000000","15.803270","4.225941","5.682865","5.858568","5.678436","7.398975","5.309044",
"66000000.000000","16.397839","4.376796","5.870852","6.049372","5.865212","7.633510","5.484732",
"68000000.000000","17.002305","4.529086","6.060224","6.240879","6.051717","7.864895","5.661632",
"70000000.000000","17.612402","4.682336","6.250662","6.432982","6.239076","8.096364","5.839486",
"72000000.000000","18.229683","4.838144","6.442275","6.626302","6.426980","8.328245","6.017771",
"74000000.000000","18.854005","4.995839","6.635211","6.820324","6.617329","8.558759","6.196908",
"76000000.000000","19.483189","5.156042","6.829123","7.014210","6.809992","8.789345","6.375836",
"78000000.000000","20.119042","5.318002","7.022528","7.209564","7.002509","9.020626","6.549075",
"80000000.000000","20.762467","5.475614","7.217378","7.406129","7.193919","9.252271","6.728800",
"82000000.000000","21.413744","5.640820","7.413476","7.603759","7.386421","9.485463","6.910798",
"84000000.000000","22.072361","5.809330","7.611250","7.806326","7.580281","9.719182","7.091817",
"86000000.000000","22.736971","5.980307","7.808421","8.000920","7.775051","9.951661","7.273263",
"88000000.000000","23.410716","6.154131","8.005966","8.210098","7.971280","10.184797","7.456678",
"90000000.000000","24.099482","6.330345","8.208533","8.417354","8.168982","10.420401","7.641018",
"92000000.000000","24.802898","6.508200","8.409892","8.612766","8.372581","10.658362","7.826392",
"94000000.000000","25.506144","6.689507","8.611658","8.816977","8.574629","10.893193","8.012038",
"96000000.000000","26.211146","6.874314","8.820352","9.021641","8.778003","11.118743","8.197567",
"98000000.000000","26.923455","7.061219","9.021607","9.229510","8.983080","11.343870","8.385065",
"100000000.000000","27.642333","7.250577","9.224514","9.437135","9.189533","11.575458","8.572449",
"102000000.000000","28.365395","7.442187","9.428315","9.644916","9.396614","11.811109","8.760802",
"104000000.000000","29.090829","7.637905","9.636228","9.855238","9.605055","12.047789","8.949838",
"106000000.000000","29.839070","7.836450","9.846378","10.069169","9.818042","12.284905","9.141550",
"108000000.000000","30.587541","8.039446","10.058265","10.285283","10.035254","12.516172","9.335277",
"110000000.000000","31.355378","8.243622","10.270750","10.503223","10.242925","12.754972","9.526722",
"112000000.000000","32.125395","8.452549","10.485253","10.721195","10.455338","12.992788","9.723151",
"114000000.000000","32.900272","8.664205","10.702523","10.938567","10.668765","13.235167","9.920611",
"116000000.000000","33.679577","8.876424","10.920939","11.158893","10.883593","13.476651","10.119409",
"118000000.000000","34.463698","9.092730","11.140153","11.379956","11.099958","13.718735","10.319745",
"120000000.000000","35.256784","9.314750","11.362171","11.603426","11.320705","13.959512","10.521215",
"122000000.000000","36.059664","9.542994","11.588053","11.829463","11.543954","14.200045","10.723705",
"124000000.000000","36.871145","9.776076","11.815050","12.055720","11.773557","14.441097","10.929140",
"126000000.000000","37.686475","10.012511","12.044469","12.284482","11.998336","14.682582","11.137346",
"128000000.000000","38.511279","10.252458","12.274977","12.515846","12.228510","14.925464","11.347691",
"130000000.000000","39.342672","10.496871","12.508074","12.749158","12.457508","15.173403","11.557284",
"132000000.000000","40.179225","10.746732","12.744245","12.985851","12.688341","15.414812","11.768582",
"134000000.000000","41.019175","11.001018","12.983090","13.225596","12.919977","15.657574","11.984164",
"136000000.000000","41.861405","11.263233","19.825908","13.467935","13.156739","15.900491","18.673338",
"138000000.000000","42.719077","11.527067","20.021620","13.712155","13.397189","16.150073","18.855226",
"140000000.000000","43.583647","11.794225","20.218465","13.957727","13.642648","16.395767","19.033024",
"142000000.000000","44.457864","12.066082","20.416092","14.206056","13.890909","16.630838","19.218016",
"144000000.000000","45.339044","12.342786","20.613181","14.456384","14.141886","16.867218","19.399070",
"146000000.000000","46.226571","12.623315","20.810802","14.710410","14.395735","17.112042","19.580259",
"148000000.000000","47.115820","12.910768","21.008262","14.966800","14.654479","17.357660","19.762195",
"150000000.000000","48.029953","13.202336","21.205853","15.227957","14.907773","17.603772","19.945448",
