"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","0.666667","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.571429","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.800000","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.761905","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.744186","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.727273","0.509804","1.000000","1.000000","0.500000","0.500000",
"408.000000","0.994975","0.727273","0.505882","1.000000","1.000000","0.500000","0.500000",
"822.000000","0.997555","0.729345","0.501639","0.852459","0.996721","0.500000","0.500000",
"1740.000000","0.998785","0.755162","0.500870","0.874783","0.994783","0.500000","0.500000",
"3738.000000","0.999426","0.739884","0.500448","0.853812","0.996413","0.500000","0.500000",
"7516.000000","0.999733","0.731951","0.500455","0.795537","0.998634","0.500000","0.500000",
"15172.000000","0.999867","0.732475","0.500230","0.809195","0.998391","0.500000","0.500000",
"30726.000000","0.999934","0.730972","0.500118","0.831991","0.996448","0.500000","0.500000",
"62232.000000","0.999967","0.731494","0.500060","0.831230","0.997836","0.500000","0.500000",
"126270.000000","0.999984","0.731216","0.500030","0.834111","0.998668","0.500000","0.500000",
"256278.000000","0.999992","0.731527","0.500015","0.861225","0.998906","0.500000","0.500000",
"520240.000000","0.999996","0.731376","0.500008","0.817401","0.994418","0.500000","0.500000",
"1056322.000000","0.999998","0.730334","0.500004","0.804518","0.997313","0.500000","0.500000",
"2144976.000000","0.999999","0.730734","0.500002","0.828532","0.994145","0.500000","0.500000",
"4355706.000000","1.000000","0.731023","0.500001","0.801361","0.994099","0.500000","0.500000",
"8844858.000000","1.000000","0.731064","0.500000","0.803698","0.993106","0.500000","0.500000",
"17961078.000000","1.000000","0.731216","0.500000","0.780044","0.993142","0.500000","0.500000",
"36473442.000000","1.000000","0.731030","0.500000","0.771725","0.990391","0.500000","0.500000",
"74066548.000000","1.000000","0.731080","0.500000","0.777082","0.989150","0.500000","0.500000",
"150406842.000000","1.000000","0.731070","0.500000","0.757170","0.988153","0.000000","0.500000",
"305431228.000000","1.000000","0.731053","0.500000","0.754490","0.986617","0.000000","0.500000",
"0.000000","0.000000","0.731061","0.500000","0.737033","0.985407","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000",
