"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","1.149425","14.285714","14.285714","3.846154","2.500000","14.285714","16.666667",
"2.000000","12.500000","20.000000","16.666667","20.000000","20.000000","33.333333","25.000000",
"3.000000","12.500000","33.333333","25.000000","25.000000","25.000000","33.333333","33.333333",
"4.000000","11.111111","12.500000","33.333333","25.000000","20.000000","33.333333","33.333333",
"5.000000","11.111111","25.000000","16.666667","20.000000","25.000000","33.333333","33.333333",
"6.000000","16.666667","20.000000","14.285714","16.666667","20.000000","50.000000","33.333333",
"7.000000","14.285714","25.000000","14.285714","20.000000","25.000000","33.333333","33.333333",
"8.000000","12.500000","25.000000","16.666667","20.000000","25.000000","33.333333","25.000000",
"9.000000","20.000000","33.333333","16.666667","20.000000","20.000000","50.000000","33.333333",
"10.000000","10.000000","25.000000","16.666667","16.666667","33.333333","50.000000","33.333333",
"15.000000","14.285714","33.333333","17.857143","14.705882","17.857143","55.555556","45.454545",
"21.000000","12.500000","41.666667","31.250000","12.820513","14.285714","55.555556","38.461538",
"26.000000","17.857143","35.714286","35.714286","13.888889","12.820513","71.428571","55.555556",
"31.000000","20.000000","29.411765","38.461538","13.157895","12.500000","62.500000","31.250000",
"37.000000","17.857143","35.714286","55.555556","14.285714","11.627907","71.428571","83.333333",
"42.000000","15.625000","31.250000","50.000000","25.000000","22.727273","100.000000","62.500000",
"48.000000","19.230769","33.333333","55.555556","27.777778","25.000000","125.000000","50.000000",
"53.000000","16.666667","38.461538","38.461538","45.454545","33.333333","71.428571","71.428571",
"58.000000","20.833333","35.714286","62.500000","38.461538","31.250000","62.500000","50.000000",
"63.000000","19.230769","33.333333","41.666667","23.809524","35.714286","62.500000","33.333333",
"69.000000","21.739130","50.000000","41.666667","31.250000","35.714286","62.500000","83.333333",
"74.000000","19.230769","83.333333","71.428571","50.000000","35.714286","62.500000","125.000000",
"79.000000","21.739130","55.555556","55.555556","33.333333","45.454545","125.000000","83.333333",
"84.000000","19.230769","71.428571","41.666667","22.727273","35.714286","125.000000","35.714286",
"89.000000","19.230769","45.454545","62.500000","29.411765","45.454545","125.000000","33.333333",
"94.000000","15.151515","38.461538","125.000000","31.250000","45.454545","125.000000","55.555556",
"99.000000","26.315789","55.555556","71.428571","41.666667","35.714286","83.333333","71.428571",
"125.000000","20.325203","45.454545","78.125000","38.461538","45.454545","55.555556","100.000000",
"150.000000","21.008403","80.645161","80.645161","44.642857","64.102564","108.695652","67.567568",
"177.000000","19.379845","86.206897","104.166667","41.666667","53.191489","73.529412","67.567568",
"204.000000","23.148148","69.444444","104.166667","73.529412","89.285714","131.578947","75.757576",
"229.000000","21.929825","58.139535","108.695652","89.285714","64.102564","86.206897","65.789474",
"256.000000","20.833333","53.191489","92.592593","60.975610","55.555556","100.000000","65.789474",
"281.000000","21.367521","58.139535","96.153846","67.567568","60.975610","108.695652","104.166667",
"309.000000","20.833333","80.645161","96.153846","55.555556","56.818182","178.571429","86.206897",
"334.000000","21.551724","71.428571","103.734440","64.102564","67.567568","178.571429","156.250000",
"359.000000","19.083969","75.757576","92.592593","60.975610","60.975610","147.058824","104.166667",
"384.000000","19.531250","73.529412","89.285714","71.428571","71.428571","138.888889","69.252078",
"410.000000","21.929825","83.333333","119.047619","78.125000","78.125000","138.888889","65.789474",
"436.000000","21.551724","58.139535","125.000000","55.555556","54.347826","96.153846","113.636364",
"462.000000","21.739130","55.555556","147.058824","64.102564","65.789474","125.000000","78.125000",
"487.000000","18.939394","49.019608","83.333333","58.139535","71.428571","156.250000","96.153846",
"513.000000","19.379845","62.500000","125.000000","64.102564","58.139535","108.695652","59.523810",
"539.000000","20.000000","56.818182","100.000000","80.645161","56.818182","108.695652","78.125000",
"564.000000","19.230769","75.757576","147.058824","92.592593","69.444444","178.571429","156.250000",
"591.000000","19.083969","65.789474","113.636364","67.567568","62.500000","156.250000","83.333333",
"618.000000","19.685039","83.333333","89.285714","96.153846","80.645161","156.250000","108.695652",
"644.000000","17.123288","65.789474","138.888889","86.206897","59.523810","147.058824","156.250000",
"670.000000","18.656716","80.645161","166.666667","96.153846","100.000000","131.578947","71.428571",
"695.000000","18.642804","69.444444","104.166667","83.333333","71.428571","113.636364","104.166667",
"720.000000","18.656716","80.645161","113.636364","100.000000","108.695652","100.000000","92.592593",
"745.000000","18.234865","54.347826","108.695652","65.789474","75.757576","131.578947","147.058824",
"771.000000","17.605634","92.592593","100.000000","59.523810","62.500000","156.250000","69.444444",
"796.000000","18.642804","71.428571","100.000000","75.757576","67.567568","104.166667","83.333333",
"821.000000","18.796992","60.975610","96.153846","64.102564","64.102564","104.166667","75.757576",
"846.000000","18.939394","71.428571","92.592593","62.500000","54.229935","208.333333","86.206897",
"871.000000","18.518519","51.020408","113.636364","67.567568","56.818182","119.047619","73.529412",
"898.000000","17.482517","50.000000","119.047619","78.125000","59.523810","113.636364","55.555556",
"923.000000","19.379845","56.818182","80.645161","53.191489","59.523810","92.592593","64.102564",
"950.000000","16.556291","54.347826","67.567568","65.789474","54.347826","89.285714","86.206897",
"975.000000","17.844397","62.500000","80.645161","50.000000","54.347826","80.645161","86.206897",
"1000.000000","17.605634","45.454545","83.333333","92.592593","45.454545","113.636364","73.313783",
"1100.000000","17.950099","49.019608","78.125000","86.206897","51.020408","92.592593","67.567568",
"1204.000000","18.446781","69.444444","45.662100","89.285714","62.500000","60.975610","138.888889",
"1308.000000","17.448962","88.495575","56.497175","67.980965","86.206897","153.846154","99.009901",
"1410.000000","16.553551","74.074074","61.349693","86.206897","103.092784","156.250000","129.870130",
"1513.000000","16.663889","59.844405","76.923077","74.074074","68.493151","135.135135","79.365079",
"1617.000000","16.447368","70.422535","121.951220","58.823529","70.921986","131.578947","104.166667",
"1720.000000","15.622559","59.880240","102.040816","68.493151","75.187970","153.846154","82.644628",
"1822.000000","17.540782","64.102564","102.040816","68.965517","70.422535","98.039216","88.495575",
"1922.000000","16.747613","63.694268","98.039216","56.465274","59.523810","140.845070","68.027211",
"2023.000000","17.208742","59.880240","123.456790","89.285714","72.463768","120.481928","62.893082",
"2127.000000","16.832183","60.975610","91.743119","99.009901","57.803468","116.144019","60.975610",
"2230.000000","16.553551","75.757576","100.000000","87.719298","61.728395","196.078431","125.000000",
"2330.000000","16.417665","75.187970","109.769484","77.459334","83.963056","158.730159","111.111111",
"2433.000000","16.231131","74.626866","116.279070","90.090090","88.495575","156.250000","119.047619",
"2535.000000","15.948963","60.975610","136.986301","79.365079","73.529412","178.571429","111.111111",
"2638.000000","16.025641","71.428571","116.279070","78.740157","84.033613","169.491525","105.263158",
"2744.000000","16.444664","88.495575","118.906064","90.090090","90.090090","151.515152","117.647059",
"2844.000000","14.923146","59.880240","112.359551","89.285714","86.206897","169.491525","95.238095",
"2947.000000","15.358624","63.291139","114.942529","87.719298","80.645161","112.359551","85.397096",
"3050.000000","15.576324","79.365079","131.578947","78.125000","77.519380","142.857143","103.092784",
"3150.000000","15.845349","66.666667","106.382979","68.493151","74.074074","131.406045","92.592593",
"3252.000000","15.845349","64.516129","102.040816","66.666667","83.333333","142.857143","81.300813",
"3354.000000","16.806723","67.567568","100.000000","73.529412","69.444444","135.135135","81.900082",
"3457.000000","15.870497","60.569352","106.382979","66.225166","76.923077","117.647059","74.626866",
"3559.000000","16.526194","53.447354","117.647059","81.900082","71.428571","111.111111","60.606061",
"3662.000000","14.925373","60.240964","85.470085","67.114094","62.073246","158.730159","70.921986",
"3762.000000","15.797788","60.975610","96.153846","41.666667","56.818182","138.888889","62.500000",
"3863.000000","15.745552","59.171598","77.459334","54.614965","60.975610","114.810563","66.666667",
"3964.000000","16.204829","54.347826","108.695652","81.967213","68.965517","113.507378","66.622252",
"4064.000000","15.847861","51.255766","101.010101","86.956522","56.818182","104.166667","64.102564",
"4166.000000","15.696123","58.445354","87.719298","88.495575","56.179775","119.047619","76.335878",
"4266.000000","16.231131","71.942446","80.645161","85.470085","63.251107","106.269926","117.647059",
"4366.000000","15.647004","81.300813","120.481928","77.519380","60.606061","140.646976","123.456790",
"4466.000000","16.129032","84.745763","114.942529","73.529412","92.592593","158.730159","107.526882",
"4567.000000","15.241579","69.444444","123.456790","86.956522","86.956522","125.000000","111.111111",
"4669.000000","19.798060","72.992701","117.647059","76.335878","91.743119","147.058824","120.481928",
"4770.000000","19.642506","75.131480","135.135135","69.444444","88.495575","172.413793","104.166667",
"4870.000000","18.935808","78.125000","140.845070","76.335878","83.333333","161.290323","108.695652",
"4973.000000","18.832392","67.567568","112.359551","72.992701","88.495575","200.000000","123.304562",
"5075.000000","18.587361","68.965517","116.144019","74.074074","82.644628","128.205128","90.090090",
"5176.000000","18.281536","65.359477","121.951220","64.516129","84.745763","156.250000","108.695652",
"5277.000000","17.664724","62.893082","121.951220","71.428571","90.909091","142.857143","96.153846",
"5377.000000","19.011407","76.923077","131.578947","66.666667","72.992701","140.845070","101.010101",
"5478.000000","17.853955","64.102564","136.986301","69.444444","64.102564","188.679245","86.956522",
"5580.000000","17.602535","65.316786","111.111111","64.935065","87.719298","125.000000","98.039216",
"5680.000000","18.345258","70.921986","126.582278","60.606061","68.493151","153.846154","90.909091",
"5781.000000","18.311665","73.529412","94.339623","66.666667","76.923077","144.927536","81.967213",
"5883.000000","18.079913","69.930070","105.263158","67.567568","76.335878","138.888889","86.206897",
"5984.000000","18.047284","68.965517","106.382979","65.359477","81.300813","131.578947","89.285714",
"6085.000000","17.571604","59.523810","99.009901","59.171598","81.967213","112.359551","77.519380",
"6185.000000","17.149717","57.471264","108.695652","54.024851","77.519380","142.857143","101.010101",
"6285.000000","18.047284","60.240964","99.009901","64.516129","80.000000","147.058824","88.495575",
"6388.000000","18.214936","69.444444","105.263158","54.945055","72.939460","149.253731","90.090090",
"6489.000000","17.761989","57.142857","102.986612","52.631579","76.923077","142.857143","93.457944",
"6589.000000","17.857143","71.942446","113.636364","57.471264","63.694268","123.456790","81.234768",
"6689.000000","17.149717","56.818182","87.719298","55.524708","71.942446","126.582278","80.645161",
"6790.000000","16.553551","53.475936","104.166667","68.027211","72.992701","125.000000","67.114094",
"6890.000000","16.889039","49.751244","107.526882","51.813472","72.463768","144.927536","90.090090",
"6990.000000","18.382353","54.644809","95.238095","52.631579","68.446270","140.845070","61.728395",
"7091.000000","16.750419","52.356021","117.647059","51.020408","64.516129","96.993210","89.285714",
"7192.000000","18.148820","59.523810","101.010101","52.083333","64.102564","129.870130","70.921986",
"7293.000000","17.061935","49.975012","101.010101","71.942446","75.757576","116.279070","69.444444",
"7393.000000","17.032873","49.480455","99.009901","97.087379","62.111801","113.636364","83.333333",
"7494.000000","17.208742","58.139535","88.495575","86.132644","64.102564","104.166667","66.225166",
"7594.000000","17.152659","60.606061","92.592593","85.470085","63.694268","121.951220","70.422535",
"7694.000000","16.204829","47.619048","85.470085","90.090090","59.171598","126.582278","56.497175",
"7794.000000","16.747613","51.546392","103.092784","51.546392","68.027211","138.888889","70.921986",
"7894.000000","16.337200","47.619048","87.719298","56.179775","59.844405","102.040816","65.359477",
"7994.000000","16.074586","50.735667","81.967213","75.187970","57.142857","116.279070","60.606061",
"8095.000000","16.975047","48.309179","85.470085","64.102564","63.653724","101.010101","56.179775",
"8197.000000","16.204829","52.631579","93.457944","66.622252","55.865922","103.092784","57.471264",
"8298.000000","16.074586","66.225166","105.263158","83.333333","64.935065","107.526882","57.803468",
"8398.000000","16.747613","71.890726","106.382979","64.935065","58.445354","175.438596","101.010101",
"8498.000000","16.393443","72.939460","113.636364","63.694268","65.359477","131.578947","120.481928",
"8598.000000","16.260163","74.571216","158.730159","84.745763","72.411296","135.135135","109.890110",
"8698.000000","16.750419","81.967213","112.359551","78.125000","96.153846","153.846154","129.870130",
"8799.000000","16.313214","64.935065","129.870130","69.444444","90.090090","153.609831","121.951220",
"8899.000000","15.997440","66.225166","149.253731","64.935065","90.909091","151.515152","117.647059",
"8999.000000","16.444664","70.422535","128.205128","72.939460","84.745763","196.078431","111.111111",
"9099.000000","16.023073","72.992701","120.481928","81.967213","97.087379","185.185185","106.382979",
"9199.000000","16.390756","71.428571","123.456790","72.992701","82.644628","147.058824","102.040816",
"9299.000000","15.948963","61.728395","107.526882","88.495575","93.457944","181.818182","106.382979",
"9399.000000","15.527950","62.893082","133.333333","54.347826","86.956522","126.582278","147.058824",
"9500.000000","16.051364","73.529412","121.802680","63.694268","73.475386","135.135135","114.942529",
"9601.000000","15.946420","68.027211","121.951220","64.102564","84.033613","156.250000","104.166667",
"9701.000000","15.311591","63.694268","119.047619","71.942446","81.967213","172.117040","87.719298",
"9802.000000","15.057973","70.921986","114.942529","72.463768","86.206897","151.515152","74.626866",
"9903.000000","14.285714","71.377587","108.695652","70.422535","91.743119","129.870130","100.908174",
"10003.000000","14.900909","66.181337","93.457944","74.019245","84.033613","181.818182","99.009901",
"11003.000000","16.195381","59.844405","111.111111","60.240964","72.463768","156.250000","111.111111",
"12044.000000","15.833808","68.723799","111.594688","64.304546","82.774605","166.666667","100.796291",
"13086.000000","15.352493","59.908938","102.239035","56.173464","74.013767","136.798906","96.422717",
"14135.000000","15.015917","58.132775","98.902186","54.138920","69.730144","127.372309","83.326389",
"15162.000000","15.244832","51.145663","95.501862","51.650225","64.094347","115.727346","79.611496",
"16195.000000","14.791368","51.093399","89.919971","92.669817","61.610498","119.175307","66.045836",
"17233.000000","14.695725","48.966801","91.987858","82.911865","58.068637","122.534003","63.524330",
"18267.000000","14.533405","70.566650","120.177863","55.549383","88.331419","111.346175","121.654501",
"19300.000000","14.178967","69.536194","116.536534","84.452327","87.865741","148.148148","120.322464",
"20329.000000","14.229609","66.396654","115.326952","78.057919","80.893059","157.703832","111.470293",
"21353.000000","14.051456","63.609185","110.120031","78.241139","79.358781","144.906535","51.276792",
"22377.000000","14.187214","62.691994","103.401923","74.338388","78.914141","138.121547","96.422717",
"23394.000000","14.091255","58.099001","105.141415","70.811500","74.449077","140.825236","94.688003",
"24417.000000","13.953423","58.472693","109.757436","72.092856","73.795292","131.578947","84.026552",
"25440.000000","14.016203","59.484861","100.190362","64.926633","68.161680","130.531262","86.647604",
"26457.000000","13.716104","57.530779","97.077954","65.997888","68.723799","117.910624","83.885580",
"27470.000000","13.710462","48.799532","96.702447","61.915671","65.053344","126.087505","84.452327",
"28489.000000","13.454061","50.733093","98.609605","60.342747","61.534675","128.849375","76.155662",
"29504.000000","13.481268","52.653749","89.437439","58.820069","59.697928","127.860887","69.487874",
"30520.000000","13.373096","50.911312","88.566115","92.412901","62.928702","111.222333","68.157034",
"31534.000000","13.351670","48.188126","91.650628","92.755774","59.555714","107.411386","65.824118",
"32553.000000","13.450442","44.980209","92.669817","75.694497","57.700075","110.852455","62.727387",
"33573.000000","13.307251","43.607186","85.099140","76.740081","53.273667","120.612713","60.233707",
"34592.000000","13.547015","73.088730","109.039363","73.849790","90.653613","108.459870","111.607143",
"35607.000000","13.353453","71.418369","124.517495","70.121310","87.634738","167.224080","120.758363",
"36618.000000","13.266646","66.880685","115.061558","70.861678","84.302816","165.562914","112.346927",
"37626.000000","13.257852","70.967284","115.326952","68.115251","88.409513","160.000000","112.726863",
"38639.000000","13.364160","66.216395","119.317504","66.264661","88.020421","153.822489","112.473288",
"39656.000000","13.296635","66.751218","118.891927","66.176957","81.625990","143.451442","64.888716",
"40667.000000","13.278978","67.654421","113.250283","61.530889","81.486310","152.207002","106.609808",
"41676.000000","13.221043","64.762645","118.329192","60.342747","79.170295","153.350713","103.723680",
"42687.000000","13.217548","61.686509","108.096422","61.496833","78.672016","144.906535","101.936799",
"43697.000000","13.243805","60.860568","108.459870","60.525360","81.692672","139.450565","100.391527",
"44708.000000","12.908556","58.785492","108.683839","56.911957","79.541839","132.432790","94.241825",
"45718.000000","13.046825","60.128675","105.697072","55.676187","70.962248","143.678161","92.242413",
"46730.000000","13.243805","32.848274","104.482290","65.099928","70.866700","138.102472","90.653613",
"47739.000000","12.910389","58.575445","105.808909","69.822650","70.368025","121.491921","95.501862",
"48750.000000","13.257852","57.467962","104.373239","67.746088","72.087659","125.156446","87.176358",
"49760.000000","12.798034","52.487928","100.694794","64.511967","71.730866","129.533679","81.625990",
"50771.000000","13.009484","54.401045","101.409593","66.002244","69.295267","125.454774","79.923274",
