"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","16.666667","20.000000","16.666667","20.000000","16.666667","20.000000","20.000000",
"2.000000","33.333333","33.333333","50.000000","50.000000","20.000000","50.000000","50.000000",
"3.000000","16.666667","50.000000","50.000000","50.000000","25.000000","33.333333","50.000000",
"4.000000","20.000000","20.000000","20.000000","20.000000","33.333333","50.000000","33.333333",
"5.000000","25.000000","33.333333","20.000000","50.000000","33.333333","33.333333","33.333333",
"6.000000","25.000000","33.333333","33.333333","25.000000","33.333333","33.333333","50.000000",
"7.000000","25.000000","25.000000","50.000000","50.000000","20.000000","50.000000","33.333333",
"8.000000","20.000000","33.333333","50.000000","25.000000","33.333333","33.333333","33.333333",
"9.000000","20.000000","33.333333","25.000000","16.666667","20.000000","33.333333","50.000000",
"10.000000","25.000000","33.333333","20.000000","33.333333","25.000000","33.333333","33.333333",
"15.000000","41.666667","55.555556","38.461538","33.333333","55.555556","62.500000","62.500000",
"20.000000","33.333333","62.500000","38.461538","31.250000","31.250000","71.428571","83.333333",
"25.000000","55.555556","71.428571","50.000000","21.739130","33.333333","71.428571","62.500000",
"30.000000","55.555556","71.428571","50.000000","26.315789","38.461538","62.500000","83.333333",
"35.000000","35.714286","62.500000","62.500000","22.727273","23.809524","71.428571","62.500000",
"40.000000","45.454545","125.000000","71.428571","38.461538","38.461538","100.000000","83.333333",
"45.000000","38.461538","125.000000","50.000000","50.000000","45.454545","83.333333","55.555556",
"50.000000","62.500000","166.666667","83.333333","45.454545","45.454545","100.000000","83.333333",
"55.000000","35.714286","71.428571","83.333333","55.555556","62.500000","100.000000","100.000000",
"60.000000","35.714286","166.666667","125.000000","62.500000","50.000000","166.666667","100.000000",
"65.000000","62.500000","125.000000","62.500000","55.555556","50.000000","83.333333","83.333333",
"70.000000","45.454545","125.000000","125.000000","50.000000","62.500000","83.333333","125.000000",
"75.000000","41.666667","71.428571","250.000000","55.555556","83.333333","125.000000","83.333333",
"80.000000","38.461538","125.000000","125.000000","71.428571","71.428571","100.000000","125.000000",
"85.000000","31.250000","55.555556","100.000000","62.500000","62.500000","166.666667","166.666667",
"90.000000","31.250000","83.333333","166.666667","55.555556","71.428571","83.333333","125.000000",
"95.000000","35.714286","62.500000","250.000000","100.000000","62.500000","71.428571","125.000000",
"100.000000","62.500000","100.000000","83.333333","55.555556","45.454545","166.666667","83.333333",
"125.000000","59.523810","178.571429","119.047619","147.058824","131.578947","96.153846","100.000000",
"150.000000","64.102564","178.571429","178.571429","192.307692","78.125000","138.888889","125.000000",
"175.000000","51.020408","208.333333","277.777778","166.666667","131.578947","125.000000","192.307692",
"200.000000","53.191489","138.888889","208.333333","192.307692","166.666667","166.666667","96.153846",
"225.000000","69.444444","166.666667","277.777778","208.333333","125.000000","119.047619","92.592593",
"250.000000","58.139535","125.000000","166.666667","113.636364","131.578947","96.153846","64.102564",
"275.000000","62.500000","166.666667","208.333333","147.058824","89.285714","147.058824","147.058824",
"300.000000","73.529412","166.666667","250.000000","192.307692","104.166667","156.250000","166.666667",
"325.000000","46.296296","166.666667","312.500000","147.058824","156.250000","147.058824","166.666667",
"350.000000","59.523810","192.307692","250.000000","250.000000","147.058824","312.500000","138.888889",
"375.000000","46.296296","147.058824","227.272727","166.666667","156.250000","147.058824","192.307692",
"400.000000","48.076923","108.695652","227.272727","125.000000","108.695652","227.272727","138.888889",
"425.000000","56.818182","131.578947","192.307692","131.578947","192.307692","156.250000","192.307692",
"450.000000","62.500000","119.047619","250.000000","124.378109","147.058824","277.777778","156.250000",
"475.000000","60.975610","125.000000","178.571429","156.250000","156.250000","166.666667","166.666667",
"500.000000","53.191489","156.250000","250.000000","192.307692","113.636364","208.333333","138.888889",
"525.000000","55.555556","156.250000","208.333333","138.888889","138.888889","227.272727","227.272727",
"550.000000","48.076923","178.571429","192.307692","227.272727","156.250000","208.333333","312.500000",
"575.000000","42.372881","166.666667","250.000000","156.250000","125.000000","208.333333","250.000000",
"600.000000","51.975052","178.571429","192.307692","192.307692","119.047619","277.777778","192.307692",
"625.000000","41.666667","277.777778","250.000000","166.666667","108.695652","250.000000","138.888889",
"650.000000","49.019608","147.058824","312.500000","147.058824","178.571429","147.058824","250.000000",
"675.000000","48.076923","147.058824","208.333333","208.333333","166.666667","131.578947","192.307692",
"700.000000","47.169811","192.307692","250.000000","92.592593","166.666667","227.272727","156.250000",
"725.000000","43.103448","131.578947","227.272727","147.058824","131.578947","192.307692","156.250000",
"750.000000","33.783784","147.058824","227.272727","208.333333","113.636364","192.307692","147.058824",
"775.000000","42.372881","156.250000","227.272727","192.307692","147.058824","208.333333","138.888889",
"800.000000","37.878788","208.333333","312.500000","178.571429","166.666667","192.307692","156.250000",
"825.000000","54.347826","156.250000","277.777778","125.000000","131.578947","147.058824","119.047619",
"850.000000","59.523810","227.272727","208.333333","156.250000","119.047619","156.250000","147.058824",
"875.000000","59.382423","119.047619","192.307692","147.058824","124.378109","131.578947","138.888889",
"900.000000","69.444444","108.695652","277.777778","131.578947","104.166667","227.272727","131.578947",
"925.000000","58.139535","156.250000","192.307692","113.636364","108.695652","277.777778","104.166667",
"950.000000","53.191489","100.000000","250.000000","138.888889","156.250000","119.047619","156.250000",
"975.000000","50.916497","178.571429","250.000000","104.166667","100.000000","178.571429","104.166667",
"1000.000000","56.818182","125.000000","147.058824","119.047619","138.888889","166.666667","131.578947",
"1100.000000","53.734551","217.391304","285.714286","204.081633","133.333333","166.666667","250.000000",
"1200.000000","50.994391","238.095238","322.580645","185.185185","196.078431","256.410256","270.270270",
"1300.000000","52.056221","161.290323","238.095238","149.253731","125.000000","217.391304","212.765957",
"1400.000000","48.053820","153.846154","243.902439","222.222222","185.185185","200.000000","227.272727",
"1500.000000","45.850527","158.478605","270.270270","192.307692","175.438596","243.902439","196.078431",
"1600.000000","45.228403","161.290323","285.714286","147.058824","129.870130","192.307692","142.857143",
"1700.000000","45.433894","151.285930","303.030303","140.845070","169.491525","178.571429","178.571429",
"1800.000000","52.631579","129.870130","250.000000","185.185185","147.058824","158.730159","178.571429",
"1900.000000","59.880240","126.582278","232.558140","133.333333","126.582278","232.558140","153.846154",
