"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","16.666667","20.000000","25.000000","7.692308","6.250000","16.666667","5.263158",
"2.000000","33.333333","50.000000","50.000000","33.333333","33.333333","50.000000","33.333333",
"3.000000","33.333333","33.333333","50.000000","33.333333","33.333333","33.333333","33.333333",
"4.000000","16.666667","33.333333","25.000000","50.000000","25.000000","50.000000","33.333333",
"5.000000","25.000000","50.000000","33.333333","33.333333","25.000000","50.000000","33.333333",
"6.000000","33.333333","33.333333","25.000000","25.000000","20.000000","50.000000","33.333333",
"7.000000","33.333333","33.333333","25.000000","25.000000","25.000000","33.333333","33.333333",
"8.000000","11.111111","33.333333","50.000000","20.000000","20.000000","50.000000","33.333333",
"9.000000","33.333333","33.333333","25.000000","25.000000","20.000000","33.333333","33.333333",
"10.000000","20.000000","25.000000","20.000000","25.000000","20.000000","33.333333","33.333333",
"15.000000","27.777778","62.500000","29.411765","22.727273","23.809524","45.454545","50.000000",
"20.000000","41.666667","71.428571","19.230769","21.739130","25.000000","50.000000","62.500000",
"25.000000","35.714286","62.500000","83.333333","22.727273","23.809524","62.500000","83.333333",
"30.000000","41.666667","71.428571","62.500000","20.833333","19.230769","55.555556","83.333333",
"35.000000","41.666667","55.555556","166.666667","17.857143","18.518519","83.333333","83.333333",
"40.000000","38.461538","83.333333","83.333333","35.714286","38.461538","83.333333","55.555556",
"45.000000","29.411765","55.555556","83.333333","62.500000","33.333333","71.428571","71.428571",
"50.000000","41.666667","83.333333","100.000000","45.454545","50.000000","166.666667","62.500000",
"55.000000","31.250000","62.500000","71.428571","62.500000","50.000000","41.666667","62.500000",
"60.000000","31.250000","62.500000","166.666667","50.000000","50.000000","125.000000","62.500000",
"65.000000","38.461538","71.428571","166.666667","50.000000","41.666667","125.000000","71.428571",
"70.000000","35.714286","125.000000","166.666667","50.000000","62.500000","45.454545","62.500000",
"75.000000","35.714286","83.333333","71.428571","55.555556","55.555556","83.333333","71.428571",
"80.000000","33.333333","71.428571","125.000000","100.000000","125.000000","125.000000","71.428571",
"85.000000","41.666667","71.428571","100.000000","125.000000","100.000000","125.000000","125.000000",
"90.000000","27.777778","83.333333","161.290323","62.500000","71.428571","125.000000","71.428571",
"95.000000","23.809524","62.500000","166.666667","71.428571","54.945055","50.000000","62.500000",
