"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","2.380952","4.000000","1.052632","2.272727","1.923077","3.030303","2.000000",
"2.000000","0.869565","2.857143","33.333333","16.666667","16.666667","33.333333","33.333333",
"3.000000","14.285714","1.754386","6.250000","16.666667","14.285714","33.333333","1.063830",
"4.000000","14.285714","3.831418","14.285714","12.500000","12.500000","33.333333","20.000000",
"5.000000","4.166667","1.369863","14.285714","11.111111","12.500000","33.333333","2.777778",
"6.000000","12.500000","25.000000","12.500000","14.285714","12.500000","33.333333","16.666667",
"7.000000","11.111111","20.000000","12.500000","14.285714","10.000000","33.333333","25.000000",
"8.000000","12.500000","25.000000","12.500000","10.000000","12.500000","33.333333","33.333333",
"9.000000","11.111111","0.617284","11.111111","10.000000","10.000000","20.000000","2.631579",
"10.000000","12.500000","16.666667","12.500000","11.111111","16.666667","25.000000","33.333333",
"15.000000","5.681818","16.129032","15.151515","14.285714","10.204082","35.714286","25.000000",
"20.000000","16.666667","0.000000","1.960016","10.416667","12.195122","2.127660","4.065041",
"25.000000","6.097561","12.820513","0.000001","10.416667","13.157895","38.461538","38.461538",
"30.000000","11.627907","29.239766","3.289474","9.242144","8.620690","41.666667","45.454545",
"35.000000","22.727273","2.525253","17.857143","8.771930","8.771930","3.872967","4.233700",
"40.000000","14.285714","50.000000","3.496503","1.000000","0.945180","38.461538","50.000000",
"45.000000","20.000000","23.809524","26.315789","1.886792","2.335357","35.714286","27.777778",
"50.000000","3.472222","14.705882","22.727273","14.705882","14.705882","35.714286","38.461538",
"55.000000","13.477089","45.454545","3.067485","2.426007","2.512563","50.000000","41.666667",
"60.000000","18.518519","26.315789","38.461538","15.625000","15.625000","35.714286","35.714286",
"65.000000","15.625000","2.040816","38.167939","16.129032","19.230769","2.976190","3.030303",
"70.000000","11.363636","41.666667","29.411765","2.617801","2.551020","55.555556","45.454545",
"75.000000","17.857143","33.333333","31.250000","21.739130","14.705882","50.000000","62.500000",
"80.000000","17.241379","35.714286","33.333333","16.129032","15.625000","71.428571","55.555556",
"85.000000","17.241379","55.555556","31.250000","11.627907","18.518519","71.428571","71.428571",
"90.000000","17.857143","50.000000","1.915709","15.625000","20.000000","62.500000","55.555556",
"95.000000","17.241379","41.666667","45.454545","15.151515","18.518519","55.555556","62.500000",
