"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.658611","0.382779","0.181604","0.222270","0.366949","0.169433","0.158227",
"4000000.000000","1.471059","0.824197","0.381172","0.470538","0.836239","0.364485","0.334110",
"6000000.000000","2.495651","1.517118","0.638759","0.667816","1.346498","0.613356","0.571884",
"8000000.000000","3.215462","1.784167","0.789391","0.976810","1.781701","0.773528","0.699992",
"10000000.000000","4.663805","2.969582","1.175684","1.161640","2.388107","1.158930","1.059598",
"12000000.000000","5.306481","3.178631","1.320335","1.412937","2.628442","1.315316","1.187979",
"14000000.000000","6.005795","3.434034","1.476706","1.896900","2.981589","1.481600","1.325631",
"16000000.000000","6.765486","3.735670","1.648144","2.071498","3.594528","1.661014","1.477324",
"18000000.000000","9.184020","6.098063","2.344364","2.266886","4.727497","2.171793","2.137386",
"20000000.000000","9.826600","6.294952","2.505451","2.488887","4.929349","2.328215","2.281402",
"22000000.000000","10.498877","6.517712","2.671617","2.745582","5.162039","2.489093","2.428019",
"24000000.000000","11.203157","6.767585","2.843999","3.053021","5.441939","2.658759","2.579249",
"26000000.000000","11.937801","7.044275","3.022025","3.961332","5.800232","2.834834","2.735421",
"28000000.000000","12.707857","7.348017","3.206209","4.145200","6.227772","3.020141","2.896386",
"30000000.000000","13.506316","7.679036","3.396208","4.336123","6.746357","3.221178","3.063940",
"32000000.000000","14.340351","8.035053","3.594953","4.536999","7.525685","3.431274","3.239504",
"34000000.000000","15.204854","12.912151","5.197718","4.745220","9.704268","4.551945","4.771989",
"36000000.000000","16.103062","13.130433","5.371251","4.964669","9.912926","4.731542","4.928982",
"38000000.000000","20.541089","13.363454","5.547032","5.197089","10.134344","4.915016","5.087706",
"40000000.000000","21.268669","13.612145","5.724338","5.445466","10.370650","5.107554","5.248638",
"42000000.000000","22.016610","13.874713","5.903905","5.712065","10.624896","5.302960","5.411515",
"44000000.000000","22.783528","14.152838","6.087179","6.000975","10.901793","5.502496","5.575327",
"46000000.000000","23.569993","14.447689","6.270965","6.316660","11.205329","5.706760","5.740878",
"48000000.000000","24.356511","14.756422","6.457493","6.663100","11.540780","5.913626","5.908289",
"50000000.000000","25.179566","15.081075","6.646837","7.039759","11.908691","6.117328","6.078079",
"52000000.000000","26.011274","15.423351","6.839048","8.799325","12.310820","6.325333","6.249433",
"54000000.000000","26.862555","15.786189","7.034501","8.986487","12.749331","6.535540","6.424431",
"56000000.000000","27.748918","16.162830","7.232419","9.180830","13.222483","6.750737","6.601278",
"58000000.000000","28.654785","16.550113","7.433344","9.378816","13.736783","6.972771","6.780754",
"60000000.000000","29.577963","16.950977","7.637734","9.583251","14.307970","7.202832","6.963421",
"62000000.000000","30.520106","17.368557","7.846411","9.791695","14.979972","7.436072","7.149934",
"64000000.000000","31.479545","17.799634","8.060609","10.004262","15.902068","7.673255","7.338145",
"66000000.000000","32.459659","18.247943","8.279633","10.222286","18.251425","7.913988","7.527551",
"68000000.000000","33.456592","26.457539","11.481686","10.438689","20.769590","10.104209","10.695300",
"70000000.000000","34.472413","26.733194","11.660707","10.656249","20.989497","10.318361","10.861171",
"72000000.000000","35.505866","26.980403","11.837192","10.882585","21.215392","10.533147","11.027816",
"74000000.000000","36.558754","27.237515","12.020952","11.115710","21.447383","10.749396","11.195363",
"76000000.000000","46.308071","27.503643","12.205520","11.360438","21.686046","10.967187","11.364160",
"78000000.000000","47.125486","27.777871","12.391691","11.615438","21.932491","11.185405","11.534283",
"80000000.000000","47.960390","28.060752","12.578656","11.878759","22.186234","11.405308","11.703850",
"82000000.000000","48.814559","28.350507","12.766217","12.153659","22.441310","11.626722","11.874120",
"84000000.000000","49.677590","28.650600","12.955835","12.438589","22.702866","11.849601","12.046008",
"86000000.000000","50.551141","28.958184","13.145561","12.734262","22.976607","12.073156","12.218888",
"88000000.000000","51.435232","29.276337","13.336532","13.043732","23.264371","12.297942","12.391993",
"90000000.000000","52.327704","29.605730","13.528543","13.366548","23.577257","12.524643","12.565528",
"92000000.000000","53.230007","29.942541","13.721404","13.703193","23.905171","12.752409","12.740143",
"94000000.000000","54.141623","30.288097","13.911138","14.055658","24.249288","12.981361","12.915424",
"96000000.000000","55.063897","30.643017","14.099794","14.425731","24.610127","13.211122","13.091669",
"98000000.000000","55.978109","31.007547","14.289787","14.811424","24.988574","13.443084","13.269462",
"100000000.000000","56.908365","31.381113","14.480409","15.215032","25.384314","13.676294","13.447666",
"102000000.000000","57.847669","31.762620","14.672906","18.486734","25.795882","13.911384","13.627036",
"104000000.000000","58.795122","32.151869","14.871802","18.685818","26.225537","14.147138","13.807457",
"106000000.000000","59.753138","32.541589","15.072146","18.886620","26.671358","14.384785","13.988916",
"108000000.000000","60.714492","32.932559","15.273997","19.089375","27.135096","14.624163","14.172493",
"110000000.000000","61.705206","33.336933","15.476524","19.292913","27.616998","14.864663","14.356516",
"112000000.000000","62.704820","33.759941","15.681346","19.497428","28.116461","15.106160","14.541841",
"114000000.000000","63.713026","34.191492","15.881548","19.704413","28.635498","15.349488","14.728538",
"116000000.000000","64.733504","34.619957","16.082453","19.912417","29.175354","15.594575","14.916093",
"118000000.000000","65.762757","35.052590","16.285899","20.122799","29.723609","15.841214","15.105984",
"120000000.000000","66.801557","35.496224","16.489614","20.334197","30.309607","16.088152","15.297114",
"122000000.000000","67.849346","35.955699","16.699399","20.547188","30.954819","16.336954","15.489809",
"124000000.000000","68.888183","36.416402","16.914827","20.762132","31.666954","16.587208","15.684119",
"126000000.000000","69.941417","36.878066","17.132504","20.980140","32.488777","16.839276","15.879292",
"128000000.000000","70.993480","37.348033","17.351340","21.202314","33.501216","17.091335","16.077142",
"130000000.000000","72.070434","37.823265","17.573778","21.425577","34.981306","17.345560","16.277457",
"132000000.000000","73.138090","38.305169","17.790216","21.650292","38.117931","17.601426","16.480634",
"134000000.000000","74.239674","38.798560","18.008942","21.878161","41.806150","17.857401","16.686569",
"136000000.000000","75.318913","56.477100","24.222469","22.108581","42.027143","22.043714","22.840087",
"138000000.000000","76.441995","56.805809","24.408904","22.340070","42.245288","22.272835","23.006412",
"140000000.000000","77.574775","57.059877","24.596375","22.574793","42.463452","22.502792","23.177578",
"142000000.000000","78.718031","57.317646","24.783247","22.814721","42.686291","22.733108","23.349280",
"144000000.000000","79.871551","57.580014","24.970439","23.057821","42.911855","22.964045","23.521956",
"146000000.000000","81.034085","57.846704","25.157587","23.303426","43.141603","23.195302","23.695265",
"148000000.000000","82.203428","58.120412","25.345176","23.550790","43.380295","23.426893","23.868157",
"150000000.000000","83.381090","58.396554","25.533805","23.801766","43.622934","23.659416","24.037643",
"152000000.000000","105.198181","58.677466","25.722515","24.057361","43.869638","23.891711","24.205059",
"154000000.000000","106.113105","58.962430","25.911813","24.315711","44.116125","24.125044","24.372480",
"156000000.000000","106.998558","59.244169","26.101649","24.578313","44.360608","24.358720","24.540122",
"158000000.000000","107.911978","59.528693","26.291821","24.845106","44.609084","24.593382","24.708034",
"160000000.000000","108.815486","59.815565","26.482511","25.118262","44.861236","24.827762","24.878099",
"162000000.000000","109.731764","60.110045","26.673665","25.394954","45.126087","25.062686","25.053450",
"164000000.000000","110.650483","60.417145","26.865442","25.676912","45.399743","25.298542","25.228422",
"166000000.000000","111.567573","60.728755","27.057042","25.965646","45.678174","25.535288","25.403456",
"168000000.000000","112.501891","61.044710","27.250101","26.259254","45.963885","25.772137","25.579977",
"170000000.000000","113.424212","61.354278","27.443769","26.558681","46.254566","26.009307","25.756765",
"172000000.000000","114.379854","61.669543","27.637512","26.866004","46.550576","26.247974","25.934185",
