"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.349406","0.106757","0.148084","0.157446","0.155923","0.208068","0.147357",
"4000000.000000","0.703645","0.213377","0.300509","0.314623","0.311272","0.416499","0.294091",
"6000000.000000","1.062189","0.323349","0.449657","0.472268","0.466525","0.624840","0.442747",
"8000000.000000","1.425957","0.435372","0.600592","0.630579","0.622692","0.834121","0.591421",
"10000000.000000","1.794750","0.549479","0.759263","0.788288","0.779409","1.042636","0.739671",
"12000000.000000","2.167050","0.665405","0.918339","0.947330","0.936310","1.251744","0.887863",
"14000000.000000","2.546483","0.782483","1.077226","1.106599","1.093571","1.460551","1.037154",
"16000000.000000","2.931329","0.900506","1.236274","1.266026","1.250554","1.669900","1.186822",
"18000000.000000","3.322651","1.019727","1.396015","1.425662","1.408854","1.879247","1.336970",
"20000000.000000","3.717762","1.139135","1.555564","1.585753","1.567877","2.088349","1.487071",
"22000000.000000","4.117895","1.259358","1.716003","1.746720","1.727109","2.297704","1.637576",
"24000000.000000","4.525874","1.380382","1.876741","1.908131","1.887328","2.507215","1.788474",
"26000000.000000","4.936846","1.502270","2.037969","2.070286","2.047212","2.716978","1.939534",
"28000000.000000","5.355122","1.625141","2.200069","2.233693","2.208128","2.926959","2.090839",
"30000000.000000","5.778148","1.748611","2.362613","2.396890","2.369473","3.137080","2.243529",
"32000000.000000","6.207024","1.872931","2.525499","2.560866","2.530725","3.347300","2.396890",
"34000000.000000","6.642247","1.997740","2.689430","2.725495","2.692464","3.557839","2.549787",
"36000000.000000","7.083615","2.123081","2.852708","2.889730","2.855006","3.768257","2.703719",
"38000000.000000","7.530239","2.249139","3.017763","3.055563","3.016546","3.978712","2.857829",
"40000000.000000","7.983513","2.376269","3.182748","3.221096","3.179728","4.189488","3.012477",
"42000000.000000","8.443347","2.504500","3.349027","3.387199","3.343572","4.400627","3.165856",
"44000000.000000","8.907934","2.633565","3.515184","3.554500","3.509196","4.612276","3.320092",
"46000000.000000","9.377803","2.763525","3.682495","3.721997","3.674891","4.823291","3.473686",
"48000000.000000","9.855120","2.894500","3.850552","3.891188","3.841045","5.034874","3.628147",
"50000000.000000","10.339017","3.026229","4.018786","4.060604","4.006676","5.246774","3.783385",
"52000000.000000","10.828509","3.159435","4.187269","4.230576","4.174149","5.458775","3.939523",
"54000000.000000","11.324511","3.293618","4.356223","4.404154","4.340752","5.670565","4.095688",
"56000000.000000","11.825308","3.428797","4.526480","4.575702","4.509546","5.881835","4.253052",
"58000000.000000","12.334639","3.565791","4.699133","4.748074","4.679707","6.094422","4.409833",
"60000000.000000","12.850318","3.704247","4.871717","4.920912","4.849399","6.306994","4.567996",
"62000000.000000","13.372214","3.843892","5.044614","5.094145","5.020895","6.520033","4.726401",
"64000000.000000","13.900102","3.984810","5.219048","5.268066","5.193212","6.733027","4.885861",
"66000000.000000","14.435246","4.127102","5.394997","5.443164","5.364630","6.946316","5.045529",
"68000000.000000","14.976248","4.270475","5.570395","5.619030","5.536778","7.159509","5.206273",
"70000000.000000","15.522895","4.416341","5.746851","5.795638","5.710247","7.372119","5.366938",
"72000000.000000","16.076647","4.563799","5.924514","5.973238","5.885577","7.585645","5.528698",
"74000000.000000","16.637712","4.712669","6.102538","6.151223","6.060663","7.799140","5.690919",
"76000000.000000","17.204871","4.863514","6.281578","6.330209","6.236134","8.013398","5.854068",
"78000000.000000","17.778600","5.016197","6.462025","6.510357","6.411562","8.227538","6.017700",
"80000000.000000","18.358776","5.170683","6.642907","6.692426","6.590058","8.442086","6.182352",
"82000000.000000","18.945621","5.327956","6.824700","6.874421","6.769205","8.656879","6.347499",
"84000000.000000","19.538579","5.486963","7.007561","7.057978","6.949054","8.871545","6.513313",
"86000000.000000","20.138845","5.647986","7.191731","7.242029","7.130795","9.086715","6.679601",
"88000000.000000","20.745348","5.811414","7.377287","7.426791","7.312008","9.302274","6.846999",
"90000000.000000","21.358671","5.977406","7.563782","7.612696","7.493567","9.517916","7.015245",
"92000000.000000","21.977222","6.145117","7.751195","7.800291","7.676126","9.733824","7.184050",
"94000000.000000","22.603416","6.315601","7.939911","7.988681","7.859414","9.950254","7.353661",
"96000000.000000","23.236796","6.488874","8.129928","8.177591","8.044469","10.166410","7.524764",
"98000000.000000","23.876324","6.664574","8.320968","8.368078","8.230685","10.383545","7.696090",
"100000000.000000","24.522605","6.842578","8.513817","8.559793","8.418993","10.600810","7.868179",
"102000000.000000","25.175845","7.023521","8.706281","8.752996","8.606169","10.817643","8.040879",
"104000000.000000","25.836171","7.207799","8.900346","8.947244","8.795007","11.035597","8.214724",
"106000000.000000","26.501988","7.395543","9.095525","9.142767","8.985814","11.253395","8.390266",
"108000000.000000","27.175026","7.586126","9.291351","9.339885","9.177371","11.471870","8.567003",
"110000000.000000","27.855518","7.779797","9.489336","9.538225","9.370436","11.690810","8.744538",
"112000000.000000","28.542968","7.976686","9.688363","9.738578","9.562677","11.909742","8.922992",
"114000000.000000","29.236986","8.177304","9.888917","9.940266","9.755848","12.128737","9.103148",
"116000000.000000","29.937671","8.380784","10.091837","10.142909","9.950626","12.348599","9.284420",
"118000000.000000","30.644599","8.588255","10.297226","10.347084","10.147098","12.568668","9.466301",
"120000000.000000","31.357968","8.798252","10.504951","10.553502","10.345285","12.789559","9.650560",
"122000000.000000","32.078102","9.013070","10.714501","10.764157","10.544802","13.010996","9.836570",
"124000000.000000","32.805645","9.231550","10.923700","10.975730","10.746532","13.232197","10.025061",
"126000000.000000","33.539857","9.453157","11.135456","11.190821","10.951254","13.453588","10.215193",
"128000000.000000","34.280828","9.678559","11.349545","11.406382","11.157941","13.675083","10.407389",
"130000000.000000","35.027286","9.908221","11.565431","11.623235","11.366482","13.897132","10.600855",
"132000000.000000","35.780845","10.141677","11.783660","11.842274","11.575136","14.120058","10.797141",
"134000000.000000","36.541437","10.378765","12.004640","12.064129","11.786556","14.343498","10.996037",
"136000000.000000","37.308571","10.620156","18.078661","12.288329","11.999841","14.566860","17.074456",
"138000000.000000","38.084001","10.864969","18.259396","12.515989","12.215747","14.790842","17.239966",
"140000000.000000","38.865571","11.114931","18.440869","12.746833","12.434122","15.015133","17.406730",
"142000000.000000","39.654657","11.368586","18.622135","12.980004","12.654490","15.239716","17.573157",
"144000000.000000","40.449958","11.626489","18.804395","13.216542","12.877411","15.465136","17.739570",
"146000000.000000","41.251641","11.888818","18.986353","13.455751","13.103442","15.690274","17.906542",
"148000000.000000","42.059379","12.155934","19.168633","13.698517","13.332724","15.916001","18.073901",
"150000000.000000","42.875046","12.426233","19.351086","13.944472","13.567620","16.142432","18.241841",
"152000000.000000","43.695648","12.700945","19.534208","14.193415","13.804687","16.369078","18.410369",
"154000000.000000","44.523562","12.980573","19.717684","14.446462","14.048183","16.595625","18.579006",
"156000000.000000","45.358146","13.266430","19.901761","14.704139","14.296409","16.823001","18.747424",
"158000000.000000","46.199767","13.555515","20.084797","14.965793","14.548764","17.050062","18.916589",
"160000000.000000","47.049724","13.848937","20.269900","15.231538","14.805677","17.278657","19.085830",
"162000000.000000","47.906732","14.148238","20.455626","15.503064","15.062745","17.507992","19.255570",
"164000000.000000","48.769983","14.451601","20.641042","15.779426","15.325348","17.737970","19.425655",
"166000000.000000","49.639525","14.758614","20.827440","16.061081","15.592708","17.968311","19.595529",
"168000000.000000","50.515169","15.071077","21.014969","16.348401","15.865748","18.198734","19.766711",
"170000000.000000","51.397869","15.388150","21.203515","16.642526","16.145297","18.430170","19.937457",
"172000000.000000","52.287870","15.709485","21.392264","16.941499","16.430280","18.661902","20.108694",
"174000000.000000","53.183800","16.036099","21.580554","17.247717","16.722193","18.893949","20.280091",
"176000000.000000","54.087502","16.367164","21.769297","17.561474","17.022096","19.126808","20.451796",
