"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","0.666667","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.800000","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.666667","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.727273","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.711111","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.735632","0.509804","1.000000","0.990196","0.500000","0.500000",
"408.000000","0.994975","0.766467","0.505882","0.994118","1.000000","0.500000","0.500000",
"822.000000","0.997555","0.717087","0.501639","0.878689","1.000000","0.500000","0.500000",
"1740.000000","0.998785","0.722144","0.500870","0.864348","0.994783","0.500000","0.500000",
"3738.000000","0.999426","0.722144","0.500448","0.895964","0.995516","0.500000","0.500000",
"7516.000000","0.999733","0.728826","0.500455","0.854281","0.998634","0.500000","0.500000",
"15172.000000","0.999867","0.730515","0.500230","0.809885","0.999540","0.500000","0.500000",
"30726.000000","0.999934","0.729410","0.500118","0.841463","0.998224","0.500000","0.500000",
"62232.000000","0.999967","0.728145","0.500060","0.856353","0.997355","0.500000","0.500000",
"126270.000000","0.999984","0.731755","0.500030","0.831749","0.998758","0.500000","0.500000",
"256278.000000","0.999992","0.730906","0.500015","0.833789","0.998647","0.500000","0.500000",
"520240.000000","0.999996","0.731114","0.500008","0.825442","0.993786","0.500000","0.500000",
"1056322.000000","0.999998","0.731259","0.500004","0.822137","0.993468","0.500000","0.500000",
"2144976.000000","0.999999","0.731198","0.500002","0.805365","0.991284","0.500000","0.500000",
"4355706.000000","1.000000","0.730861","0.500001","0.777007","0.991241","0.500000","0.500000",
"8844858.000000","1.000000","0.731212","0.500000","0.782682","0.990942","0.500000","0.500000",
"17961078.000000","1.000000","0.731221","0.500000","0.791353","0.990080","0.500000","0.500000",
"36473442.000000","1.000000","0.731110","0.500000","0.766422","0.991335","0.500000","0.500000",
"74066548.000000","1.000000","0.731023","0.500000","0.777359","0.991247","0.500000","0.500000",
"150406842.000000","1.000000","0.731078","0.500000","0.761128","0.987920","0.000000","0.500000",
"305431228.000000","1.000000","0.731087","0.500000","0.758494","0.988256","0.000000","0.500000",
"0.000000","0.000000","0.731063","0.500000","0.737196","0.986230","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000","0.739684",
