"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","14.285714","16.666667","12.500000","20.000000","25.000000","5.555556","20.000000",
"2.000000","33.333333","50.000000","33.333333","33.333333","25.000000","33.333333","50.000000",
"3.000000","14.285714","20.000000","25.000000","33.333333","25.000000","50.000000","33.333333",
"4.000000","25.000000","33.333333","50.000000","16.666667","50.000000","33.333333","33.333333",
"5.000000","25.000000","33.333333","25.000000","33.333333","20.000000","50.000000","33.333333",
"6.000000","25.000000","25.000000","20.000000","20.000000","25.000000","50.000000","33.333333",
"7.000000","25.000000","33.333333","25.000000","25.000000","33.333333","50.000000","50.000000",
"8.000000","33.333333","33.333333","25.000000","25.000000","33.333333","33.333333","50.000000",
"9.000000","16.666667","33.333333","25.000000","33.333333","33.333333","50.000000","33.333333",
"10.000000","20.000000","50.000000","25.000000","33.333333","25.000000","33.333333","33.333333",
"15.000000","50.000000","100.000000","38.461538","38.461538","55.555556","62.500000","62.500000",
"20.000000","35.714286","125.000000","41.666667","55.555556","31.250000","71.428571","71.428571",
"25.000000","41.666667","50.000000","45.454545","25.000000","33.333333","71.428571","83.333333",
"30.000000","45.454545","125.000000","83.333333","26.315789","27.777778","83.333333","71.428571",
"35.000000","55.555556","83.333333","71.428571","26.315789","20.833333","83.333333","83.333333",
"40.000000","33.333333","83.333333","71.428571","38.461538","45.454545","100.000000","166.666667",
"45.000000","45.454545","71.428571","100.000000","45.454545","50.000000","125.000000","125.000000",
"50.000000","50.000000","50.000000","100.000000","55.555556","55.555556","125.000000","83.333333",
"55.000000","62.500000","83.333333","100.000000","50.000000","50.000000","125.000000","71.428571",
"60.000000","38.461538","100.000000","83.333333","55.555556","41.666667","83.333333","125.000000",
"65.000000","62.500000","71.428571","83.333333","50.000000","50.000000","166.666667","125.000000",
"70.000000","33.333333","100.000000","100.000000","62.500000","55.555556","71.428571","166.666667",
"75.000000","50.000000","83.333333","71.428571","83.333333","50.000000","166.666667","166.666667",
"80.000000","71.428571","100.000000","71.428571","100.000000","71.428571","83.333333","166.666667",
"85.000000","45.454545","125.000000","125.000000","100.000000","71.428571","166.666667","166.666667",
"90.000000","38.461538","83.333333","100.000000","71.428571","71.428571","166.666667","71.428571",
"95.000000","55.555556","55.555556","62.500000","50.000000","83.333333","125.000000","83.333333",
"100.000000","50.000000","55.555556","83.333333","62.500000","71.428571","71.428571","100.000000",
"125.000000","51.020408","89.285714","208.333333","100.000000","104.166667","92.592593","166.666667",
"150.000000","55.432373","119.047619","125.000000","108.695652","83.333333","156.250000","227.272727",
"175.000000","51.020408","166.666667","208.333333","178.571429","125.000000","312.500000","192.307692",
"200.000000","60.975610","113.636364","250.000000","119.047619","138.888889","192.307692","208.333333",
"225.000000","75.757576","108.695652","208.333333","156.250000","192.307692","131.578947","208.333333",
"250.000000","48.076923","100.000000","147.058824","138.888889","119.047619","178.571429","131.578947",
"275.000000","69.444444","227.272727","192.307692","125.000000","178.571429","250.000000","227.272727",
"300.000000","69.444444","100.000000","250.000000","156.250000","108.695652","166.666667","208.333333",
"325.000000","52.083333","192.307692","227.272727","250.000000","125.000000","178.571429","208.333333",
"350.000000","58.139535","147.058824","227.272727","156.250000","192.307692","178.571429","104.166667",
"375.000000","42.372881","208.333333","250.000000","208.333333","146.198830","156.250000","208.333333",
"400.000000","54.347826","119.047619","147.058824","125.000000","178.571429","166.666667","131.578947",
"425.000000","73.529412","156.250000","156.250000","131.578947","166.666667","208.333333","104.166667",
"450.000000","67.567568","156.250000","250.000000","113.636364","125.000000","227.272727","119.047619",
"475.000000","54.347826","96.153846","178.571429","131.578947","156.250000","104.166667","113.636364",
"500.000000","59.523810","89.285714","178.571429","166.666667","192.307692","125.000000","78.125000",
"525.000000","64.102564","125.000000","250.000000","312.500000","96.153846","178.571429","178.571429",
"550.000000","59.523810","227.272727","227.272727","277.777778","108.695652","250.000000","192.307692",
"575.000000","54.347826","192.307692","192.307692","178.571429","125.000000","250.000000","208.333333",
"600.000000","49.019608","113.636364","166.666667","156.250000","156.250000","113.636364","277.777778",
"625.000000","45.454545","138.888889","227.272727","156.250000","192.307692","277.777778","208.333333",
"650.000000","42.372881","166.666667","250.000000","277.777778","147.058824","166.666667","227.272727",
"675.000000","56.818182","131.578947","192.307692","119.047619","125.000000","166.666667","227.272727",
"700.000000","49.019608","119.047619","250.000000","104.166667","250.000000","250.000000","156.250000",
"725.000000","39.682540","125.000000","277.777778","131.578947","166.666667","250.000000","208.333333",
"750.000000","39.682540","104.166667","178.571429","227.272727","178.571429","147.058824","178.571429",
"775.000000","42.372881","178.571429","208.333333","178.571429","113.636364","166.666667","166.666667",
"800.000000","44.642857","113.636364","208.333333","208.333333","125.000000","147.058824","156.250000",
"825.000000","59.523810","147.058824","227.272727","138.888889","156.250000","227.272727","156.250000",
"850.000000","45.454545","125.000000","250.000000","119.047619","131.578947","192.307692","100.000000",
"875.000000","48.076923","104.166667","227.272727","131.578947","119.047619","166.666667","92.592593",
"900.000000","50.000000","156.250000","227.272727","131.578947","108.695652","178.571429","155.279503",
"925.000000","50.000000","250.000000","147.058824","125.000000","156.250000","190.839695","125.000000",
