"[count]","uHashT [query/μs]","cHashT [query/μs]","iHashT_u8h [query/μs]","iHashT_u8 [query/μs]","iHashT_u16 [query/μs]","dHashT [query/μs]","fHashT [query/μs]",
"1.000000","16.666667","16.666667","11.111111","6.250000","11.111111","12.500000","12.500000",
"2.000000","25.000000","25.000000","33.333333","50.000000","33.333333","5.263158","33.333333",
"3.000000","33.333333","25.000000","25.000000","33.333333","33.333333","33.333333","33.333333",
"4.000000","50.000000","25.000000","20.000000","33.333333","33.333333","9.090909","25.000000",
"5.000000","33.333333","33.333333","25.000000","50.000000","50.000000","50.000000","33.333333",
"6.000000","33.333333","50.000000","20.000000","25.000000","33.333333","50.000000","33.333333",
"7.000000","16.666667","33.333333","25.000000","25.000000","25.000000","20.000000","25.000000",
"8.000000","25.000000","33.333333","16.666667","20.000000","16.666667","33.333333","33.333333",
"9.000000","25.000000","33.333333","20.000000","33.333333","20.000000","33.333333","33.333333",
"10.000000","25.000000","50.000000","20.000000","33.333333","20.000000","33.333333","33.333333",
"15.000000","27.777778","71.428571","27.777778","31.250000","29.411765","83.333333","62.500000",
"20.000000","33.333333","83.333333","41.666667","22.727273","22.727273","62.500000","62.500000",
"25.000000","31.250000","71.428571","62.500000","22.727273","21.739130","125.000000","71.428571",
"30.000000","45.454545","83.333333","31.250000","20.000000","19.230769","166.666667","62.500000",
"35.000000","33.333333","71.428571","71.428571","17.241379","17.857143","62.500000","83.333333",
"40.000000","35.460993","71.428571","55.555556","41.666667","55.555556","62.500000","55.555556",
"45.000000","55.555556","100.000000","50.000000","55.555556","45.454545","71.428571","83.333333",
"50.000000","35.714286","83.333333","62.500000","41.666667","45.454545","71.428571","83.333333",
"55.000000","45.454545","71.428571","166.666667","55.555556","62.500000","62.500000","83.333333",
"60.000000","21.739130","55.555556","100.000000","50.000000","55.555556","71.428571","100.000000",
"65.000000","45.454545","100.000000","166.666667","50.000000","41.666667","100.000000","125.000000",
"70.000000","62.500000","62.500000","100.000000","71.428571","71.428571","83.333333","62.500000",
"75.000000","20.000000","125.000000","100.000000","83.333333","71.428571","71.428571","83.333333",
"80.000000","29.411765","55.555556","166.666667","62.500000","83.333333","62.500000","100.000000",
"85.000000","41.666667","71.428571","125.000000","45.454545","62.500000","83.333333","83.333333",
"90.000000","31.250000","62.500000","166.666667","83.333333","71.428571","62.500000","83.333333",
"95.000000","25.000000","166.666667","166.666667","50.000000","71.428571","98.039216","83.333333",
"100.000000","19.920319","125.000000","166.666667","61.728395","166.666667","62.500000","71.428571",
"125.000000","42.372881","78.125000","312.500000","92.592593","100.000000","92.592593","89.285714",
"150.000000","35.211268","108.695652","250.000000","125.000000","75.757576","108.695652","156.250000",
"175.000000","39.062500","119.047619","357.142857","156.250000","131.578947","119.047619","166.666667",
"200.000000","50.000000","113.636364","500.000000","277.777778","277.777778","119.047619","113.636364",
"225.000000","40.322581","119.047619","312.500000","166.666667","138.888889","125.000000","108.695652",
"250.000000","46.296296","86.206897","277.777778","104.166667","131.578947","83.333333","119.047619",
"275.000000","43.859649","131.578947","227.272727","83.333333","156.250000","125.000000","138.888889",
"300.000000","43.029260","100.000000","250.000000","227.272727","277.777778","104.166667","119.047619",
"325.000000","34.722222","125.000000","357.142857","250.000000","208.333333","86.206897","147.058824",
"350.000000","34.246575","125.000000","250.000000","166.666667","156.250000","96.153846","125.000000",
"375.000000","32.894737","100.000000","277.777778","250.000000","227.272727","166.666667","192.307692",
"400.000000","32.467532","100.000000","312.500000","277.777778","166.666667","131.578947","131.578947",
"425.000000","46.296296","119.047619","416.666667","100.000000","166.666667","92.592593","138.888889",
"450.000000","43.859649","138.888889","312.500000","208.333333","178.571429","83.333333","156.250000",
"475.000000","42.372881","113.636364","416.666667","192.307692","166.666667","108.695652","104.166667",
"500.000000","36.764706","95.785441","250.000000","147.058824","156.250000","86.206897","96.153846",
"525.000000","40.983607","147.058824","416.666667","156.250000","192.307692","100.000000","131.578947",
"550.000000","47.169811","125.000000","227.272727","250.000000","92.592593","125.000000","155.279503",
"575.000000","37.821483","100.000000","416.666667","312.500000","208.333333","125.000000","178.571429",
"600.000000","44.642857","125.000000","357.142857","227.272727","227.272727","138.888889","156.250000",
"625.000000","34.722222","113.636364","500.000000","312.500000","227.272727","113.636364","208.333333",
"650.000000","37.878788","119.047619","357.142857","277.777778","250.000000","119.047619","131.578947",
"675.000000","32.894737","92.592593","416.666667","277.777778","277.777778","166.666667","131.578947",
"700.000000","31.250000","138.888889","250.000000","227.272727","357.142857","250.000000","178.571429",
"725.000000","36.231884","131.578947","416.666667","208.333333","156.250000","113.636364","138.888889",
"750.000000","32.051282","156.250000","500.000000","138.888889","227.272727","113.636364","147.058824",
"775.000000","30.487805","113.636364","416.666667","166.666667","166.666667","86.206897","131.578947",
"800.000000","27.173913","113.636364","416.666667","178.571429","131.578947","100.000000","125.000000",
"825.000000","44.642857","92.592593","416.666667","192.307692","192.307692","113.636364","131.578947",
"850.000000","47.169811","119.047619","500.000000","178.571429","113.636364","92.592593","104.166667",
"875.000000","51.020408","125.000000","357.142857","119.047619","250.000000","96.153846","131.578947",
"900.000000","41.666667","80.645161","277.777778","156.250000","178.571429","96.153846","96.153846",
"925.000000","40.983607","147.058824","277.777778","113.636364","208.333333","86.206897","96.153846",
"950.000000","46.296296","119.047619","357.142857","156.250000","192.307692","104.166667","100.000000",
"975.000000","55.555556","104.166667","277.777778","108.695652","156.250000","92.592593","89.285714",
"1000.000000","55.555556","83.333333","227.272727","113.636364","166.666667","89.285714","104.166667",
"1100.000000","39.682540","142.857143","625.000000","277.777778","147.058824","136.986301","185.185185",
"1200.000000","36.900369","142.857143","555.555556","370.370370","237.529691","144.927536","169.491525",
"1300.000000","39.215686","136.986301","666.666667","204.081633","322.580645","153.846154","149.253731",
"1400.000000","42.016807","112.359551","526.315789","217.391304","232.558140","135.135135","158.730159",
"1500.000000","32.669062","133.333333","526.315789","181.818182","217.391304","129.870130","181.818182",
"1600.000000","35.958288","133.333333","476.190476","217.391304","212.765957","116.279070","147.058824",
"1700.000000","32.041012","123.456790","625.000000","169.491525","181.488203","96.993210","128.040973",
"1800.000000","47.846890","120.481928","416.666667","166.666667","181.818182","92.592593","119.047619",
"1900.000000","40.966817","105.263158","322.580645","416.666667","153.846154","90.090090","138.888889",
"2000.000000","50.000000","131.578947","384.615385","666.666667","149.031297","89.285714","138.888889",
"2100.000000","47.393365","138.888889","322.580645","294.117647","151.515152","166.666667","163.934426",
"2200.000000","49.019608","138.888889","625.000000","294.117647","333.333333","125.000000","149.031297",
"2300.000000","45.228403","131.578947","526.315789","476.190476","370.370370","163.934426","181.818182",
"2400.000000","47.169811","149.253731","552.486188","303.030303","285.714286","138.888889","169.491525",
"2500.000000","41.152263","153.846154","454.545455","384.615385","285.714286","126.582278","181.818182",
"2600.000000","43.859649","161.290323","476.190476","243.902439","312.500000","161.290323","212.765957",
"2700.000000","42.372881","120.481928","370.370370","243.309002","303.030303","113.636364","163.934426",
"2800.000000","36.231884","114.942529","555.555556","263.157895","192.307692","123.456790","163.934426",
"2900.000000","36.764706","149.253731","454.545455","243.902439","250.000000","131.578947","192.307692",
"3000.000000","31.338139","114.942529","500.000000","285.714286","303.030303","111.111111","156.250000",
"3100.000000","37.299515","110.987791","434.782609","196.078431","175.438596","119.047619","138.888889",
