"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.657829","0.366792","0.182162","0.218017","0.334746","0.170168","0.159239",
"4000000.000000","1.491459","0.808196","0.382933","0.458580","0.768603","0.369292","0.335881",
"6000000.000000","2.518050","1.466023","0.638647","0.653598","1.236135","0.622135","0.573034",
"8000000.000000","3.232498","1.729974","0.789205","0.981318","1.671062","0.786939","0.701360",
"10000000.000000","4.678794","2.967522","1.174904","1.162156","2.538437","1.173734","1.064571",
"12000000.000000","5.327056","3.176226","1.320164","1.401859","2.778389","1.330165","1.195390",
"14000000.000000","6.021859","3.431844","1.476008","1.890797","3.131367","1.496339","1.333619",
"16000000.000000","6.779289","3.731774","1.651789","2.063056","3.743128","1.675358","1.484686",
"18000000.000000","9.200229","5.940517","2.346403","2.258747","4.927136","2.191998","2.138797",
"20000000.000000","9.840935","6.141098","2.507512","2.480601","5.139463","2.353737","2.282836",
"22000000.000000","10.513995","6.365745","2.668760","2.738515","5.384593","2.522059","2.429043",
"24000000.000000","11.218224","6.615742","2.836027","3.046230","5.681470","2.697974","2.579249",
"26000000.000000","11.956498","6.890920","3.011768","3.809219","6.039726","2.881855","2.735147",
"28000000.000000","12.725057","7.190622","3.190678","3.993460","6.467473","3.074103","2.896070",
"30000000.000000","13.526284","7.514626","3.375651","4.184559","6.985418","3.275631","3.064966",
"32000000.000000","14.359438","7.864325","3.573186","4.382989","7.757534","3.485845","3.241635",
"34000000.000000","15.224623","12.979636","5.168695","4.591134","10.278349","4.614691","4.767078",
"36000000.000000","16.121573","13.191517","5.341537","4.810565","10.488255","4.797920","4.918549",
"38000000.000000","20.549793","13.416050","5.517254","5.043257","10.708935","4.980658","5.075521",
"40000000.000000","21.278568","13.652734","5.694199","5.291391","10.944693","5.167221","5.235686",
"42000000.000000","22.027904","13.908447","5.873124","5.557842","11.198406","5.357199","5.397771",
"44000000.000000","22.796428","14.186929","6.054755","5.847003","11.474194","5.550079","5.561223",
"46000000.000000","23.565121","14.481100","6.238725","6.163436","11.777125","5.752241","5.726866",
"48000000.000000","24.366032","14.792616","6.426617","6.510423","12.110959","5.958644","5.894893",
"50000000.000000","25.191757","15.111508","6.617670","6.889409","12.479111","6.169038","6.065214",
"52000000.000000","26.034931","15.447812","6.811329","8.652865","12.882315","6.383334","6.237070",
"54000000.000000","26.895854","15.798529","7.007043","8.846981","13.319567","6.602011","6.411654",
"56000000.000000","27.758418","16.178724","7.205175","9.044955","13.791198","6.823982","6.588380",
"58000000.000000","28.661625","16.574465","7.408738","9.246072","14.303792","7.050426","6.767804",
"60000000.000000","29.559808","16.989180","7.615071","9.452075","14.871705","7.280173","6.951086",
"62000000.000000","30.496266","17.418346","7.825024","9.660605","15.536755","7.513362","7.137462",
"64000000.000000","31.457111","17.863961","8.038542","9.873739","16.446689","7.750815","7.327944",
"66000000.000000","32.435352","18.314229","8.256839","10.090723","18.734755","7.991244","7.523090",
"68000000.000000","33.412784","26.522543","11.467341","10.312807","20.771296","10.188197","10.689675",
"70000000.000000","34.420181","26.797938","11.648286","10.540599","20.984397","10.402305","10.849635",
"72000000.000000","35.452938","27.039202","11.830149","10.774133","21.202341","10.618090","11.016385",
"74000000.000000","36.504291","27.288169","12.012625","11.014770","21.434447","10.834285","11.183973",
"76000000.000000","46.273624","27.544207","12.196642","11.261897","21.672642","11.051319","11.352277",
"78000000.000000","47.107187","27.809779","12.383963","11.516566","21.918423","11.268756","11.521292",
"80000000.000000","47.951300","28.090924","12.568828","11.779441","22.172258","11.489135","11.690595",
"82000000.000000","48.805350","28.380990","12.755241","12.052703","22.436578","11.709833","11.860185",
"84000000.000000","49.667108","28.680781","12.943195","12.335988","22.712090","11.932056","12.025620",
"86000000.000000","50.515805","28.981461","13.131768","12.631881","22.999201","12.155016","12.192209",
"88000000.000000","51.395955","29.289867","13.318761","12.942247","23.300312","12.379330","12.359352",
"90000000.000000","52.291318","29.606648","13.503738","13.265409","23.614049","12.606905","12.526457",
"92000000.000000","53.196205","29.939601","13.689941","13.604097","23.943220","12.834363","12.695397",
"94000000.000000","54.094099","30.285688","13.877302","13.944690","24.287783","13.062977","12.869273",
"96000000.000000","54.998285","30.640611","14.065182","14.295080","24.649592","13.292611","13.045452",
"98000000.000000","55.931582","30.996602","14.257702","14.658523","25.026787","13.525498","13.223168",
"100000000.000000","56.876153","31.357414","14.454338","15.060392","25.421904","13.758815","13.400945",
"102000000.000000","57.829035","31.727815","14.651902","18.351058","25.834133","13.993616","13.579623",
"104000000.000000","58.793238","32.117364","14.850755","18.545694","26.264174","14.229523","13.759374",
"106000000.000000","59.766178","32.510185","15.051467","18.744957","26.710910","14.468530","13.934717",
"108000000.000000","60.748087","32.908430","15.250174","18.949449","27.175224","14.707397","14.111136",
"110000000.000000","61.738881","33.318720","15.446776","19.155994","27.657861","14.948080","14.288728",
"112000000.000000","62.741661","33.743055","15.646192","19.364488","28.157918","15.189462","14.467486",
"114000000.000000","63.751132","34.174867","15.847650","19.573655","28.675888","15.433429","14.646046",
"116000000.000000","64.770261","34.616024","16.050674","19.777682","29.216227","15.677888","14.833555",
"118000000.000000","65.799174","35.066871","16.259946","19.981064","29.782024","15.923672","15.022259",
"120000000.000000","66.836251","35.524597","16.472472","20.187640","30.381563","16.170677","15.212483",
"122000000.000000","67.882626","35.990813","16.685990","20.395719","31.027383","16.420528","15.404591",
"124000000.000000","68.926757","36.466001","16.901671","20.604899","31.739294","16.670768","15.598198",
"126000000.000000","69.971711","36.942850","17.118207","20.824376","32.558209","16.922396","15.794020",
"128000000.000000","71.047429","37.427825","17.331343","21.047233","33.576468","17.175205","15.992184",
"130000000.000000","72.135135","37.911755","17.545371","21.273612","35.065801","17.430075","16.192504",
"132000000.000000","73.217469","38.396879","17.763518","21.500338","38.189381","17.684866","16.395623",
