"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.356179","0.110513","0.161090","0.156226","0.160633","0.214358","0.147395",
"4000000.000000","0.719357","0.220411","0.322670","0.318228","0.321352","0.428449","0.293926",
"6000000.000000","1.085684","0.333254","0.485256","0.481305","0.482630","0.642643","0.439919",
"8000000.000000","1.458424","0.448383","0.648767","0.645854","0.645168","0.857821","0.584801",
"10000000.000000","1.830634","0.565215","0.812327","0.809209","0.808013","1.071976","0.731638",
"12000000.000000","2.205516","0.683192","0.976310","0.972810","0.971260","1.286407","0.881686",
"14000000.000000","2.586422","0.804957","1.141325","1.137224","1.134720","1.500777","1.033054",
"16000000.000000","2.979961","0.926798","1.306096","1.297311","1.298498","1.716054","1.188241",
"18000000.000000","3.378560","1.049771","1.472133","1.457249","1.463548","1.930832","1.342842",
"20000000.000000","3.784511","1.173109","1.637765","1.617483","1.627889","2.145540","1.495716",
"22000000.000000","4.193912","1.297384","1.803800","1.779066","1.793254","2.360394","1.650146",
"24000000.000000","4.610122","1.422338","1.970497","1.941018","1.957955","2.575205","1.804000",
"26000000.000000","5.030908","1.548375","2.138164","2.103387","2.123209","2.791317","1.959051",
"28000000.000000","5.456895","1.674145","2.304927","2.271148","2.289195","3.006721","2.114095",
"30000000.000000","5.890218","1.801183","2.468096","2.439954","2.455941","3.222300","2.269003",
"32000000.000000","6.329319","1.929657","2.631040","2.608422","2.622815","3.437698","2.424860",
"34000000.000000","6.774313","2.058366","2.795585","2.776731","2.790595","3.651575","2.581170",
"36000000.000000","7.224572","2.187869","2.959879","2.946078","2.959160","3.860117","2.737795",
"38000000.000000","7.682051","2.318203","3.123215","3.115884","3.127664","4.068871","2.895302",
"40000000.000000","8.144958","2.449386","3.288489","3.285921","3.296755","4.277687","3.053256",
"42000000.000000","8.613847","2.581008","3.459466","3.456497","3.467061","4.486453","3.211039",
"44000000.000000","9.088354","2.715023","3.630120","3.627524","3.638255","4.701813","3.369484",
"46000000.000000","9.569762","2.849341","3.802915","3.798836","3.810354","4.918676","3.528525",
"48000000.000000","10.055955","2.984628","3.975893","3.972009","3.982033","5.135551","3.688111",
"50000000.000000","10.550752","3.120846","4.149411","4.145698","4.154245","5.352286","3.848906",
"52000000.000000","11.050308","3.257645","4.324220","4.319216","4.327578","5.568379","4.010099",
"54000000.000000","11.556774","3.396215","4.499040","4.494363","4.501430","5.777377","4.170918",
"56000000.000000","12.069132","3.535599","4.675112","4.670125","4.675266","5.987929","4.332772",
"58000000.000000","12.588536","3.673085","4.851585","4.845987","4.850655","6.198097","4.495398",
"60000000.000000","13.114253","3.810714","5.029419","5.025160","5.026131","6.407976","4.658226",
"62000000.000000","13.646264","3.949490","5.208834","5.203064","5.202622","6.625099","4.822389",
"64000000.000000","14.183506","4.089618","5.388016","5.381657","5.380335","6.843093","4.986879",
"66000000.000000","14.729660","4.230667","5.567371","5.560644","5.558822","7.061214","5.151134",
"68000000.000000","15.280239","4.373153","5.747948","5.740914","5.738687","7.279862","5.316580",
"70000000.000000","15.838101","4.517256","5.928994","5.923794","5.919269","7.496822","5.482619",
"72000000.000000","16.403179","4.668650","6.111329","6.106505","6.099828","7.708562","5.649916",
"74000000.000000","16.973526","4.822188","6.294936","6.289317","6.282900","7.920701","5.818696",
"76000000.000000","17.551577","4.977130","6.478213","6.475079","6.464557","8.133122","5.986975",
"78000000.000000","18.136260","5.134057","6.662400","6.660652","6.647158","8.344976","6.155794",
"80000000.000000","18.728986","5.293021","6.848088","6.846239","6.830638","8.563438","6.325356",
"82000000.000000","19.327055","5.454658","7.035426","7.033735","7.013886","8.783968","6.495726",
"84000000.000000","19.930186","5.619133","7.224034","7.221584","7.200297","9.004237","6.667328",
"86000000.000000","20.533714","5.785283","7.412630","7.410509","7.386371","9.224982","6.833665",
"88000000.000000","21.134644","5.952651","7.602371","7.600060","7.573401","9.446333","7.001338",
"90000000.000000","21.754656","6.123376","7.793394","7.791280","7.761834","9.667816","7.169216",
