"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","1.000000","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","1.000000","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.727273","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.727273","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.744186","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.695652","0.509804","1.000000","1.000000","0.500000","0.500000",
"408.000000","0.994975","0.719101","0.505882","1.000000","0.982353","0.500000","0.500000",
"822.000000","0.997555","0.727273","0.501639","0.885246","0.977049","0.500000","0.500000",
"1740.000000","0.998785","0.729345","0.500870","0.897391","0.987826","0.500000","0.500000",
"3738.000000","0.999426","0.729865","0.500448","0.866368","0.991928","0.500000","0.500000",
"7516.000000","0.999733","0.728566","0.500455","0.852459","0.994536","0.500000","0.500000",
"15172.000000","0.999867","0.729735","0.500230","0.870575","0.999310","0.500000","0.500000",
"30726.000000","0.999934","0.732409","0.500118","0.894861","0.998934","0.500000","0.500000",
"62232.000000","0.999967","0.730125","0.500060","0.828525","1.000000","0.500000","0.500000",
"126270.000000","0.999984","0.732704","0.500030","0.832748","0.998425","0.500000","0.500000",
"256278.000000","0.999992","0.731633","0.500015","0.846512","0.998343","0.500000","0.500000",
"520240.000000","0.999996","0.730190","0.500008","0.805400","0.995888","0.500000","0.500000",
"1056322.000000","0.999998","0.731271","0.500004","0.810574","0.996387","0.500000","0.500000",
"2144976.000000","0.999999","0.731656","0.500002","0.808498","0.996202","0.500000","0.500000",
"4355706.000000","1.000000","0.731023","0.500001","0.808597","0.990346","0.500000","0.500000",
"8844858.000000","1.000000","0.731044","0.500000","0.735288","0.993300","0.500000","0.500000",
"17961078.000000","1.000000","0.731177","0.500000","0.770946","0.988269","0.500000","0.500000",
"36473442.000000","1.000000","0.731042","0.500000","0.751694","0.991491","0.500000","0.500000",
"74066548.000000","1.000000","0.731024","0.500000","0.757204","0.988338","0.500000","0.500000",
"150406842.000000","1.000000","0.731027","0.500000","0.748006","0.989389","0.000000","0.500000",
"305431228.000000","1.000000","0.731059","0.500000","0.734753","0.988120","0.000000","0.500000",
"0.000000","0.000000","0.731033","0.500000","0.758200","0.985025","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000","0.741973",
