"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8 [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"50000.000000","0.003742","0.003979","0.000015","0.000072","0.000000","0.000061","0.000000",
"100000.000000","0.005661","0.007999","0.000015","0.000072","0.000000","0.000061","0.000000",
"150000.000000","0.008469","0.015812","0.011551","0.000072","0.000000","0.000061","0.000000",
"200000.000000","0.009640","0.015812","0.011742","0.000072","0.000000","0.000061","0.000000",
"250000.000000","0.011227","0.015812","0.011742","0.000072","0.000000","0.000061","0.000000",
"300000.000000","0.015289","0.031437","0.035114","0.000072","0.000000","0.000061","0.000000",
"350000.000000","0.016094","0.031437","0.035187","0.000072","0.000000","0.000061","0.000000",
"400000.000000","0.017578","0.031437","0.035187","0.000072","0.000000","0.000061","0.000000",
"450000.000000","0.019085","0.031437","0.035187","0.023361","0.000000","0.000061","0.000000",
"500000.000000","0.020638","0.031437","0.035187","0.023514","0.000000","0.000061","0.000000",
"550000.000000","0.029118","0.062691","0.081982","0.023514","0.000000","0.031265","0.046879",
"600000.000000","0.027554","0.062691","0.058624","0.023514","0.000000","0.031315","0.046879",
"650000.000000","0.029095","0.062691","0.058624","0.023514","0.000000","0.031315","0.046879",
"700000.000000","0.030537","0.062691","0.058624","0.023514","0.000000","0.031315","0.046879",
"750000.000000","0.031994","0.062691","0.058624","0.023514","0.000000","0.031315","0.046879",
"800000.000000","0.033539","0.062691","0.058624","0.023514","0.000000","0.031315","0.046879",
"850000.000000","0.035072","0.062691","0.058624","0.023514","0.000000","0.031315","0.046879",
"900000.000000","0.036541","0.062691","0.058624","0.070320","0.000000","0.031315","0.046879",
"950000.000000","0.038013","0.062691","0.058624","0.070396","0.000000","0.031315","0.046879",
"1000000.000000","0.039520","0.062691","0.058624","0.070396","0.000000","0.031315","0.046879",
"1050000.000000","0.040981","0.125195","0.152328","0.070396","0.046883","0.093807","0.140633",
"1100000.000000","0.057198","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1150000.000000","0.052113","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1200000.000000","0.053589","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1250000.000000","0.055088","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1300000.000000","0.056591","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1350000.000000","0.058060","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1400000.000000","0.059566","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1450000.000000","0.061058","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1500000.000000","0.062531","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1550000.000000","0.064014","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1600000.000000","0.065514","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1650000.000000","0.067001","0.093941","0.105499","0.070396","0.046883","0.062565","0.093754",
"1700000.000000","0.068512","0.093941","0.105499","0.164047","0.046883","0.062565","0.093754",
"1750000.000000","0.069996","0.093941","0.105499","0.117271","0.046883","0.062565","0.093754",
"1800000.000000","0.071472","0.093941","0.105499","0.117271","0.046883","0.062565","0.093754",
"1850000.000000","0.072964","0.093941","0.105499","0.117271","0.046883","0.062565","0.093754",
"1900000.000000","0.074467","0.093941","0.105499","0.117271","0.046883","0.062565","0.093754",
"1950000.000000","0.075951","0.093941","0.105499","0.117271","0.046883","0.062565","0.093754",
"2000000.000000","0.077446","0.094486","0.105499","0.117271","0.046883","0.062565","0.093754",
"2050000.000000","0.078938","0.095879","0.105499","0.117271","0.046883","0.062565","0.093754",
"2100000.000000","0.080421","0.242203","0.292854","0.117271","0.140598","0.187317","0.281258",
"2150000.000000","0.114227","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2200000.000000","0.099880","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2250000.000000","0.101372","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2300000.000000","0.102856","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2350000.000000","0.104351","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2400000.000000","0.105839","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2450000.000000","0.107330","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2500000.000000","0.108822","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2550000.000000","0.110306","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2600000.000000","0.111797","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2650000.000000","0.113293","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2700000.000000","0.114784","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2750000.000000","0.116272","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2800000.000000","0.117760","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2850000.000000","0.119247","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2900000.000000","0.120743","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"2950000.000000","0.122231","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"3000000.000000","0.123718","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"3050000.000000","0.125210","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"3100000.000000","0.126709","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"3150000.000000","0.128189","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"3200000.000000","0.129684","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"3250000.000000","0.131168","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"3300000.000000","0.132664","0.179699","0.199249","0.117271","0.093758","0.125065","0.187504",
"3350000.000000","0.134151","0.179699","0.199249","0.304592","0.093758","0.125065","0.187504",
"3400000.000000","0.135639","0.179699","0.199249","0.211021","0.093758","0.125065","0.187504",
"3450000.000000","0.137135","0.179699","0.199249","0.211021","0.093758","0.125065","0.187504",
"3500000.000000","0.138626","0.179699","0.199249","0.211021","0.093758","0.125065","0.187504",
"3550000.000000","0.140118","0.179699","0.199249","0.211021","0.093758","0.125065","0.187504",
"3600000.000000","0.141609","0.179699","0.199249","0.211021","0.093758","0.125065","0.187504",
"3650000.000000","0.143089","0.179699","0.199249","0.211021","0.093758","0.125065","0.187504",
"3700000.000000","0.144581","0.180668","0.199249","0.211021","0.093758","0.125065","0.187504",
"3750000.000000","0.146069","0.181976","0.199249","0.211021","0.093758","0.125065","0.187504",
"3800000.000000","0.147564","0.183304","0.199249","0.211021","0.093758","0.125065","0.187504",
"3850000.000000","0.149052","0.184643","0.199249","0.211021","0.093758","0.125065","0.187504",
"3900000.000000","0.150547","0.186001","0.199249","0.211021","0.093758","0.125065","0.187504",
"3950000.000000","0.152031","0.187359","0.199249","0.211021","0.093758","0.125065","0.187504",
"4000000.000000","0.153526","0.188736","0.199249","0.211021","0.093758","0.125065","0.187504",
"4050000.000000","0.155014","0.190105","0.199249","0.211021","0.093758","0.125065","0.187504",
"4100000.000000","0.156509","0.191494","0.199249","0.211021","0.093758","0.125065","0.187504",
"4150000.000000","0.158001","0.192890","0.199249","0.211021","0.093758","0.125065","0.187504",
"4200000.000000","0.159485","0.484032","0.574074","0.211021","0.281193","0.374954","0.562508",
