"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"100000.000000","0.161228","0.999889","0.749840","0.749985","0.749882","0.999866","0.749947",
"200000.000000","0.164200","1.000027","0.750011","0.750153","0.750008","1.000004","0.750004",
"300000.000000","0.167183","1.000057","0.750011","0.750153","0.750008","1.000004","0.750004",
"400000.000000","0.170158","1.000103","0.750011","0.750153","0.750008","1.000004","0.750004",
"500000.000000","0.173134","1.000164","0.750011","0.750153","0.750008","1.000004","0.750004",
"600000.000000","0.176121","1.000233","0.750011","0.750153","0.750008","1.000004","0.750004",
"700000.000000","0.179100","1.000317","0.750011","0.750153","0.750008","1.000004","0.750004",
"800000.000000","0.182076","1.000420","0.750011","0.750153","0.750008","1.000004","0.750004",
"900000.000000","0.185066","1.000530","0.750011","0.750153","0.750008","1.000004","0.750004",
"1000000.000000","0.188042","1.000652","0.750011","0.750153","0.750008","1.000004","0.750004",
"1100000.000000","0.191021","1.000793","0.750011","0.750153","0.750008","1.000004","0.750004",
"1200000.000000","0.194012","1.000946","0.750011","0.750153","0.750008","1.000004","0.750004",
"1300000.000000","0.196991","1.001110","0.750011","0.750153","0.750008","1.000004","0.750004",
"1400000.000000","0.199963","1.001289","0.750011","0.750153","0.750008","1.000004","0.750004",
"1500000.000000","0.202953","1.001480","0.750011","0.750153","0.750008","1.000004","0.750004",
"1600000.000000","0.205925","1.001686","0.750011","0.750153","0.750008","1.000004","0.750004",
"1700000.000000","0.208900","1.001896","0.750011","0.750153","0.750008","1.000004","0.750004",
"1800000.000000","0.211880","1.002121","0.750011","0.750153","0.750008","1.000004","0.750004",
"1900000.000000","0.214863","1.002357","0.750011","0.750153","0.750008","1.000004","0.750004",
"2000000.000000","0.217850","1.002605","0.750011","0.750153","0.750008","1.000004","0.750004",
"2100000.000000","0.220818","1.002869","0.750011","0.750153","0.750008","1.000004","0.750004",
"2200000.000000","0.223804","1.003143","0.750011","0.750153","0.750008","1.000004","0.750004",
"2300000.000000","0.226788","1.003437","0.750011","0.750153","0.750008","1.000004","0.750004",
"2400000.000000","0.229767","1.003742","0.750011","0.750153","0.750008","1.000004","0.750004",
"2500000.000000","0.232750","1.004059","0.750011","0.750153","0.750008","1.000004","0.750004",
"2600000.000000","0.235729","1.004395","0.750011","0.750153","0.750008","1.000004","0.750004",
"2700000.000000","0.238705","1.004734","0.750011","0.750153","0.750008","1.000004","0.750004",
"2800000.000000","0.241688","1.005089","0.750011","0.750153","0.750008","1.000004","0.750004",
"2900000.000000","0.244667","1.005451","0.750011","0.750153","0.750008","1.000004","0.750004",
"3000000.000000","0.247654","1.005829","0.750011","0.750153","0.750008","1.000004","0.750004",
"3100000.000000","0.250629","1.006226","0.750011","0.750153","0.750008","1.000004","0.750004",
"3200000.000000","0.253605","1.006622","0.750011","0.750153","0.750008","1.000004","0.750004",
"3300000.000000","0.256588","1.007038","0.750011","0.750153","0.750008","1.000004","0.750004",
"3400000.000000","0.259579","1.007473","0.750015","0.750153","0.750008","1.000004","0.750004",
"3500000.000000","0.262547","1.007904","0.750015","0.750153","0.750008","1.000004","0.750004",
"3600000.000000","0.265533","1.008358","0.750015","0.750153","0.750008","1.000004","0.750004",
"3700000.000000","0.268509","1.008816","0.750015","0.750153","0.750008","1.000004","0.750004",
"3800000.000000","0.271488","1.009289","0.750015","0.750153","0.750008","1.000004","0.750004",
"3900000.000000","0.274471","1.009777","0.750015","0.750153","0.750008","1.000004","0.750004",
