"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"1000000.000000","0.039143","0.062180","0.071983","0.072124","0.037117","0.048698","0.072186",
"2000000.000000","0.077076","0.122723","0.142185","0.142262","0.072144","0.095512","0.142551",
"3000000.000000","0.123474","0.243694","0.282833","0.095612","0.142399","0.189228","0.283176",
"4000000.000000","0.153336","0.190292","0.189220","0.283089","0.095741","0.126858","0.189423",
"5000000.000000","0.229836","0.485641","0.564129","0.189362","0.283226","0.376785","0.564426",
"6000000.000000","0.246254","0.360641","0.376720","0.189362","0.189491","0.251858","0.376923",
"7000000.000000","0.276173","0.360641","0.376720","0.564224","0.189491","0.251858","0.376923",
"8000000.000000","0.305996","0.378761","0.376720","0.376862","0.189491","0.251858","0.376923",
"9000000.000000","0.464993","0.969666","1.126709","0.376862","0.564339","0.751812","1.126926",
"10000000.000000","0.433445","0.719666","0.751720","0.376862","0.376991","0.501858","0.751923",
"11000000.000000","0.463223","0.719666","0.751720","0.376862","0.376991","0.501858","0.751923",
"12000000.000000","0.493042","0.719666","0.751720","0.376862","0.376991","0.501858","0.751923",
"13000000.000000","0.522846","0.719666","0.751720","1.126675","0.376991","0.501858","0.751923",
"14000000.000000","0.552605","0.719666","0.751720","0.751862","0.376991","0.501858","0.751923",
"15000000.000000","0.582531","0.728966","0.751720","0.751862","0.376991","0.501858","0.751923",
"16000000.000000","0.612289","0.755924","0.751720","0.751862","0.376991","0.501858","0.751923",
"17000000.000000","0.642136","1.937462","2.251541","0.751862","1.126778","1.501823","2.251926",
"18000000.000000","0.942524","1.437462","1.501720","0.751862","0.751991","1.001858","1.501923",
"19000000.000000","0.839642","1.437462","1.501720","0.751862","0.751991","1.001858","1.501923",
"20000000.000000","0.869461","1.437462","1.501720","0.751862","0.751991","1.001858","1.501923",
"21000000.000000","0.899250","1.437462","1.501720","0.751862","0.751991","1.001858","1.501923",
"22000000.000000","0.929073","1.437462","1.501720","0.751862","0.751991","1.001858","1.501923",
"23000000.000000","0.958828","1.437462","1.501720","0.751862","0.751991","1.001858","1.501923",
"24000000.000000","0.988667","1.437462","1.501720","0.751862","0.751991","1.001858","1.501923",
"25000000.000000","1.018475","1.437462","1.501720","0.751862","0.751991","1.001858","1.501923",
"26000000.000000","1.048271","1.437462","1.501720","0.751862","0.751991","1.001858","1.501923",
"27000000.000000","1.078068","1.437462","1.501720","2.251747","0.751991","1.001858","1.501923",
"28000000.000000","1.107880","1.437462","1.501720","1.501862","0.751991","1.001858","1.501923",
"29000000.000000","1.137672","1.437462","1.501720","1.501862","0.751991","1.001858","1.501923",
"30000000.000000","1.167496","1.456318","1.501720","1.501862","0.751991","1.001858","1.501923",
"31000000.000000","1.197292","1.482994","1.501720","1.501862","0.751991","1.001858","1.501923",
"32000000.000000","1.227074","1.510250","1.501720","1.501862","0.751991","1.001858","1.501923",
"33000000.000000","1.256889","1.537964","1.501720","1.501862","0.751991","1.001858","1.501923",
"34000000.000000","1.286694","3.873127","4.501656","1.501862","2.251774","3.001617","4.501926",
"35000000.000000","1.316490","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"36000000.000000","1.346291","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"37000000.000000","1.912254","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"38000000.000000","1.685989","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"39000000.000000","1.715790","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"40000000.000000","1.745602","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"41000000.000000","1.775406","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"42000000.000000","1.805214","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"43000000.000000","1.835003","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"44000000.000000","1.864811","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"45000000.000000","1.894611","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"46000000.000000","1.924412","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"47000000.000000","1.954216","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"48000000.000000","1.984016","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"49000000.000000","2.013821","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"50000000.000000","2.043633","2.873131","3.001720","1.501862","1.501991","2.001858","3.001923",
"51000000.000000","2.073421","2.873131","3.001720","4.501850","1.501991","2.001858","3.001923",
"52000000.000000","2.103230","2.873131","3.001720","3.001862","1.501991","2.001858","3.001923",
"53000000.000000","2.133034","2.873131","3.001720","3.001862","1.501991","2.001858","3.001923",
"54000000.000000","2.162834","2.873131","3.001720","3.001862","1.501991","2.001858","3.001923",
"55000000.000000","2.192635","2.873131","3.001720","3.001862","1.501991","2.001858","3.001923",
"56000000.000000","2.222439","2.873131","3.001720","3.001862","1.501991","2.001858","3.001923",
"57000000.000000","2.252239","2.873131","3.001720","3.001862","1.501991","2.001858","3.001923",
"58000000.000000","2.282043","2.873131","3.001720","3.001862","1.501991","2.001858","3.001923",
"59000000.000000","2.311844","2.884602","3.001720","3.001862","1.501991","2.001858","3.001923",
"60000000.000000","2.341648","2.910851","3.001720","3.001862","1.501991","2.001858","3.001923",
"61000000.000000","2.371449","2.937401","3.001720","3.001862","1.501991","2.001858","3.001923",
"62000000.000000","2.401253","2.964241","3.001720","3.001862","1.501991","2.001858","3.001923",
"63000000.000000","2.431057","2.991322","3.001720","3.001862","1.501991","2.001858","3.001923",
"64000000.000000","2.460861","3.018650","3.001720","3.001862","1.501991","2.001858","3.001923",
"65000000.000000","2.490662","3.046234","3.001720","3.001862","1.501991","2.001858","3.001923",
"66000000.000000","2.520462","3.074116","3.001720","3.001862","1.501991","2.001858","3.001923",
"67000000.000000","2.550274","3.102203","3.001720","3.001862","4.501816","2.001858","3.001923",
"68000000.000000","2.580070","7.744476","9.001698","3.001862","3.001991","6.001797","9.001926",
"69000000.000000","2.609867","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"70000000.000000","2.639675","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"71000000.000000","2.669472","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"72000000.000000","2.699276","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"73000000.000000","2.729076","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"74000000.000000","2.758884","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"75000000.000000","3.881489","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"76000000.000000","3.387268","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"77000000.000000","3.417072","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"78000000.000000","3.446869","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"79000000.000000","3.476681","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"80000000.000000","3.506474","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"81000000.000000","3.536274","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"82000000.000000","3.566078","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"83000000.000000","3.595882","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"84000000.000000","3.625687","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"85000000.000000","3.655487","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"86000000.000000","3.685287","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"87000000.000000","3.715099","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"88000000.000000","3.744892","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"89000000.000000","3.774696","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"90000000.000000","3.804497","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"91000000.000000","3.834301","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"92000000.000000","3.864101","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"93000000.000000","3.893909","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"94000000.000000","3.923714","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"95000000.000000","3.953510","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"96000000.000000","3.983318","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"97000000.000000","4.013115","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"98000000.000000","4.042919","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"99000000.000000","4.072720","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"100000000.000000","4.102520","5.744476","6.001720","3.001862","3.001991","4.001858","6.001923",
"101000000.000000","4.132332","5.744476","6.001720","9.001671","3.001991","4.001858","6.001923",
"102000000.000000","4.162125","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"103000000.000000","4.191936","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"104000000.000000","4.221737","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"105000000.000000","4.251534","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"106000000.000000","4.281334","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"107000000.000000","4.311142","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"108000000.000000","4.340942","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"109000000.000000","4.370743","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"110000000.000000","4.400543","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"111000000.000000","4.430351","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"112000000.000000","4.460155","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"113000000.000000","4.489952","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"114000000.000000","4.519753","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"115000000.000000","4.549557","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"116000000.000000","4.579357","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"117000000.000000","4.609169","5.744476","6.001720","6.001862","3.001991","4.001858","6.001923",
"118000000.000000","4.638966","5.767582","6.001720","6.001862","3.001991","4.001858","6.001923",
"119000000.000000","4.668770","5.793816","6.001720","6.001862","3.001991","4.001858","6.001923",
"120000000.000000","4.698570","5.820156","6.001720","6.001862","3.001991","4.001858","6.001923",
"121000000.000000","4.728374","5.846664","6.001720","6.001862","3.001991","4.001858","6.001923",
"122000000.000000","4.758171","5.873291","6.001720","6.001862","3.001991","4.001858","6.001923",
"123000000.000000","4.787975","5.900070","6.001720","6.001862","3.001991","4.001858","6.001923",
