"[count]","iHashT_u8h",
"0.000000","0.000000",
"1000000.000000","0.071983",
"2000000.000000","0.142185",
"3000000.000000","0.282833",
"4000000.000000","0.189220",
"5000000.000000","0.564129",
"6000000.000000","0.376720",
"7000000.000000","0.376720",
"8000000.000000","0.376720",
"9000000.000000","1.126709",
"10000000.000000","0.751720",
"11000000.000000","0.751720",
"12000000.000000","0.751720",
"13000000.000000","0.751720",
"14000000.000000","0.751720",
"15000000.000000","0.751720",
"16000000.000000","0.751720",
"17000000.000000","2.251541",
"18000000.000000","1.501720",
"19000000.000000","1.501720",
"20000000.000000","1.501720",
"21000000.000000","1.501720",
"22000000.000000","1.501720",
"23000000.000000","1.501720",
"24000000.000000","1.501720",
"25000000.000000","1.501720",
"26000000.000000","1.501720",
"27000000.000000","1.501720",
"28000000.000000","1.501720",
"29000000.000000","1.501720",
"30000000.000000","1.501720",
"31000000.000000","1.501720",
"32000000.000000","1.501720",
"33000000.000000","1.501720",
"34000000.000000","4.501656",
"35000000.000000","3.001720",
"36000000.000000","3.001720",
"37000000.000000","3.001720",
"38000000.000000","3.001720",
"39000000.000000","3.001720",
"40000000.000000","3.001720",
"41000000.000000","3.001720",
"42000000.000000","3.001720",
"43000000.000000","3.001720",
"44000000.000000","3.001720",
"45000000.000000","3.001720",
"46000000.000000","3.001720",
"47000000.000000","3.001720",
"48000000.000000","3.001720",
"49000000.000000","3.001720",
"50000000.000000","3.001720",
"51000000.000000","3.001720",
"52000000.000000","3.001720",
"53000000.000000","3.001720",
"54000000.000000","3.001720",
"55000000.000000","3.001720",
"56000000.000000","3.001720",
"57000000.000000","3.001720",
"58000000.000000","3.001720",
"59000000.000000","3.001720",
"60000000.000000","3.001720",
"61000000.000000","3.001720",
"62000000.000000","3.001720",
"63000000.000000","3.001720",
"64000000.000000","3.001720",
"65000000.000000","3.001720",
"66000000.000000","3.001720",
"67000000.000000","3.001720",
"68000000.000000","9.001698",
"69000000.000000","6.001720",
"70000000.000000","6.001720",
"71000000.000000","6.001720",
"72000000.000000","6.001720",
"73000000.000000","6.001720",
"74000000.000000","6.001720",
"75000000.000000","6.001720",
"76000000.000000","6.001720",
"77000000.000000","6.001720",
"78000000.000000","6.001720",
"79000000.000000","6.001720",
"80000000.000000","6.001720",
"81000000.000000","6.001720",
"82000000.000000","6.001720",
"83000000.000000","6.001720",
"84000000.000000","6.001720",
"85000000.000000","6.001720",
"86000000.000000","6.001720",
"87000000.000000","6.001720",
"88000000.000000","6.001720",
"89000000.000000","6.001720",
"90000000.000000","6.001720",
"91000000.000000","6.001720",
"92000000.000000","6.001720",
"93000000.000000","6.001720",
"94000000.000000","6.001720",
"95000000.000000","6.001720",
"96000000.000000","6.001720",
"97000000.000000","6.001720",
"98000000.000000","6.001720",
"99000000.000000","6.001720",
"100000000.000000","6.001720",
"101000000.000000","6.001720",
"102000000.000000","6.001720",
"103000000.000000","6.001720",
"104000000.000000","6.001720",
"105000000.000000","6.001720",
"106000000.000000","6.001720",
"107000000.000000","6.001720",
"108000000.000000","6.001720",
"109000000.000000","6.001720",
"110000000.000000","6.001720",
"111000000.000000","6.001720",
"112000000.000000","6.001720",
"113000000.000000","6.001720",
"114000000.000000","6.001720",
"115000000.000000","6.001720",
"116000000.000000","6.001720",
"117000000.000000","6.001720",
"118000000.000000","6.001720",
"119000000.000000","6.001720",
"120000000.000000","6.001720",
"121000000.000000","6.001720",
"122000000.000000","6.001720",
