"[count]","iHashT_u16",
"0.000000","0.000000",
"1000000.000000","0.037117",
"2000000.000000","0.072144",
"3000000.000000","0.142399",
"4000000.000000","0.095741",
"5000000.000000","0.283226",
"6000000.000000","0.189491",
"7000000.000000","0.189491",
"8000000.000000","0.189491",
"9000000.000000","0.564339",
"10000000.000000","0.376991",
"11000000.000000","0.376991",
"12000000.000000","0.376991",
"13000000.000000","0.376991",
"14000000.000000","0.376991",
"15000000.000000","0.376991",
"16000000.000000","0.376991",
"17000000.000000","1.126778",
"18000000.000000","0.751991",
"19000000.000000","0.751991",
"20000000.000000","0.751991",
"21000000.000000","0.751991",
"22000000.000000","0.751991",
"23000000.000000","0.751991",
"24000000.000000","0.751991",
"25000000.000000","0.751991",
"26000000.000000","0.751991",
"27000000.000000","0.751991",
"28000000.000000","0.751991",
"29000000.000000","0.751991",
"30000000.000000","0.751991",
"31000000.000000","0.751991",
"32000000.000000","0.751991",
"33000000.000000","0.751991",
"34000000.000000","2.251774",
"35000000.000000","1.501991",
"36000000.000000","1.501991",
"37000000.000000","1.501991",
"38000000.000000","1.501991",
"39000000.000000","1.501991",
"40000000.000000","1.501991",
"41000000.000000","1.501991",
"42000000.000000","1.501991",
"43000000.000000","1.501991",
"44000000.000000","1.501991",
"45000000.000000","1.501991",
"46000000.000000","1.501991",
"47000000.000000","1.501991",
"48000000.000000","1.501991",
"49000000.000000","1.501991",
"50000000.000000","1.501991",
"51000000.000000","1.501991",
"52000000.000000","1.501991",
"53000000.000000","1.501991",
"54000000.000000","1.501991",
"55000000.000000","1.501991",
"56000000.000000","1.501991",
"57000000.000000","1.501991",
"58000000.000000","1.501991",
"59000000.000000","1.501991",
"60000000.000000","1.501991",
"61000000.000000","1.501991",
"62000000.000000","1.501991",
"63000000.000000","1.501991",
"64000000.000000","1.501991",
"65000000.000000","1.501991",
"66000000.000000","1.501991",
"67000000.000000","4.501816",
"68000000.000000","3.001991",
"69000000.000000","3.001991",
"70000000.000000","3.001991",
"71000000.000000","3.001991",
"72000000.000000","3.001991",
"73000000.000000","3.001991",
"74000000.000000","3.001991",
"75000000.000000","3.001991",
"76000000.000000","3.001991",
"77000000.000000","3.001991",
"78000000.000000","3.001991",
"79000000.000000","3.001991",
"80000000.000000","3.001991",
"81000000.000000","3.001991",
"82000000.000000","3.001991",
"83000000.000000","3.001991",
"84000000.000000","3.001991",
"85000000.000000","3.001991",
"86000000.000000","3.001991",
"87000000.000000","3.001991",
"88000000.000000","3.001991",
"89000000.000000","3.001991",
