"[count]","dHashT",
"0.000000","0.000000",
"1000000.000000","0.048698",
"2000000.000000","0.095512",
"3000000.000000","0.189228",
"4000000.000000","0.126858",
"5000000.000000","0.376785",
"6000000.000000","0.251858",
"7000000.000000","0.251858",
"8000000.000000","0.251858",
"9000000.000000","0.751812",
"10000000.000000","0.501858",
"11000000.000000","0.501858",
"12000000.000000","0.501858",
"13000000.000000","0.501858",
"14000000.000000","0.501858",
"15000000.000000","0.501858",
"16000000.000000","0.501858",
"17000000.000000","1.501823",
"18000000.000000","1.001858",
"19000000.000000","1.001858",
"20000000.000000","1.001858",
"21000000.000000","1.001858",
"22000000.000000","1.001858",
"23000000.000000","1.001858",
"24000000.000000","1.001858",
"25000000.000000","1.001858",
"26000000.000000","1.001858",
"27000000.000000","1.001858",
"28000000.000000","1.001858",
"29000000.000000","1.001858",
"30000000.000000","1.001858",
"31000000.000000","1.001858",
"32000000.000000","1.001858",
"33000000.000000","1.001858",
"34000000.000000","3.001617",
"35000000.000000","2.001858",
"36000000.000000","2.001858",
"37000000.000000","2.001858",
"38000000.000000","2.001858",
"39000000.000000","2.001858",
"40000000.000000","2.001858",
"41000000.000000","2.001858",
"42000000.000000","2.001858",
"43000000.000000","2.001858",
"44000000.000000","2.001858",
"45000000.000000","2.001858",
"46000000.000000","2.001858",
"47000000.000000","2.001858",
"48000000.000000","2.001858",
"49000000.000000","2.001858",
"50000000.000000","2.001858",
"51000000.000000","2.001858",
"52000000.000000","2.001858",
"53000000.000000","2.001858",
"54000000.000000","2.001858",
"55000000.000000","2.001858",
"56000000.000000","2.001858",
"57000000.000000","2.001858",
"58000000.000000","2.001858",
"59000000.000000","2.001858",
"60000000.000000","2.001858",
"61000000.000000","2.001858",
"62000000.000000","2.001858",
"63000000.000000","2.001858",
"64000000.000000","2.001858",
"65000000.000000","2.001858",
"66000000.000000","2.001858",
"67000000.000000","2.001858",
"68000000.000000","6.001797",
"69000000.000000","4.001858",
"70000000.000000","4.001858",
"71000000.000000","4.001858",
"72000000.000000","4.001858",
"73000000.000000","4.001858",
"74000000.000000","4.001858",
"75000000.000000","4.001858",
"76000000.000000","4.001858",
"77000000.000000","4.001858",
"78000000.000000","4.001858",
"79000000.000000","4.001858",
"80000000.000000","4.001858",
"81000000.000000","4.001858",
"82000000.000000","4.001858",
"83000000.000000","4.001858",
"84000000.000000","4.001858",
"85000000.000000","4.001858",
"86000000.000000","4.001858",
"87000000.000000","4.001858",
"88000000.000000","4.001858",
"89000000.000000","4.001858",
"90000000.000000","4.001858",
"91000000.000000","4.001858",
"92000000.000000","4.001858",
"93000000.000000","4.001858",
"94000000.000000","4.001858",
"95000000.000000","4.001858",
"96000000.000000","4.001858",
"97000000.000000","4.001858",
"98000000.000000","4.001858",
"99000000.000000","4.001858",
"100000000.000000","4.001858",
"101000000.000000","4.001858",
"102000000.000000","4.001858",
"103000000.000000","4.001858",
"104000000.000000","4.001858",
"105000000.000000","4.001858",
"106000000.000000","4.001858",
"107000000.000000","4.001858",
"108000000.000000","4.001858",
"109000000.000000","4.001858",
"110000000.000000","4.001858",
"111000000.000000","4.001858",
"112000000.000000","4.001858",
"113000000.000000","4.001858",
"114000000.000000","4.001858",
"115000000.000000","4.001858",
"116000000.000000","4.001858",
"117000000.000000","4.001858",
"118000000.000000","4.001858",
"119000000.000000","4.001858",
"120000000.000000","4.001858",
"121000000.000000","4.001858",
"122000000.000000","4.001858",
"123000000.000000","4.001858",
"124000000.000000","4.001858",
"125000000.000000","4.001858",
"126000000.000000","4.001858",
"127000000.000000","4.001858",
"128000000.000000","4.001858",
"129000000.000000","4.001858",
"130000000.000000","4.001858",
"131000000.000000","4.001858",
"132000000.000000","4.001858",
"133000000.000000","4.001858",
"134000000.000000","4.001858",
"135000000.000000","12.001713",
"136000000.000000","8.001858",
"137000000.000000","8.001858",
"138000000.000000","8.001858",
"139000000.000000","8.001858",
"140000000.000000","8.001858",
"141000000.000000","8.001858",
"142000000.000000","8.001858",
"143000000.000000","8.001858",
"144000000.000000","8.001858",
"145000000.000000","8.001858",
"146000000.000000","8.001858",
"147000000.000000","8.001858",
"148000000.000000","8.001858",
"149000000.000000","8.001858",
"150000000.000000","8.001858",
"151000000.000000","8.001858",
"152000000.000000","8.001858",
"153000000.000000","8.001858",
"154000000.000000","8.001858",
"155000000.000000","8.001858",
"156000000.000000","8.001858",
"157000000.000000","8.001858",
"158000000.000000","8.001858",
"159000000.000000","8.001858",
"160000000.000000","8.001858",
"161000000.000000","8.001858",
"162000000.000000","8.001858",
"163000000.000000","8.001858",
"164000000.000000","8.001858",
"165000000.000000","8.001858",
"166000000.000000","8.001858",
"167000000.000000","8.001858",
"168000000.000000","8.001858",
"169000000.000000","8.001858",
"170000000.000000","8.001858",
"171000000.000000","8.001858",
"172000000.000000","8.001858",
"173000000.000000","8.001858",
"174000000.000000","8.001858",
"175000000.000000","8.001858",
"176000000.000000","8.001858",
"177000000.000000","8.001858",
"178000000.000000","8.001858",
"179000000.000000","8.001858",
"180000000.000000","8.001858",
"181000000.000000","8.001858",
"182000000.000000","8.001858",
"183000000.000000","8.001858",
"184000000.000000","8.001858",
"185000000.000000","8.001858",
"186000000.000000","8.001858",
"187000000.000000","8.001858",
"188000000.000000","8.001858",
"189000000.000000","8.001858",
"190000000.000000","8.001858",
"191000000.000000","8.001858",
"192000000.000000","8.001858",
"193000000.000000","8.001858",
"194000000.000000","8.001858",
"195000000.000000","8.001858",
"196000000.000000","8.001858",
"197000000.000000","8.001858",
"198000000.000000","8.001858",
"199000000.000000","8.001858",
"200000000.000000","8.001858",
