"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"1000000.000000","1.566769","8.001823","6.001705","6.001709","6.001583","8.001736","6.001575",
"2000000.000000","1.596626","8.002136","6.001751","6.001812","6.001797","8.001736","6.001606",
"3000000.000000","1.626427","8.002556","6.001751","6.001812","6.001797","8.001736","6.001606",
"4000000.000000","1.656231","8.003128","6.001751","6.001812","6.001797","8.001740","6.001610",
"5000000.000000","1.686031","8.003876","6.001751","6.001812","6.001797","8.001740","6.001610",
"6000000.000000","1.715832","8.004772","6.001751","6.001812","6.001797","8.001740","6.001610",
"7000000.000000","1.745625","8.005844","6.001751","6.001812","6.001797","8.001740","6.001610",
"8000000.000000","1.775444","8.007076","6.001751","6.001812","6.001797","8.001740","6.001610",
"9000000.000000","1.805241","8.008480","6.001751","6.001812","6.001797","8.001740","6.001610",
"10000000.000000","1.835033","8.010036","6.001751","6.001812","6.001797","8.001740","6.001610",
"11000000.000000","1.864845","8.011745","6.001751","6.001812","6.001797","8.001740","6.001610",
"12000000.000000","1.894653","8.013622","6.001751","6.001812","6.001797","8.001740","6.001610",
"13000000.000000","1.924438","8.015659","6.001751","6.001812","6.001797","8.001740","6.001610",
"14000000.000000","1.954258","8.017853","6.001751","6.001812","6.001797","8.001740","6.001610",
"15000000.000000","1.984043","8.020203","6.001751","6.001812","6.001797","8.001740","6.001610",
"16000000.000000","2.013863","8.022701","6.001751","6.001812","6.001797","8.001740","6.001610",
"17000000.000000","2.043652","8.025349","6.001751","6.001812","6.001797","8.001740","6.001610",
"18000000.000000","2.073460","8.028179","6.001751","6.001812","6.001797","8.001740","6.001610",
"19000000.000000","2.103256","8.031147","6.001751","6.001812","6.001797","8.001740","6.001610",
"20000000.000000","2.133057","8.034283","6.001751","6.001812","6.001797","8.001740","6.001610",
"21000000.000000","2.162865","8.037563","6.001751","6.001812","6.001797","8.001740","6.001610",
"22000000.000000","2.192677","8.041023","6.001751","6.001812","6.001797","8.001740","6.001610",
"23000000.000000","2.222466","8.044613","6.001751","6.001812","6.001797","8.001740","6.001610",
"24000000.000000","2.252274","8.048355","6.001751","6.001812","6.001797","8.001740","6.001610",
"25000000.000000","2.282082","8.052250","6.001751","6.001812","6.001797","8.001740","6.001610",
"26000000.000000","2.311874","8.056305","6.001751","6.001812","6.001797","8.001740","6.001610",
"27000000.000000","2.341682","8.060505","6.001751","6.001812","6.001797","8.001740","6.001610",
"28000000.000000","2.371479","8.064857","6.001751","6.001812","6.001797","8.001740","6.001610",
"29000000.000000","2.401279","8.069366","6.001751","6.001812","6.001797","8.001740","6.001610",
"30000000.000000","2.431084","8.074020","6.001751","6.001812","6.001797","8.001740","6.001610",
"31000000.000000","2.460892","8.078823","6.001751","6.001812","6.001797","8.001740","6.001610",
"32000000.000000","2.490700","8.083771","6.001751","6.001812","6.001797","8.001740","6.001610",
"33000000.000000","2.520496","8.088867","6.001751","6.001812","6.001797","8.001740","6.001610",
"34000000.000000","2.550301","8.094131","6.001751","6.001812","6.001797","8.001740","6.001610",
"35000000.000000","2.580097","8.099533","6.001751","6.001812","6.001797","8.001740","6.001610",
"36000000.000000","2.609909","8.105091","6.001751","6.001812","6.001797","8.001740","6.001610",
"37000000.000000","2.639709","8.110752","6.001751","6.001812","6.001797","8.001740","6.001610",
"38000000.000000","2.669502","8.116608","6.001751","6.001812","6.001797","8.001740","6.001610",
"39000000.000000","2.699310","8.122581","6.001751","6.001812","6.001797","8.001740","6.001610",
"40000000.000000","2.729118","8.128681","6.001751","6.001812","6.001797","8.001740","6.001610",
"41000000.000000","2.758911","8.134960","6.001751","6.001812","6.001797","8.001740","6.001610",
"42000000.000000","2.788723","8.141365","6.001751","6.001812","6.001797","8.001740","6.001610",
"43000000.000000","2.818516","8.147896","6.001751","6.001812","6.001797","8.001740","6.001610",
"44000000.000000","2.848328","8.154602","6.001751","6.001812","6.001797","8.001740","6.001610",
"45000000.000000","2.878120","8.161438","6.001751","6.001812","6.001797","8.001740","6.001610",
"46000000.000000","2.907921","8.168411","6.001751","6.001812","6.001797","8.001740","6.001610",
"47000000.000000","2.937729","8.175503","6.001751","6.001812","6.001797","8.001740","6.001610",
"48000000.000000","2.967537","8.182774","6.001751","6.001812","6.001797","8.001740","6.001610",
"49000000.000000","2.997334","8.190174","6.001751","6.001812","6.001797","8.001740","6.001610",
"50000000.000000","3.027134","8.197697","6.001751","6.001812","6.001797","8.001740","6.001610",
"51000000.000000","3.056934","8.205353","6.001751","6.001812","6.001797","8.001740","6.001610",
"52000000.000000","3.086746","8.213169","6.001751","6.001812","6.001797","8.001740","6.001610",
"53000000.000000","3.116539","8.221088","6.001751","6.001812","6.001797","8.001740","6.001610",
"54000000.000000","3.146343","8.229198","6.001751","6.001812","6.001797","8.001740","6.001610",
"55000000.000000","3.176144","8.237408","6.001751","6.001812","6.001797","8.001740","6.001610",
"56000000.000000","3.205956","8.245804","6.001751","6.001812","6.001797","8.001740","6.001610",
"57000000.000000","3.235748","8.254250","6.001751","6.001812","6.001797","8.001740","6.001610",
"58000000.000000","3.265556","8.262882","6.001751","6.001812","6.001797","8.001740","6.001610",
