"[count]","uHashT",
"0.000000","0.000000",
"1000000.000000","1.566769",
"2000000.000000","1.596626",
"3000000.000000","1.626427",
"4000000.000000","1.656231",
"5000000.000000","1.686031",
"6000000.000000","1.715832",
"7000000.000000","1.745625",
"8000000.000000","1.775444",
"9000000.000000","1.805241",
"10000000.000000","1.835033",
"11000000.000000","1.864845",
"12000000.000000","1.894653",
"13000000.000000","1.924438",
"14000000.000000","1.954258",
"15000000.000000","1.984043",
"16000000.000000","2.013863",
"17000000.000000","2.043652",
"18000000.000000","2.073460",
"19000000.000000","2.103256",
"20000000.000000","2.133057",
"21000000.000000","2.162865",
"22000000.000000","2.192677",
"23000000.000000","2.222466",
"24000000.000000","2.252274",
"25000000.000000","2.282082",
"26000000.000000","2.311874",
"27000000.000000","2.341682",
"28000000.000000","2.371479",
"29000000.000000","2.401279",
"30000000.000000","2.431084",
"31000000.000000","2.460892",
"32000000.000000","2.490700",
"33000000.000000","2.520496",
"34000000.000000","2.550301",
"35000000.000000","2.580097",
"36000000.000000","2.609909",
"37000000.000000","2.639709",
"38000000.000000","2.669502",
"39000000.000000","2.699310",
"40000000.000000","2.729118",
"41000000.000000","2.758911",
"42000000.000000","2.788723",
"43000000.000000","2.818516",
"44000000.000000","2.848328",
"45000000.000000","2.878120",
"46000000.000000","2.907921",
"47000000.000000","2.937729",
"48000000.000000","2.967537",
"49000000.000000","2.997334",
"50000000.000000","3.027134",
"51000000.000000","3.056934",
"52000000.000000","3.086746",
"53000000.000000","3.116539",
"54000000.000000","3.146343",
"55000000.000000","3.176144",
"56000000.000000","3.205956",
"57000000.000000","3.235748",
"58000000.000000","3.265556",
"59000000.000000","3.295357",
"60000000.000000","3.325165",
"61000000.000000","3.354961",
"62000000.000000","3.384762",
"63000000.000000","3.414562",
"64000000.000000","3.444374",
"65000000.000000","3.474171",
"66000000.000000","3.503979",
"67000000.000000","3.533775",
"68000000.000000","3.563583",
"69000000.000000","3.593380",
"70000000.000000","3.623188",
"71000000.000000","3.652985",
"72000000.000000","3.682793",
"73000000.000000","3.712589",
"74000000.000000","3.742393",
"75000000.000000","3.772194",
"76000000.000000","3.802002",
"77000000.000000","3.831799",
"78000000.000000","3.861599",
"79000000.000000","3.891403",
"80000000.000000","3.921211",
"81000000.000000","3.951012",
"82000000.000000","3.980812",
"83000000.000000","4.010612",
"84000000.000000","4.040421",
"85000000.000000","4.070217",
"86000000.000000","4.100018",
"87000000.000000","4.129822",
"88000000.000000","4.159630",
"89000000.000000","4.189426",
"90000000.000000","4.219234",
"91000000.000000","4.249031",
"92000000.000000","4.278839",
"93000000.000000","4.308632",
"94000000.000000","4.338440",
"95000000.000000","4.368240",
"96000000.000000","4.398048",
"97000000.000000","4.427845",
"98000000.000000","4.457649",
"99000000.000000","4.487450",
"100000000.000000","4.517258",
"101000000.000000","4.547054",
"102000000.000000","4.576855",
"103000000.000000","4.606659",
"104000000.000000","4.636467",
"105000000.000000","4.666267",
"106000000.000000","4.696064",
"107000000.000000","4.725868",
"108000000.000000","4.755676",
"109000000.000000","4.785477",
"110000000.000000","4.815277",
"111000000.000000","4.845078",
"112000000.000000","4.874886",
"113000000.000000","4.904682",
"114000000.000000","4.934483",
"115000000.000000","4.964287",
"116000000.000000","4.994095",
"117000000.000000","5.023891",
"118000000.000000","5.053692",
"119000000.000000","5.083496",
"120000000.000000","5.113304",
"121000000.000000","5.143105",
"122000000.000000","5.172905",
"123000000.000000","5.202705",
"124000000.000000","5.232513",
"125000000.000000","5.262310",
"126000000.000000","5.292114",
"127000000.000000","5.321915",
"128000000.000000","5.351723",
"129000000.000000","5.381519",
"130000000.000000","5.411324",
"131000000.000000","5.441124",
"132000000.000000","5.470932",
"133000000.000000","5.500732",
"134000000.000000","5.530533",
"135000000.000000","5.560337",
"136000000.000000","5.590137",
"137000000.000000","5.619938",
"138000000.000000","5.649742",
"139000000.000000","5.679543",
"140000000.000000","5.709347",
"141000000.000000","5.739155",
"142000000.000000","5.768951",
"143000000.000000","5.798756",
"144000000.000000","5.828560",
"145000000.000000","5.858364",
"146000000.000000","5.888161",
"147000000.000000","5.917961",
"148000000.000000","5.947769",
"149000000.000000","5.977570",
"150000000.000000","6.007370",
"151000000.000000","6.037174",
"152000000.000000","6.066978",
"153000000.000000","6.096783",
"154000000.000000","6.126579",
"155000000.000000","6.156384",
"156000000.000000","6.186188",
"157000000.000000","6.215988",
"158000000.000000","6.245792",
"159000000.000000","6.275593",
"160000000.000000","6.305397",
"161000000.000000","6.335194",
"162000000.000000","6.364998",
"163000000.000000","6.394802",
"164000000.000000","6.424606",
"165000000.000000","6.454407",
"166000000.000000","6.484207",
"167000000.000000","6.514008",
"168000000.000000","6.543816",
"169000000.000000","6.573616",
"170000000.000000","6.603416",
"171000000.000000","6.633217",
"172000000.000000","6.663025",
"173000000.000000","6.692825",
"174000000.000000","6.722630",
"175000000.000000","6.752434",
"176000000.000000","6.782234",
"177000000.000000","6.812035",
"178000000.000000","6.841835",
"179000000.000000","6.871639",
"180000000.000000","6.901443",
"181000000.000000","6.931244",
"182000000.000000","6.961048",
"183000000.000000","6.990845",
"184000000.000000","7.020653",
"185000000.000000","7.050453",
"186000000.000000","7.080254",
"187000000.000000","7.110058",
"188000000.000000","7.139862",
"189000000.000000","7.169662",
"190000000.000000","7.199463",
"191000000.000000","7.229263",
"192000000.000000","7.259071",
"193000000.000000","7.288868",
"194000000.000000","7.318672",
"195000000.000000","7.348473",
"196000000.000000","7.378281",
"197000000.000000","7.408077",
"198000000.000000","7.437881",
"199000000.000000","7.467682",
"200000000.000000","7.497490",
