"[count]","cHashT",
"0.000000","0.000000",
"1000000.000000","8.001823",
"2000000.000000","8.002136",
"3000000.000000","8.002556",
"4000000.000000","8.003128",
"5000000.000000","8.003876",
"6000000.000000","8.004772",
"7000000.000000","8.005844",
"8000000.000000","8.007076",
"9000000.000000","8.008480",
"10000000.000000","8.010036",
"11000000.000000","8.011745",
"12000000.000000","8.013622",
"13000000.000000","8.015659",
"14000000.000000","8.017853",
"15000000.000000","8.020203",
"16000000.000000","8.022701",
"17000000.000000","8.025349",
"18000000.000000","8.028179",
"19000000.000000","8.031147",
"20000000.000000","8.034283",
"21000000.000000","8.037563",
"22000000.000000","8.041023",
"23000000.000000","8.044613",
"24000000.000000","8.048355",
"25000000.000000","8.052250",
"26000000.000000","8.056305",
"27000000.000000","8.060505",
"28000000.000000","8.064857",
"29000000.000000","8.069366",
"30000000.000000","8.074020",
"31000000.000000","8.078823",
"32000000.000000","8.083771",
"33000000.000000","8.088867",
"34000000.000000","8.094131",
"35000000.000000","8.099533",
"36000000.000000","8.105091",
"37000000.000000","8.110752",
"38000000.000000","8.116608",
"39000000.000000","8.122581",
"40000000.000000","8.128681",
"41000000.000000","8.134960",
"42000000.000000","8.141365",
"43000000.000000","8.147896",
"44000000.000000","8.154602",
"45000000.000000","8.161438",
"46000000.000000","8.168411",
"47000000.000000","8.175503",
"48000000.000000","8.182774",
"49000000.000000","8.190174",
"50000000.000000","8.197697",
"51000000.000000","8.205353",
"52000000.000000","8.213169",
"53000000.000000","8.221088",
"54000000.000000","8.229198",
"55000000.000000","8.237408",
"56000000.000000","8.245804",
"57000000.000000","8.254250",
"58000000.000000","8.262882",
"59000000.000000","8.271641",
"60000000.000000","8.280510",
"61000000.000000","8.289547",
"62000000.000000","8.298683",
"63000000.000000","8.307926",
"64000000.000000","8.317318",
"65000000.000000","8.326851",
"66000000.000000","8.336529",
"67000000.000000","8.346313",
"68000000.000000","8.356270",
"69000000.000000","8.366306",
"70000000.000000","8.376534",
"71000000.000000","8.386845",
"72000000.000000","8.397297",
"73000000.000000","8.407845",
"74000000.000000","8.418552",
"75000000.000000","8.429401",
"76000000.000000","8.440353",
"77000000.000000","8.451435",
"78000000.000000","8.462624",
"79000000.000000","8.473946",
"80000000.000000","8.485390",
"81000000.000000","8.496971",
"82000000.000000","8.508648",
"83000000.000000","8.520493",
"84000000.000000","8.532406",
"85000000.000000","8.544514",
"86000000.000000","8.556725",
"87000000.000000","8.569046",
"88000000.000000","8.581505",
"89000000.000000","8.594059",
"90000000.000000","8.606758",
"91000000.000000","8.619553",
"92000000.000000","8.632446",
"93000000.000000","8.645470",
"94000000.000000","8.658638",
"95000000.000000","8.671913",
"96000000.000000","8.685303",
"97000000.000000","8.698803",
"98000000.000000","8.712376",
"99000000.000000","8.726120",
"100000000.000000","8.739986",
"101000000.000000","8.753963",
"102000000.000000","8.768044",
"103000000.000000","8.782215",
"104000000.000000","8.796501",
"105000000.000000","8.810963",
"106000000.000000","8.825493",
"107000000.000000","8.840141",
"108000000.000000","8.854897",
"109000000.000000","8.869759",
"110000000.000000","8.884727",
"111000000.000000","8.899776",
"112000000.000000","8.914970",
"113000000.000000","8.930275",
"114000000.000000","8.945679",
"115000000.000000","8.961182",
"116000000.000000","8.976810",
"117000000.000000","8.992558",
"118000000.000000","9.008411",
"119000000.000000","9.024395",
"120000000.000000","9.040436",
"121000000.000000","9.056614",
"122000000.000000","9.072891",
"123000000.000000","9.089249",
"124000000.000000","9.105724",
"125000000.000000","9.122326",
"126000000.000000","9.139061",
"127000000.000000","9.155834",
"128000000.000000","9.172741",
"129000000.000000","9.189770",
"130000000.000000","9.206825",
"131000000.000000","9.224022",
"132000000.000000","9.241360",
"133000000.000000","9.258781",
"134000000.000000","9.276276",
"135000000.000000","9.293873",
"136000000.000000","9.311596",
"137000000.000000","9.329403",
"138000000.000000","9.347301",
"139000000.000000","9.365307",
"140000000.000000","9.383404",
"141000000.000000","9.401611",
"142000000.000000","9.419937",
"143000000.000000","9.438393",
"144000000.000000","9.456902",
"145000000.000000","9.475483",
"146000000.000000","9.494198",
"147000000.000000","9.512993",
"148000000.000000","9.531898",
"149000000.000000","9.550907",
"150000000.000000","9.569988",
"151000000.000000","9.589169",
"152000000.000000","9.608459",
"153000000.000000","9.627850",
"154000000.000000","9.647346",
"155000000.000000","9.666916",
"156000000.000000","9.686623",
"157000000.000000","9.706360",
"158000000.000000","9.726250",
"159000000.000000","9.746185",
"160000000.000000","9.766190",
"161000000.000000","9.786327",
"162000000.000000","9.806515",
"163000000.000000","9.826839",
"164000000.000000","9.847237",
"165000000.000000","9.867786",
"166000000.000000","9.888336",
"167000000.000000","9.909016",
"168000000.000000","9.929737",
"169000000.000000","9.950554",
"170000000.000000","9.971493",
"171000000.000000","9.992527",
"172000000.000000","10.013672",
"173000000.000000","10.034863",
