"[count]","iHashT_u8h",
"0.000000","0.000000",
"1000000.000000","6.001705",
"2000000.000000","6.001751",
"3000000.000000","6.001751",
"4000000.000000","6.001751",
"5000000.000000","6.001751",
"6000000.000000","6.001751",
"7000000.000000","6.001751",
"8000000.000000","6.001751",
"9000000.000000","6.001751",
"10000000.000000","6.001751",
"11000000.000000","6.001751",
"12000000.000000","6.001751",
"13000000.000000","6.001751",
"14000000.000000","6.001751",
"15000000.000000","6.001751",
"16000000.000000","6.001751",
"17000000.000000","6.001751",
"18000000.000000","6.001751",
"19000000.000000","6.001751",
"20000000.000000","6.001751",
"21000000.000000","6.001751",
"22000000.000000","6.001751",
"23000000.000000","6.001751",
"24000000.000000","6.001751",
"25000000.000000","6.001751",
"26000000.000000","6.001751",
"27000000.000000","6.001751",
"28000000.000000","6.001751",
"29000000.000000","6.001751",
"30000000.000000","6.001751",
"31000000.000000","6.001751",
"32000000.000000","6.001751",
"33000000.000000","6.001751",
"34000000.000000","6.001751",
"35000000.000000","6.001751",
"36000000.000000","6.001751",
"37000000.000000","6.001751",
"38000000.000000","6.001751",
"39000000.000000","6.001751",
"40000000.000000","6.001751",
"41000000.000000","6.001751",
"42000000.000000","6.001751",
"43000000.000000","6.001751",
"44000000.000000","6.001751",
"45000000.000000","6.001751",
"46000000.000000","6.001751",
"47000000.000000","6.001751",
"48000000.000000","6.001751",
"49000000.000000","6.001751",
"50000000.000000","6.001751",
"51000000.000000","6.001751",
"52000000.000000","6.001751",
"53000000.000000","6.001751",
"54000000.000000","6.001751",
"55000000.000000","6.001751",
"56000000.000000","6.001751",
"57000000.000000","6.001751",
"58000000.000000","6.001751",
"59000000.000000","6.001751",
"60000000.000000","6.001751",
"61000000.000000","6.001751",
"62000000.000000","6.001751",
"63000000.000000","6.001751",
"64000000.000000","6.001751",
"65000000.000000","6.001751",
"66000000.000000","6.001751",
"67000000.000000","6.001751",
"68000000.000000","6.001751",
"69000000.000000","6.001751",
"70000000.000000","6.001751",
"71000000.000000","6.001751",
"72000000.000000","6.001751",
"73000000.000000","6.001751",
"74000000.000000","6.001751",
"75000000.000000","6.001751",
"76000000.000000","6.001751",
"77000000.000000","6.001751",
"78000000.000000","6.001751",
"79000000.000000","6.001751",
"80000000.000000","6.001751",
"81000000.000000","6.001751",
"82000000.000000","6.001751",
"83000000.000000","6.001751",
"84000000.000000","6.001751",
"85000000.000000","6.001751",
"86000000.000000","6.001751",
"87000000.000000","6.001751",
"88000000.000000","6.001751",
"89000000.000000","6.001751",
"90000000.000000","6.001751",
"91000000.000000","6.001751",
"92000000.000000","6.001751",
"93000000.000000","6.001751",
"94000000.000000","6.001751",
"95000000.000000","6.001751",
"96000000.000000","6.001751",
"97000000.000000","6.001751",
"98000000.000000","6.001751",
"99000000.000000","6.001751",
"100000000.000000","6.001751",
"101000000.000000","6.001751",
"102000000.000000","6.001751",
"103000000.000000","6.001751",
"104000000.000000","6.001751",
"105000000.000000","6.001751",
"106000000.000000","6.001751",
"107000000.000000","6.001751",
"108000000.000000","6.001751",
"109000000.000000","6.001751",
"110000000.000000","6.001751",
"111000000.000000","6.001751",
"112000000.000000","6.001751",
"113000000.000000","6.001751",
"114000000.000000","6.001751",
"115000000.000000","6.001751",
"116000000.000000","6.001751",
"117000000.000000","6.001751",
"118000000.000000","6.001751",
"119000000.000000","6.001751",
"120000000.000000","6.001751",
"121000000.000000","6.001751",
"122000000.000000","6.001751",
"123000000.000000","6.001751",
"124000000.000000","6.001751",
"125000000.000000","6.001751",
"126000000.000000","6.001751",
"127000000.000000","6.001751",
"128000000.000000","6.001751",
"129000000.000000","6.001751",
"130000000.000000","6.001755",
"131000000.000000","6.001755",
"132000000.000000","6.001755",
"133000000.000000","6.001755",
"134000000.000000","6.001755",
"135000000.000000","18.001724",
"136000000.000000","12.001755",
"137000000.000000","12.001755",
"138000000.000000","12.001755",
"139000000.000000","12.001755",
"140000000.000000","12.001755",
"141000000.000000","12.001755",
"142000000.000000","12.001755",
"143000000.000000","12.001755",
"144000000.000000","12.001755",
"145000000.000000","12.001755",
"146000000.000000","12.001755",
"147000000.000000","12.001755",
"148000000.000000","12.001755",
"149000000.000000","12.001755",
"150000000.000000","12.001755",
"151000000.000000","12.001755",
"152000000.000000","12.001755",
"153000000.000000","12.001755",
"154000000.000000","12.001755",
"155000000.000000","12.001755",
"156000000.000000","12.001755",
"157000000.000000","12.001755",
"158000000.000000","12.001755",
"159000000.000000","12.001755",
"160000000.000000","12.001755",
"161000000.000000","12.001755",
"162000000.000000","12.001755",
"163000000.000000","12.001755",
"164000000.000000","12.001755",
"165000000.000000","12.001755",
"166000000.000000","12.001755",
"167000000.000000","12.001755",
"168000000.000000","12.001755",
"169000000.000000","12.001755",
"170000000.000000","12.001755",
"171000000.000000","12.001755",
"172000000.000000","12.001755",
"173000000.000000","12.001755",
"174000000.000000","12.001755",
"175000000.000000","12.001755",
"176000000.000000","12.001755",
"177000000.000000","12.001755",
"178000000.000000","12.001755",
"179000000.000000","12.001755",
"180000000.000000","12.001755",
"181000000.000000","12.001755",
"182000000.000000","12.001755",
"183000000.000000","12.001755",
"184000000.000000","12.001755",
"185000000.000000","12.001755",
"186000000.000000","12.001755",
"187000000.000000","12.001755",
"188000000.000000","12.001755",
"189000000.000000","12.001755",
"190000000.000000","12.001755",
"191000000.000000","12.001755",
"192000000.000000","12.001755",
"193000000.000000","12.001755",
"194000000.000000","12.001755",
"195000000.000000","12.001755",
