"[count]","iHashT_u8f",
"0.000000","0.000000",
"1000000.000000","6.001709",
"2000000.000000","6.001812",
"3000000.000000","6.001812",
"4000000.000000","6.001812",
"5000000.000000","6.001812",
"6000000.000000","6.001812",
"7000000.000000","6.001812",
"8000000.000000","6.001812",
"9000000.000000","6.001812",
"10000000.000000","6.001812",
"11000000.000000","6.001812",
"12000000.000000","6.001812",
"13000000.000000","6.001812",
"14000000.000000","6.001812",
"15000000.000000","6.001812",
"16000000.000000","6.001812",
"17000000.000000","6.001812",
"18000000.000000","6.001812",
"19000000.000000","6.001812",
"20000000.000000","6.001812",
"21000000.000000","6.001812",
"22000000.000000","6.001812",
"23000000.000000","6.001812",
"24000000.000000","6.001812",
"25000000.000000","6.001812",
"26000000.000000","6.001812",
"27000000.000000","6.001812",
"28000000.000000","6.001812",
"29000000.000000","6.001812",
"30000000.000000","6.001812",
"31000000.000000","6.001812",
"32000000.000000","6.001812",
"33000000.000000","6.001812",
"34000000.000000","6.001812",
"35000000.000000","6.001812",
"36000000.000000","6.001812",
"37000000.000000","6.001812",
"38000000.000000","6.001812",
"39000000.000000","6.001812",
"40000000.000000","6.001812",
"41000000.000000","6.001812",
"42000000.000000","6.001812",
"43000000.000000","6.001812",
"44000000.000000","6.001812",
"45000000.000000","6.001812",
"46000000.000000","6.001812",
"47000000.000000","6.001812",
"48000000.000000","6.001812",
"49000000.000000","6.001812",
"50000000.000000","6.001812",
"51000000.000000","6.001812",
"52000000.000000","6.001812",
"53000000.000000","6.001812",
"54000000.000000","6.001812",
"55000000.000000","6.001812",
"56000000.000000","6.001812",
"57000000.000000","6.001812",
"58000000.000000","6.001812",
"59000000.000000","6.001812",
"60000000.000000","6.001812",
"61000000.000000","6.001812",
"62000000.000000","6.001812",
"63000000.000000","6.001812",
"64000000.000000","6.001812",
"65000000.000000","6.001812",
"66000000.000000","6.001812",
"67000000.000000","6.001812",
"68000000.000000","6.001812",
"69000000.000000","6.001812",
"70000000.000000","6.001812",
"71000000.000000","6.001812",
"72000000.000000","6.001812",
"73000000.000000","6.001812",
"74000000.000000","6.001812",
"75000000.000000","6.001812",
