"[count]","iHashT_u16",
"0.000000","0.000000",
"1000000.000000","6.001583",
"2000000.000000","6.001797",
"3000000.000000","6.001797",
"4000000.000000","6.001797",
"5000000.000000","6.001797",
"6000000.000000","6.001797",
"7000000.000000","6.001797",
"8000000.000000","6.001797",
"9000000.000000","6.001797",
"10000000.000000","6.001797",
"11000000.000000","6.001797",
"12000000.000000","6.001797",
"13000000.000000","6.001797",
"14000000.000000","6.001797",
"15000000.000000","6.001797",
"16000000.000000","6.001797",
"17000000.000000","6.001797",
"18000000.000000","6.001797",
"19000000.000000","6.001797",
"20000000.000000","6.001797",
"21000000.000000","6.001797",
"22000000.000000","6.001797",
"23000000.000000","6.001797",
"24000000.000000","6.001797",
"25000000.000000","6.001797",
"26000000.000000","6.001797",
"27000000.000000","6.001797",
"28000000.000000","6.001797",
"29000000.000000","6.001797",
"30000000.000000","6.001797",
"31000000.000000","6.001797",
"32000000.000000","6.001797",
"33000000.000000","6.001797",
"34000000.000000","6.001797",
"35000000.000000","6.001797",
"36000000.000000","6.001797",
"37000000.000000","6.001797",
"38000000.000000","6.001797",
"39000000.000000","6.001797",
"40000000.000000","6.001797",
"41000000.000000","6.001797",
"42000000.000000","6.001797",
"43000000.000000","6.001797",
"44000000.000000","6.001797",
"45000000.000000","6.001797",
"46000000.000000","6.001797",
"47000000.000000","6.001797",
"48000000.000000","6.001797",
"49000000.000000","6.001797",
"50000000.000000","6.001797",
"51000000.000000","6.001797",
"52000000.000000","6.001797",
"53000000.000000","6.001797",
"54000000.000000","6.001797",
"55000000.000000","6.001797",
"56000000.000000","6.001797",
"57000000.000000","6.001797",
"58000000.000000","6.001797",
"59000000.000000","6.001797",
"60000000.000000","6.001797",
"61000000.000000","6.001797",
"62000000.000000","6.001797",
"63000000.000000","6.001797",
"64000000.000000","6.001797",
"65000000.000000","6.001797",
"66000000.000000","6.001797",
"67000000.000000","6.001797",
"68000000.000000","6.001797",
"69000000.000000","6.001797",
"70000000.000000","6.001797",
"71000000.000000","6.001797",
"72000000.000000","6.001797",
"73000000.000000","6.001797",
"74000000.000000","6.001797",
"75000000.000000","6.001797",
"76000000.000000","6.001797",
"77000000.000000","6.001797",
"78000000.000000","6.001797",
"79000000.000000","6.001797",
"80000000.000000","6.001797",
"81000000.000000","6.001797",
"82000000.000000","6.001797",
"83000000.000000","6.001797",
"84000000.000000","6.001797",
"85000000.000000","6.001797",
"86000000.000000","6.001797",
"87000000.000000","6.001797",
"88000000.000000","6.001797",
"89000000.000000","6.001797",
"90000000.000000","6.001797",
"91000000.000000","6.001797",
"92000000.000000","6.001797",
"93000000.000000","6.001797",
"94000000.000000","6.001797",
"95000000.000000","6.001797",
"96000000.000000","6.001797",
"97000000.000000","6.001797",
"98000000.000000","6.001797",
"99000000.000000","6.001797",
"100000000.000000","6.001797",
"101000000.000000","6.001797",
"102000000.000000","6.001797",
"103000000.000000","6.001797",
"104000000.000000","6.001797",
"105000000.000000","6.001797",
"106000000.000000","6.001797",
"107000000.000000","6.001797",
"108000000.000000","6.001797",
"109000000.000000","6.001797",
"110000000.000000","6.001797",
"111000000.000000","6.001797",
"112000000.000000","6.001797",
"113000000.000000","6.001797",
"114000000.000000","6.001797",
"115000000.000000","6.001797",
"116000000.000000","6.001797",
"117000000.000000","6.001797",
"118000000.000000","6.001797",
"119000000.000000","6.001797",
"120000000.000000","6.001797",
"121000000.000000","6.001797",
"122000000.000000","6.001797",
"123000000.000000","6.001797",
"124000000.000000","6.001797",
"125000000.000000","6.001797",
"126000000.000000","6.001797",
"127000000.000000","6.001797",
"128000000.000000","6.001797",
"129000000.000000","6.001797",
"130000000.000000","6.001801",
"131000000.000000","6.001801",
"132000000.000000","6.001801",
"133000000.000000","6.001801",
"134000000.000000","6.001801",
"135000000.000000","6.001801",
"136000000.000000","6.001801",
"137000000.000000","6.001801",
"138000000.000000","6.001801",
"139000000.000000","6.001801",
"140000000.000000","6.001801",
"141000000.000000","6.001801",
"142000000.000000","6.001801",
"143000000.000000","6.001801",
"144000000.000000","6.001801",
