"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8f [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.640374","0.418382","0.166392","0.209847","0.361202","0.148011","0.154269",
"4000000.000000","1.456916","0.896502","0.350556","0.450589","0.837614","0.317752","0.325395",
"6000000.000000","2.465713","1.591689","0.593642","0.643972","1.284406","0.538148","0.555242",
"8000000.000000","3.172711","1.884390","0.729400","0.960384","1.715950","0.674867","0.678927",
"10000000.000000","4.612906","3.174520","1.107746","1.139312","2.539442","1.026145","1.032555",
"12000000.000000","5.258425","3.434144","1.243403","1.392562","2.781799","1.148520","1.155016",
"14000000.000000","5.953204","3.729861","1.391215","1.872693","3.138495","1.285269","1.288127",
"16000000.000000","6.699609","4.063429","1.553455","2.041948","3.743566","1.438634","1.434437",
"18000000.000000","9.095870","6.376959","2.230675","2.233197","4.953853","1.914319","2.069850",
"20000000.000000","9.727228","6.650856","2.379284","2.458159","5.163713","2.039401","2.205612",
"22000000.000000","10.390464","6.944297","2.532408","2.739313","5.414723","2.170594","2.346347",
"24000000.000000","11.082093","7.259252","2.689295","3.089105","5.719560","2.309362","2.490604",
"26000000.000000","11.805412","7.596581","2.852185","3.487214","6.087158","2.458170","2.640908",
"28000000.000000","12.558963","7.952803","3.021101","4.233135","6.517227","2.617458","2.796023",
"30000000.000000","13.343984","8.325572","3.196637","4.416326","7.031223","2.788058","2.957286",
"32000000.000000","14.162916","8.724422","3.380072","4.608216","7.796527","2.970757","3.126141",
"34000000.000000","15.016269","13.912223","4.968671","4.810230","10.472883","4.068915","4.634250",
"36000000.000000","15.900763","14.209091","5.130003","5.024423","10.681257","4.212515","4.783368",
"38000000.000000","20.273114","14.516291","5.292583","5.252644","10.902013","4.358499","4.934334",
"40000000.000000","20.988390","14.835941","5.457475","5.499489","11.139536","4.506810","5.087258",
"42000000.000000","21.725123","15.166877","5.624345","5.769471","11.397380","4.658733","5.242807",
"44000000.000000","22.480029","15.508866","5.792359","6.065372","11.680382","4.815401","5.399178",
"46000000.000000","23.253392","15.862108","5.962900","6.392070","11.993106","4.976464","5.558451",
"48000000.000000","24.045034","16.227871","6.135472","6.749449","12.337748","5.141689","5.719639",
"50000000.000000","24.858939","16.606839","6.310837","8.589254","12.715210","5.311482","5.883405",
"52000000.000000","25.690105","16.997857","6.488090","8.772545","13.125683","5.487030","6.048871",
"54000000.000000","26.542373","17.400989","6.667979","8.957457","13.565842","5.666729","6.217699",
"56000000.000000","27.412753","17.817550","6.850322","9.147804","14.038004","5.851729","6.388237",
"58000000.000000","28.301861","18.244893","7.035852","9.338783","14.548165","6.042020","6.561425",
"60000000.000000","29.210513","18.681440","7.224890","9.533017","15.113109","6.236806","6.737543",
"62000000.000000","30.136735","19.129245","7.417548","9.730729","15.773720","6.437271","6.916937",
"64000000.000000","31.083265","19.589966","7.612796","9.934620","16.676637","6.642385","7.100373",
"66000000.000000","32.048459","20.062305","7.813135","10.144679","18.976701","6.852487","7.288454",
"68000000.000000","33.030084","28.288803","10.979413","10.360604","21.265202","9.008686","10.431566",
"70000000.000000","34.030886","28.654669","11.148808","10.582236","21.480251","9.169861","10.591297",
