"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8f [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.338917","0.221140","0.157351","0.161039","0.154848","0.150118","0.145233",
"4000000.000000","0.683255","0.444045","0.315260","0.323053","0.309504","0.300754","0.289855",
"6000000.000000","1.032488","0.668106","0.473128","0.484600","0.464204","0.451187","0.434498",
"8000000.000000","1.387297","0.893044","0.631687","0.646400","0.618969","0.601884","0.579913",
"10000000.000000","1.747071","1.118636","0.790515","0.808641","0.774136","0.752272","0.725731",
"12000000.000000","2.111410","1.345440","0.949053","0.971359","0.930102","0.902898","0.872125",
"14000000.000000","2.481924","1.572882","1.107772","1.134059","1.087120","1.053773","1.019049",
"16000000.000000","2.858108","1.801349","1.266844","1.296419","1.244162","1.204761","1.165242",
"18000000.000000","3.238971","2.030243","1.426002","1.458754","1.401945","1.355764","1.311677",
"20000000.000000","3.625397","2.258596","1.584971","1.621249","1.560184","1.507009","1.458247",
"22000000.000000","4.017116","2.488603","1.744267","1.784238","1.718730","1.658273","1.605094",
"24000000.000000","4.414721","2.721031","1.903705","1.946970","1.877041","1.809624","1.752582",
"26000000.000000","4.818133","2.952613","2.063523","2.109665","2.036091","1.960980","1.900110",
"28000000.000000","5.226696","3.185088","2.223421","2.273544","2.195769","2.112418","2.048525",
"30000000.000000","5.641674","3.418888","2.383566","2.437561","2.356310","2.264467","2.196747",
"32000000.000000","6.061392","3.653743","2.544173","2.601512","2.517559","2.416307","2.345967",
"34000000.000000","6.487381","3.889267","2.704726","2.766290","2.679003","2.568652","2.495486",
"36000000.000000","6.919479","4.125691","2.865009","2.931452","2.841041","2.721199","2.645911",
"38000000.000000","7.357687","4.363252","3.025451","3.095059","3.003733","2.873989","2.795980",
"40000000.000000","7.796870","4.601965","3.186247","3.258641","3.166616","3.027071","2.946073",
"42000000.000000","8.237243","4.841000","3.346906","3.422578","3.329484","3.180177","3.096817",
"44000000.000000","8.689089","5.081454","3.508573","3.586629","3.493174","3.333124","3.248118",
"46000000.000000","9.152574","5.323104","3.669887","3.751406","3.656462","3.486044","3.399838",
"48000000.000000","9.622260","5.566073","3.831434","3.916949","3.820625","3.639324","3.552853",
"50000000.000000","10.097477","5.810267","3.993284","4.082576","3.985288","3.793209","3.706308",
"52000000.000000","10.579665","6.055679","4.155457","4.248426","4.150359","3.947372","3.859822",
"54000000.000000","11.067652","6.301918","4.317869","4.414297","4.316778","4.101712","4.013314",
"56000000.000000","11.562680","6.548962","4.480292","4.578997","4.484670","4.256476","4.168053",
"58000000.000000","12.064150","6.797587","4.643075","4.744270","4.653391","4.411215","4.323531",
"60000000.000000","12.571181","7.047864","4.806149","4.909696","4.822833","4.565854","4.479179",
"62000000.000000","13.085201","7.299910","4.968908","5.075718","4.993252","4.720794","4.635991",
"64000000.000000","13.606012","7.553752","5.131899","5.242297","5.164459","4.875590","4.792878",
"66000000.000000","14.132499","7.808190","5.295171","5.408106","5.336647","5.031008","4.950118",
"68000000.000000","14.666939","8.064514","5.458795","5.574532","5.510077","5.186870","5.108664",
"70000000.000000","15.206357","8.322079","5.622417","5.742399","5.683692","5.342791","5.267798",
"72000000.000000","15.752970","8.581646","5.786070","5.909206","5.857387","5.498957","5.426970",
"74000000.000000","16.306799","8.842501","5.950033","6.075921","6.032246","5.655580","5.587207",
"76000000.000000","16.866368","9.104807","6.114749","6.242932","6.207536","5.812532","5.748299",
"78000000.000000","17.434205","9.368827","6.279309","6.410280","6.384245","5.969961","5.909838",
"80000000.000000","18.007269","9.634339","6.443951","6.578515","6.561728","6.127352","6.072021",
"82000000.000000","18.587181","9.901830","6.609039","6.747782","6.740227","6.285568","6.234850",
"84000000.000000","19.173939","10.171355","6.774236","6.917252","6.920118","6.444161","6.398814",
"86000000.000000","19.767485","10.442725","6.939618","7.087099","7.100764","6.602724","6.563709",
"88000000.000000","20.366724","10.715616","7.105431","7.257200","7.280553","6.761717","6.729352",
"90000000.000000","20.972354","10.990889","7.271350","7.425857","7.463309","6.921229","6.895384",
"92000000.000000","21.586201","11.268019","7.437472","7.595294","7.647350","7.080985","7.062812",
"94000000.000000","22.206535","11.546546","7.603750","7.765116","7.832402","7.241254","7.231086",
"96000000.000000","22.831939","11.827425","7.770406","7.934607","8.018473","7.401572","7.400122",
"98000000.000000","23.465236","12.110314","7.936902","8.104573","8.204804","7.562124","7.570071",
"100000000.000000","24.106017","12.395328","8.103845","8.274875","8.392438","7.723041","7.741244",
"102000000.000000","24.752127","12.682155","8.271308","8.446087","8.581466","7.884481","7.913338",
"104000000.000000","25.404731","12.971523","8.439109","8.617794","8.772262","8.046304","8.086465",
"106000000.000000","26.064558","13.263720","8.606640","8.789611","8.964521","8.208694","8.259946",
"108000000.000000","26.731561","13.556961","8.774704","8.961844","9.157868","8.371098","8.434640",
"110000000.000000","27.404380","13.852918","8.943675","9.134428","9.351765","8.534219","8.610442",
"112000000.000000","28.084330","14.151624","9.112890","9.306806","9.546809","8.697699","8.786947",
"114000000.000000","28.770180","14.452958","9.281683","9.479794","9.744018","8.861898","8.965404",
"116000000.000000","29.464012","14.756056","9.451692","9.653517","9.942529","9.026819","9.145547",
"118000000.000000","30.164557","15.061953","9.621400","9.826231","10.141453","9.192698","9.327254",
"120000000.000000","30.871181","15.370743","9.791297","10.000096","10.342180","9.358529","9.509780",
"122000000.000000","31.584962","15.682741","9.961450","10.174290","10.544675","9.524821","9.694146",
"124000000.000000","32.304852","15.997098","10.132038","10.348545","10.748978","9.691556","9.880346",
"126000000.000000","33.031720","16.313535","10.302565","10.523994","10.955419","9.858997","10.068710",
"128000000.000000","33.766067","16.632654","10.473857","10.699566","11.163736","10.026828","10.259351",
"130000000.000000","34.506535","16.954532","10.645509","10.876312","11.374021","10.195423","10.451360",
"132000000.000000","35.254425","17.279964","10.817367","11.054314","11.586060","10.364708","10.645237",
"134000000.000000","36.008047","17.608440","10.989301","11.231258","11.800794","10.534073","10.841935",
"136000000.000000","36.768311","17.939071","11.161968","11.408672","12.015004","10.704032","16.921976",
"138000000.000000","37.536055","18.272522","11.335618","11.586176","12.232011","10.874803","17.085913",
"140000000.000000","38.310530","18.609172","11.509009","11.764788","12.453522","11.046206","17.250085",
"142000000.000000","39.092370","18.949283","11.682721","11.942548","12.678182","11.218550","17.414080",
"144000000.000000","39.880041","19.292776","11.856055","12.120008","12.904720","11.391134","17.578448",
"146000000.000000","40.674544","19.638888","12.030586","12.298240","13.134613","11.564107","17.743225",
"148000000.000000","41.476653","19.988089","12.205171","12.477812","13.369317","11.737953","17.908049",
"150000000.000000","42.284965","20.340631","12.380158","12.656546","13.606473","11.912632","18.073578",
"152000000.000000","43.100297","20.696374","12.554647","12.836033","13.847693","12.088313","18.239261",
"154000000.000000","43.923736","21.055267","12.730219","13.015233","14.093037","12.264375","18.405602",
"156000000.000000","44.753047","21.417318","12.906004","13.195358","14.342427","12.440982","18.571538",
"158000000.000000","45.589999","21.783618","13.082472","13.376432","14.596679","12.618426","18.737559",
"160000000.000000","46.432645","22.153289","13.258537","13.558945","14.856096","12.796585","18.904291",
"162000000.000000","47.282680","22.524925","13.435180","13.742165","15.120511","12.975962","19.071873",
"164000000.000000","48.138996","22.899230","13.612474","13.925506","15.389972","13.156109","19.240000",
"166000000.000000","49.003451","23.275401","13.790719","14.108640","15.664312","13.336827","19.408553",
