"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"1000000.000000","1.566643","8.001743","12.001701","12.001755","6.001823","8.001865","6.001572",
"2000000.000000","1.596489","8.002056","12.001812","12.001934","6.001934","8.001865","6.001598",
"3000000.000000","1.626293","8.002468","12.001812","12.001934","6.001934","8.001869","6.001602",
"4000000.000000","1.656097","8.003052","12.001812","12.001934","6.001934","8.001869","6.001602",
"5000000.000000","1.685894","8.003796","12.001812","12.001934","6.001934","8.001869","6.001602",
"6000000.000000","1.715683","8.004696","12.001812","12.001934","6.001934","8.001869","6.001602",
"7000000.000000","1.745487","8.005768","12.001812","12.001934","6.001934","8.001869","6.001602",
"8000000.000000","1.775307","8.007008","12.001812","12.001934","6.001934","8.001869","6.001602",
"9000000.000000","1.805103","8.008408","12.001812","12.001934","6.001934","8.001869","6.001602",
"10000000.000000","1.834900","8.009960","12.001812","12.001934","6.001934","8.001869","6.001602",
"11000000.000000","1.864704","8.011696","12.001812","12.001934","6.001934","8.001869","6.001602",
"12000000.000000","1.894516","8.013580","12.001812","12.001934","6.001934","8.001869","6.001602",
"13000000.000000","1.924301","8.015610","12.001812","12.001934","6.001934","8.001869","6.001602",
"14000000.000000","1.954109","8.017799","12.001812","12.001934","6.001934","8.001869","6.001602",
"15000000.000000","1.983921","8.020149","12.001812","12.001934","6.001934","8.001869","6.001602",
"16000000.000000","2.013725","8.022671","12.001812","12.001934","6.001934","8.001869","6.001602",
"17000000.000000","2.043518","8.025341","12.001812","12.001934","6.001934","8.001869","6.001602",
"18000000.000000","2.073322","8.028160","12.001812","12.001934","6.001934","8.001869","6.001602",
"19000000.000000","2.103130","8.031124","12.001812","12.001934","6.001934","8.001869","6.001602",
"20000000.000000","2.132923","8.034248","12.001812","12.001934","6.001934","8.001869","6.001602",
"21000000.000000","2.162727","8.037521","12.001812","12.001934","6.001934","8.001869","6.001602",
"22000000.000000","2.192532","8.040958","12.001812","12.001934","6.001934","8.001869","6.001602",
"23000000.000000","2.222340","8.044567","12.001812","12.001934","6.001934","8.001869","6.001602",
"24000000.000000","2.252144","8.048313","12.001812","12.001934","6.001934","8.001869","6.001602",
"25000000.000000","2.281944","8.052223","12.001812","12.001934","6.001934","8.001869","6.001602",
"26000000.000000","2.311733","8.056278","12.001812","12.001934","6.001934","8.001869","6.001602",
"27000000.000000","2.341541","8.060478","12.001812","12.001934","6.001934","8.001869","6.001602",
"28000000.000000","2.371353","8.064842","12.001812","12.001934","6.001934","8.001869","6.001602",
"29000000.000000","2.401154","8.069351","12.001812","12.001934","6.001934","8.001869","6.001602",
"30000000.000000","2.430958","8.073994","12.001812","12.001934","6.001934","8.001869","6.001602",
"31000000.000000","2.460758","8.078785","12.001812","12.001934","6.001934","8.001869","6.001602",
"32000000.000000","2.490562","8.083725","12.001812","12.001934","6.001934","8.001869","6.001602",
"33000000.000000","2.520355","8.088833","12.001812","12.001934","6.001934","8.001869","6.001602",
"34000000.000000","2.550167","8.094078","12.001812","12.001934","6.001934","8.001869","6.001602",
"35000000.000000","2.579964","8.099487","12.001812","12.001934","6.001934","8.001869","6.001602",
"36000000.000000","2.609772","8.104996","12.001812","12.001934","6.001934","8.001869","6.001602",
"37000000.000000","2.639568","8.110695","12.001812","12.001934","6.001934","8.001869","6.001602",
"38000000.000000","2.669369","8.116535","12.001812","12.001934","6.001934","8.001869","6.001602",
"39000000.000000","2.699177","8.122494","12.001812","12.001934","6.001934","8.001869","6.001602",
"40000000.000000","2.728981","8.128593","12.001812","12.001934","6.001934","8.001869","6.001602",
"41000000.000000","2.758778","8.134861","12.001812","12.001934","6.001934","8.001869","6.001602",
"42000000.000000","2.788578","8.141251","12.001812","12.001934","6.001934","8.001869","6.001602",
"43000000.000000","2.818382","8.147808","12.001812","12.001934","6.001934","8.001869","6.001602",
"44000000.000000","2.848190","8.154488","12.001812","12.001934","6.001934","8.001869","6.001602",
"45000000.000000","2.877983","8.161320","12.001812","12.001934","6.001934","8.001869","6.001602",
"46000000.000000","2.907791","8.168289","12.001812","12.001934","6.001934","8.001869","6.001602",
"47000000.000000","2.937588","8.175381","12.001812","12.001934","6.001934","8.001869","6.001602",
"48000000.000000","2.967400","8.182625","12.001812","12.001934","6.001934","8.001869","6.001602",
"49000000.000000","2.997196","8.190014","12.001812","12.001934","6.001934","8.001869","6.001602",
"50000000.000000","3.027004","8.197525","12.001812","12.001934","6.001934","8.001869","6.001602",
"51000000.000000","3.056797","8.205204","12.001812","12.001934","6.001934","8.001869","6.001602",
"52000000.000000","3.086609","8.213001","12.001812","12.001934","6.001934","8.001869","6.001602",
"53000000.000000","3.116405","8.220955","12.001812","12.001934","6.001934","8.001869","6.001602",
"54000000.000000","3.146202","8.229023","12.001812","12.001934","6.001934","8.001869","6.001602",
"55000000.000000","3.176010","8.237259","12.001812","12.001934","6.001934","8.001869","6.001602",
"56000000.000000","3.205818","8.245621","12.001812","12.001934","6.001934","8.001869","6.001602",
"57000000.000000","3.235615","8.254086","12.001812","12.001934","6.001934","8.001869","6.001602",
"58000000.000000","3.265415","8.262695","12.001812","12.001934","6.001934","8.001869","6.001602",
"59000000.000000","3.295219","8.271435","12.001812","12.001934","6.001934","8.001869","6.001602",
"60000000.000000","3.325027","8.280289","12.001812","12.001934","6.001934","8.001869","6.001602",
"61000000.000000","3.354820","8.289299","12.001812","12.001934","6.001934","8.001869","6.001602",
"62000000.000000","3.384628","8.298496","12.001812","12.001934","6.001934","8.001869","6.001602",
"63000000.000000","3.414429","8.307774","12.001812","12.001934","6.001934","8.001869","6.001602",
"64000000.000000","3.444237","8.317177","12.001812","12.001934","6.001934","8.001869","6.001602",
"65000000.000000","3.474033","8.326714","12.001812","12.001934","6.001934","8.001869","6.001602",
"66000000.000000","3.503834","8.336372","12.001812","12.001934","6.001934","8.001869","6.001602",
"67000000.000000","3.533638","8.346176","12.001812","12.001934","6.001934","8.001869","6.001602",
"68000000.000000","3.563446","8.356125","12.001812","12.001934","6.001934","8.001869","6.001602",
"69000000.000000","3.593243","8.366222","12.001812","12.001934","6.001934","8.001869","6.001602",
"70000000.000000","3.623047","8.376408","12.001812","12.001934","6.001934","8.001869","6.001602",
